"mun+county","t20","etiqueta","select"
"-","NA","TRUE",
"14 km de capao bonito","NA","TRUE",FALSE
"1km ao sudeste de itarare","NA","TRUE",TRUE
"2km de mogi das cruzes","NA","TRUE",TRUE
"a 2km oeste de jeriquara.","NA","TRUE",FALSE
"adamantina","NA","TRUE",FALSE
"adolfo","NA","TRUE",FALSE
"agua de santa barbara","NA","TRUE",FALSE
"agua funda","NA","TRUE",
"aguai","NA","TRUE",FALSE
"aguas da prata","NA","TRUE",FALSE
"aguas da santa barbara","NA","TRUE",FALSE
"aguas de lindoia","NA","TRUE",FALSE
"aguas de santa barbara","NA","TRUE",FALSE
"aguas de sao pedro","NA","TRUE",FALSE
"aguas do prata","NA","TRUE",FALSE
"aguas santa barbara","NA","TRUE",FALSE
"agudos","NA","TRUE",FALSE
"ajapi","NA","TRUE",
"alambari","TRUE","NA",TRUE
"alphaville","NA","TRUE",
"alta da lapa","NA","TRUE",
"altinopolis","NA","TRUE",FALSE
"altipopolis","NA","TRUE",FALSE
"alto da lapa","NA","TRUE",
"alto da serra","NA","TRUE",
"aluminio","TRUE","TRUE",TRUE
"alvares florence","NA","TRUE",FALSE
"alvares machado","NA","TRUE",FALSE
"americana","NA","TRUE",FALSE
"americo brailiense","NA","TRUE",FALSE
"americo brasiliense","NA","TRUE",FALSE
"amparo","NA","TRUE",FALSE
"analandia","NA","TRUE",FALSE
"anastacio","NA","TRUE",
"andradina","NA","TRUE",FALSE
"angatuba","NA","TRUE",FALSE
"anhembi","NA","TRUE",FALSE
"antonina","NA","TRUE",
"aparecida do norte","NA","TRUE",
"apiai","NA","TRUE",FALSE
"aracariguama","TRUE","TRUE",TRUE
"aracatuba","NA","TRUE",FALSE
"aracoiaba da serra","TRUE","TRUE",TRUE
"arandu","NA","TRUE",FALSE
"arapei","NA","TRUE",FALSE
"araraquara","NA","TRUE",FALSE
"araras","NA","TRUE",FALSE
"arariquama","NA","TRUE",
"arealva","NA","TRUE",FALSE
"areias","NA","TRUE",FALSE
"artemis","NA","TRUE",
"aruja","TRUE","TRUE",TRUE
"assis","NA","TRUE",FALSE
"atibaia","TRUE","TRUE",TRUE
"auflama","NA","TRUE",FALSE
"avai","NA","TRUE",FALSE
"avanhandava","NA","TRUE",FALSE
"avare","NA","TRUE",FALSE
"bady bassit","NA","TRUE",FALSE
"bahiauru","NA","TRUE",
"balsamo","NA","TRUE",FALSE
"bananal","NA","TRUE",FALSE
"bariri","NA","TRUE",FALSE
"barra bonita","NA","TRUE",FALSE
"barra de una","NA","TRUE",
"barra do chapeu","NA","TRUE",FALSE
"barra do turvo","NA","TRUE",FALSE
"barra do una","NA","TRUE",
"barreiro","NA","TRUE",
"barretos","NA","TRUE",FALSE
"barretos (g7)","NA","TRUE",FALSE
"barretos (p7)","NA","TRUE",FALSE
"barueri","TRUE","TRUE",TRUE
"bastos","NA","TRUE",FALSE
"batatais","NA","TRUE",FALSE
"bauru","NA","TRUE",FALSE
"bebedouro","NA","TRUE",FALSE
"bela vista","NA","TRUE",
"belem spr","NA","TRUE",
"bertioga","NA","TRUE",FALSE
"birigui","NA","TRUE",FALSE
"biriqui","NA","TRUE",FALSE
"biritiba","NA","TRUE",TRUE
"biritiba mirim","TRUE","TRUE",TRUE
"biritiba ussu","NA","TRUE",
"biritiba-acu","NA","TRUE",
"biritiba-mirim","NA","TRUE",TRUE
"biritiba-ussu","NA","TRUE",
"bititiba mirim","NA","TRUE",TRUE
"blumenau","NA","TRUE",
"boa esperanca do sul","NA","TRUE",FALSE
"bocaina","NA","TRUE",FALSE
