nome_aceito_correto,CR,EN,VU,DD,EX,NT,EW,LR,cat_ameaca_geral
Abarema acreana,0,0,0,1,0,0,0,0,1
Abarema brachystachya,0,0,1,0,0,0,0,0,1
Abarema cochliacarpos,0,0,0,0,0,0,0,0,0
Abarema langsdorffii,0,0,0,0,0,0,0,0,0
Abarema villifera,0,0,0,1,0,0,0,0,1
Abatia angeliana,0,0,1,0,0,0,0,0,1
Abuta selloana,0,0,0,0,0,0,0,0,0
Abutilon anodoides,1,0,0,0,0,0,0,0,1
Abutilon costicalyx,0,0,0,0,0,0,0,0,0
Abutilon nigricans,1,0,0,0,0,0,0,0,1
Abutilon venosum,0,0,0,1,0,0,0,0,1
Acaena eupatoria,0,0,1,0,0,0,0,0,1
Acalypha brasiliensis,1,0,0,0,0,0,0,0,1
Acalypha macrostachya,0,0,0,0,0,0,0,0,0
Acalypha villosa,0,0,0,0,0,0,0,0,0
Acanthocladus brasiliensis,0,0,0,0,0,0,0,0,0
Acanthostachys pitcairnioides,0,0,0,1,0,0,0,0,1
Acanthosyris paulo-alvinii,0,0,1,0,0,0,0,0,1
Accara elegans,0,1,0,0,0,0,0,0,1
Achatocarpus praecox,0,0,0,0,0,0,0,0,0
Achyrocline eriodes,0,0,1,0,0,0,0,0,1
Acianthera adiri,1,0,0,0,0,0,0,0,1
Acianthera aphthosa,0,0,0,0,0,0,0,0,0
Acianthera auriculata,0,0,0,0,0,0,0,0,0
Acianthera bragae,0,0,0,0,0,0,0,0,0
Acianthera crinita,0,0,0,0,0,0,0,0,0
Acianthera glumacea,0,0,0,0,0,0,0,0,0
Acianthera guimaraensii,0,0,1,0,0,0,0,0,1
Acianthera heringeri,1,0,0,0,0,0,0,0,1
Acianthera karlii,0,0,0,0,0,0,0,0,0
Acianthera langeana,0,1,0,0,0,0,0,0,1
Acianthera ophiantha,0,0,0,1,0,0,0,0,1
Acianthera papillosa,0,0,1,0,0,0,0,0,1
Acianthera pectinata,0,0,0,0,0,0,0,0,0
Acianthera pernambucensis,0,0,0,1,0,0,0,0,1
Acianthera saundersiana,0,0,0,0,0,0,0,0,0
Acianthera saurocephala,0,0,0,0,0,0,0,0,0
Acianthera strupifolia,0,0,0,0,0,0,0,0,0
Acianthera translucida,0,0,0,0,0,0,0,0,0
Acianthera tricarinata,0,0,0,0,0,0,0,0,0
Acicarpha tribuloides,0,0,0,0,1,0,0,0,1
Acmella pusilla,0,1,0,0,0,0,0,0,1
Acmella uliginosa,0,0,0,0,0,0,0,0,0
Acritopappus catolesensis,0,0,1,0,0,0,0,0,1
Acritopappus connatifolius,0,1,0,0,0,0,0,0,1
Acritopappus irwinii,0,0,1,0,0,0,0,0,1
Acritopappus pintoi,1,0,0,0,0,0,0,0,1
Acroceras excavatum,0,0,1,1,0,0,0,0,1
Acroceras zizanioides,0,0,0,0,0,0,0,0,0
Acrocomia emensis,0,0,1,0,0,0,0,0,1
Acrocomia hassleri,0,1,0,0,0,0,0,0,1
Acrostichum aureum,0,0,0,0,0,0,0,0,0
Acrostichum danaeifolium,0,0,0,0,0,0,0,0,0
Actinocephalus cabralensis,0,0,0,1,0,0,0,0,1
Actinocephalus ciliatus,0,0,0,1,0,0,0,0,1
Actinocephalus cipoensis,1,0,0,0,0,0,0,0,1
Actinocephalus claussenianus,0,0,1,0,0,0,0,0,1
Actinocephalus heterotrichus,0,0,0,1,0,0,0,0,1
Actinocephalus rhizomatosus,0,0,0,1,0,0,0,0,1
Actinocephalus scytophyllus,0,0,0,1,0,0,0,0,1
Actinostemon concolor,0,0,0,0,0,0,0,0,0
Actinostemon klotzschii,0,0,0,1,0,0,0,0,1
Actinostemon verticillatus,0,0,0,0,0,0,0,0,0
Adamantinia miltonioides,1,0,0,0,0,0,0,0,1
Adelothecium bogotense,0,0,0,0,0,0,0,0,0
Adenocalymma dichilum,0,1,0,0,0,0,0,0,1
Adenocalymma divaricatum,0,1,0,0,0,0,0,0,1
Adenocalymma hypostictum,0,1,0,0,0,0,0,0,1
Adenocalymma paulistarum,0,0,0,0,0,0,0,0,0
Adenocalymma ubatubense,1,0,0,0,0,0,0,0,1
Adenophaedra cearensis,1,0,0,0,0,0,0,0,1
Adesmia paranensis,0,0,0,0,0,1,0,0,1
Adiantum diphyllum,1,0,0,0,0,0,0,0,1
Adiantum discolor,0,1,0,0,0,0,0,0,1
Adiantum mynsseniae,0,1,0,0,0,0,0,0,1
Adiantum papillosum,0,1,0,0,0,0,0,0,1
Adiantum tetragonum,0,1,0,0,0,0,0,0,1
Aechmea alopecurus,0,1,0,0,0,0,0,0,1
Aechmea amicorum,0,1,0,0,0,0,0,0,1
Aechmea apocalyptica,0,0,1,0,1,0,0,0,1
Aechmea azurea,0,0,1,0,0,0,0,0,1
Aechmea bambusoides,0,0,1,0,0,0,0,0,1
Aechmea bromeliifolia,0,0,0,0,0,0,0,0,0
Aechmea bromeliifolia var. albobracteata,0,0,0,0,0,0,0,0,0
Aechmea candida,0,0,0,1,0,0,0,0,1
Aechmea capixabae,0,0,0,1,0,0,0,0,1
Aechmea cariocae,0,1,0,0,0,0,0,0,1
Aechmea castanea,0,1,0,0,0,0,0,0,1
Aechmea caudata,0,0,0,0,0,0,0,0,0
Aechmea cylindrata,0,0,0,0,0,0,0,0,0
Aechmea distichantha,0,0,0,0,0,0,0,0,0
Aechmea echinata,0,1,0,0,0,0,0,0,1
Aechmea entringeri,0,0,0,1,0,0,0,0,1
Aechmea fosteriana,0,1,0,0,0,0,0,0,1
Aechmea gamosepala,0,0,0,0,1,0,0,0,1
Aechmea gracilis,0,0,0,0,0,0,0,0,0
Aechmea kertesziae,0,1,0,0,0,0,0,0,1
Aechmea kleinii,0,1,0,0,0,0,0,0,1
Aechmea lingulata,0,0,1,1,0,0,0,0,1
Aechmea macrochlamys,0,1,0,0,0,0,0,0,1
Aechmea marginalis,1,0,0,0,0,0,0,0,1
Aechmea muricata,0,1,0,0,0,0,0,0,1
Aechmea mutica,0,1,0,0,0,0,0,0,1
Aechmea nudicaulis,0,0,0,0,0,0,0,0,0
Aechmea orlandiana,1,0,0,0,0,0,0,0,1
Aechmea pectinata,0,0,0,0,0,0,0,0,0
Aechmea pedicellata,0,0,0,1,0,0,0,0,1
Aechmea pimenti-velosoi,0,0,0,1,0,0,0,0,1
Aechmea podantha,0,0,0,1,0,0,0,0,1
Aechmea recurvata,0,0,1,1,0,0,0,0,1
Aechmea recurvata var. ortgiesii,0,0,0,1,0,0,0,0,1
Aechmea roberto-seidelii,0,0,0,1,0,0,0,0,1
Aechmea rubrolilacina,0,0,0,1,0,0,0,0,1
Aechmea setigera,0,0,0,0,1,0,0,0,1
Aechmea sphaerocephala,0,1,0,0,0,0,0,0,1
Aechmea triangularis,0,1,0,0,0,0,0,0,1
Aechmea vanhoutteana,0,0,1,0,0,0,0,0,1
Aechmea werdermannii,0,1,0,0,0,0,0,0,1
Aechmea winkleri,1,0,0,0,0,0,0,0,1
Aechmea wittmackiana,0,0,1,0,0,0,0,0,1
Aegiphila australis,0,0,0,0,0,0,0,0,0
Aegiphila brachiata,0,0,0,0,0,0,0,0,0
Aegiphila capitata,0,0,0,0,1,0,0,0,1
Aegiphila duckei,0,0,0,1,0,0,0,0,1
