nome_aceito_correto,fontes,notas,nomes_originais,elegivel_originais,fontes_originais
Aphelandra espirito-santensis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Aphelandra espirito-santensis,examinar,sima-Portaria 443/2014
Aphelandra longiflora,sima-cncflora_web,NA,Aphelandra longiflora,apta,sima-cncflora_web
Aphelandra maximiliana,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Aphelandra maximiliana,examinar,sima-Portaria 443/2014
Aphelandra prismatica,cncflora_web,NA,Aphelandra prismatica,apta,cncflora_web
Aphelandra schottiana,sima-cncflora_web,NA,Aphelandra schottiana,apta,sima-cncflora_web
Aphelandra squarrosa,sima-SP_oficial-cncflora_web,NA,Aphelandra squarrosa,apta,sima-SP_oficial-cncflora_web
Dicliptera squarrosa,sima-cncflora_web,NA,Dicliptera squarrosa,apta,sima-cncflora_web
Dyschoriste lavandulacea,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Dyschoriste lavandulacea,examinar,sima-Portaria 443/2014
Justicia brasiliana,sima-cncflora_web,NA,Justicia brasiliana,apta,sima-cncflora_web
Justicia genuflexa,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Justicia genuflexa,examinar,sima-Portaria 443/2014
Justicia kleinii,sima-cncflora_web,NA,Justicia kleinii,apta,sima-cncflora_web
Justicia lythroides,sima-cncflora_web,NA,Justicia lythroides,apta,sima-cncflora_web
Justicia polita,sima-cncflora_web-Portaria 443/2014,NA,Justicia polita,apta,sima-cncflora_web-Portaria 443/2014
Justicia pygmaea,sima-cncflora_web,Nome original era sinônimo,Justicia catharinensis,apta,sima-cncflora_web
Justicia scheidweileri,cncflora_web,NA,Justicia scheidweileri,apta,cncflora_web
Justicia tijucensis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Justicia tijucensis,examinar,sima-Portaria 443/2014
Lepidagathis meridionalis,sima-SP_oficial,NA,Lepidagathis meridionalis,apta,sima-SP_oficial
Pseuderanthemum riedelianum,sima-cncflora_web,NA,Pseuderanthemum riedelianum,apta,sima-cncflora_web
Ruellia bulbifera,sima-cncflora_web,NA,Ruellia bulbifera,apta,sima-cncflora_web
Ruellia epallocaulos,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Ruellia epallocaulos,examinar,sima
Ruellia erythropus,sima-cncflora_web,NA,Ruellia erythropus,apta,sima-cncflora_web
Ruellia multifolia,sima-cncflora_web,NA,Ruellia multifolia,apta,sima-cncflora_web
Ruellia solitaria,sima-cncflora_web,NA,Ruellia solitaria,apta,sima-cncflora_web
Staurogyne brachiata,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Staurogyne brachiata,examinar,sima-Portaria 443/2014
Staurogyne elegans,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Staurogyne elegans,examinar,sima-Portaria 443/2014
Staurogyne itatiaiae,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Staurogyne itatiaiae,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Staurogyne vauthieriana,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Staurogyne vauthieriana,examinar,sima-Portaria 443/2014
Staurogyne veronicifolia,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Staurogyne veronicifolia,examinar,sima-Portaria 443/2014
Staurogyne warmingiana,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Staurogyne warmingiana,examinar,sima-Portaria 443/2014
Stenandrium mandioccanum,sima-SP_oficial,NA,Stenandrium mandioccanum,apta,sima-SP_oficial
Stenostephanus lobeliiformis,sima-cncflora_web,NA,Stenostephanus lobeliiformis,apta,sima-cncflora_web
Stenandrium hatschbachii,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Stenandrium hatschbachii,examinar,sima-Portaria 443/2014
Stenandrium stenophyllum,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Stenandrium stenophyllum,examinar,sima-Portaria 443/2014
Ruellia dissitifolia,sima-cncflora_web,NA,Ruellia dissitifolia,apta,sima-cncflora_web
Avicennia schaueriana,UICN_API,NA,Avicennia schaueriana,apta,UICN_API
Dyschoriste smithii,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Dyschoriste smithii,examinar,sima-Portaria 443/2014
Staurogyne nitida,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Staurogyne carvalhoi,examinar,sima-Portaria 443/2014
Justicia laevilinguis,sima-cncflora_web,NA,Justicia laevilinguis,apta,sima-cncflora_web
Justicia pseudoamazonica,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Justicia pseudoamazonica,examinar,sima
Avicennia germinans,UICN_API,NA,Avicennia germinans,apta,UICN_API
Aphelandra margaritae,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Aphelandra margaritae,examinar,sima-Portaria 443/2014
Justicia clausseniana,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Justicia clausseniana,examinar,sima-Portaria 443/2014
Stenandrium dulce,sima-SP_oficial-cncflora_web,nome duplicado com critério conflitante na base original/Nome original era sinônimo,Stenandrium diphyllum-Stenandrium diphyllum,examinar,sima-SP_oficial-cncflora_web-sima-SP_oficial-cncflora_web
Justicia ramulosa,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Justicia ramulosa,examinar,sima-Portaria 443/2014
Odontonema dissitiflorum,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Odontonema dissitiflorum,examinar,sima-Portaria 443/2014
Pseuderanthemum modestum,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Pseuderanthemum modestum,examinar,sima
Justicia bullata,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Justicia bullata,examinar,sima
Ruellia chamaedrys,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Ruellia chamaedrys,examinar,sima
Schaueria paranaensis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Justicia paranaensis-Schaueria paranaensis,examinar,sima-Portaria 443/2014-sima
Schaueria paranaensis,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Justicia paranaensis-Schaueria paranaensis,examinar,sima-Portaria 443/2014-sima
Schaueria litoralis,sima,NA,Schaueria litoralis-Schaueria lophura-Schaueria virginea,apta,sima-cncflora_web-cncflora_web
Schaueria litoralis,cncflora_web,Nome original era sinônimo,Schaueria litoralis-Schaueria lophura-Schaueria virginea,apta,sima-cncflora_web-cncflora_web
Pachystachys dubiosa,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Pachystachys dubiosa-Streblacanthus dubiosus,examinar,sima-sima-Portaria 443/2014
Pachystachys dubiosa,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Pachystachys dubiosa-Streblacanthus dubiosus,examinar,sima-sima-Portaria 443/2014
Achatocarpus praecox,sima-cncflora_web-UICN_API,NA,Achatocarpus praecox,apta,sima-cncflora_web-UICN_API
Adelothecium bogotense,cncflora_web,NA,Adelothecium bogotense,apta,cncflora_web
Echinodorus paniculatus,sima-SP_oficial-cncflora_web-mpoSP,NA,Echinodorus paniculatus,apta,sima-SP_oficial-cncflora_web-mpoSP
Sagittaria lancifolia,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Sagittaria lancifolia,examinar,sima-Portaria 443/2014
Sagittaria rhombifolia,cncflora_web,NA,Sagittaria rhombifolia,apta,cncflora_web
Helanthium bolivianum,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Helanthium bolivianum,examinar,sima
Limnocharis laforesti,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Limnocharis laforesti-Limnocharis laforestii,examinar,sima-SP_oficial
Limnocharis laforesti,SP_oficial,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Limnocharis laforesti-Limnocharis laforestii,examinar,sima-SP_oficial
