nome_aceito_correto,fontes
Abarema acreana,sima
Abarema brachystachya,cncflora_web-UICN_API
Abarema cochliacarpos,cncflora_web-UICN_API
Abarema langsdorffii,cncflora_ckan-UICN_API
Abarema villifera,sima
Abatia angeliana,sima-Portaria 443/2014
Abuta selloana,sima-cncflora_web
Abutilon anodoides,sima-Portaria 443/2014
Abutilon costicalyx,cncflora_web
Abutilon nigricans,sima-SP_oficial-cncflora_web-Portaria 443/2014
Abutilon venosum,sima-cncflora_web
Acaena eupatoria,sima-SP_oficial
Acalypha brasiliensis,cncflora_ckan-UICN_API
Acalypha macrostachya,UICN_API
Acalypha villosa,UICN_API
Acanthocladus brasiliensis,sima-cncflora_web
Acanthostachys pitcairnioides,sima
Acanthosyris paulo-alvinii,sima-Portaria 443/2014
Accara elegans,sima-Portaria 443/2014
Achatocarpus praecox,sima-cncflora_web-UICN_API
Achyrocline eriodes,sima-Portaria 443/2014
Acianthera adiri,sima-Portaria 443/2014
Acianthera aphthosa,cncflora_web
Acianthera auriculata,cncflora_web
Acianthera bragae,cncflora_web
Acianthera crinita,cncflora_web
Acianthera glumacea,cncflora_web
Acianthera guimaraensii,UICN_API
Acianthera heringeri,sima-Portaria 443/2014
Acianthera karlii,sima
Acianthera langeana,sima-Portaria 443/2014
Acianthera ophiantha,sima
Acianthera papillosa,sima-cncflora_web-Portaria 443/2014
Acianthera pectinata,cncflora_web
Acianthera pernambucensis,sima
Acianthera saundersiana,UICN_API
Acianthera saurocephala,cncflora_web
Acianthera strupifolia,cncflora_web
Acianthera translucida,cncflora_web
Acianthera tricarinata,sima-cncflora_web
Acicarpha tribuloides,sima-SP_oficial-cncflora_web-mpoSP
Acmella pusilla,sima-Portaria 443/2014
Acmella uliginosa,UICN_API
Acritopappus catolesensis,sima-Portaria 443/2014
Acritopappus connatifolius,sima-Portaria 443/2014
Acritopappus irwinii,sima-Portaria 443/2014
Acritopappus pintoi,sima-Portaria 443/2014
Acroceras excavatum,sima-SP_oficial-cncflora_web
Acroceras zizanioides,UICN_API
Acrocomia emensis,sima-SP_oficial-cncflora_web-Portaria 443/2014
Acrocomia hassleri,sima-SP_oficial
Acrostichum aureum,UICN_API
Acrostichum danaeifolium,UICN_API
Actinocephalus cabralensis,sima
Actinocephalus ciliatus,sima
Actinocephalus cipoensis,sima-Portaria 443/2014
Actinocephalus claussenianus,sima-Portaria 443/2014
Actinocephalus heterotrichus,sima
Actinocephalus rhizomatosus,sima
Actinocephalus scytophyllus,sima
Actinostemon concolor,UICN_API
Actinostemon klotzschii,sima-UICN_API
Actinostemon verticillatus,UICN_API
Adamantinia miltonioides,sima-Portaria 443/2014
Adelothecium bogotense,cncflora_web
Adenocalymma dichilum,sima-Portaria 443/2014
Adenocalymma divaricatum,sima-Portaria 443/2014
Adenocalymma hypostictum,sima-Portaria 443/2014
Adenocalymma paulistarum,sima-cncflora_web
Adenocalymma ubatubense,sima-SP_oficial-cncflora_web-Portaria 443/2014
Adenophaedra cearensis,sima-Portaria 443/2014
Adesmia paranensis,sima
Adiantum diphyllum,sima-Portaria 443/2014
Adiantum discolor,sima-Portaria 443/2014
Adiantum mynsseniae,sima-cncflora_web-Portaria 443/2014
Adiantum papillosum,sima-Portaria 443/2014
Adiantum tetragonum,sima-Portaria 443/2014
Aechmea alopecurus,sima-Portaria 443/2014
Aechmea amicorum,sima-Portaria 443/2014
Aechmea apocalyptica,sima-SP_oficial-Portaria 443/2014
Aechmea azurea,sima-Portaria 443/2014
Aechmea bambusoides,sima-Portaria 443/2014
Aechmea bromeliifolia,cncflora_web
Aechmea bromeliifolia var. albobracteata,cncflora_web
Aechmea candida,sima
Aechmea capixabae,sima
Aechmea cariocae,sima-Portaria 443/2014
Aechmea castanea,sima-Portaria 443/2014
Aechmea caudata,cncflora_web
Aechmea cylindrata,cncflora_web
Aechmea distichantha,cncflora_web
Aechmea echinata,sima-Portaria 443/2014
Aechmea entringeri,sima
Aechmea fosteriana,sima-Portaria 443/2014
Aechmea gamosepala,sima-SP_oficial
Aechmea gracilis,sima-cncflora_web
Aechmea kertesziae,sima-Portaria 443/2014
Aechmea kleinii,sima-Portaria 443/2014
Aechmea lingulata,sima-SP_oficial
Aechmea macrochlamys,sima-Portaria 443/2014
Aechmea marginalis,sima-Portaria 443/2014
Aechmea muricata,sima-Portaria 443/2014
Aechmea mutica,sima-Portaria 443/2014
Aechmea nudicaulis,cncflora_web
Aechmea orlandiana,sima-Portaria 443/2014
Aechmea pectinata,cncflora_web
Aechmea pedicellata,sima
Aechmea pimenti-velosoi,sima
Aechmea podantha,sima
Aechmea recurvata,sima-SP_oficial
