nome_aceito_correto,notas_all
Abarema acreana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Abarema brachystachya,Nome original era sinônimo
Abarema cochliacarpos,Nome original era sinônimo-NA
Abarema langsdorffii,"NA"
Abarema villifera,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Abatia angeliana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Abuta selloana,"NA"
Abutilon anodoides,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Abutilon costicalyx,"NA"
Abutilon nigricans,"NA"
Abutilon venosum,"NA"
Acaena eupatoria,"NA"
Acalypha brasiliensis,Nome original era sinônimo
Acalypha macrostachya,"NA"
Acalypha villosa,"NA"
Acanthocladus brasiliensis,"NA"
Acanthostachys pitcairnioides,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Acanthosyris paulo-alvinii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Accara elegans,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Achatocarpus praecox,"NA"
Achyrocline eriodes,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo
Acianthera adiri,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Acianthera aphthosa,"NA"
Acianthera auriculata,"NA"
Acianthera bragae,"NA"
Acianthera crinita,"NA"
Acianthera glumacea,"NA"
Acianthera guimaraensii,Nome original era sinônimo
Acianthera heringeri,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Acianthera karlii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Acianthera langeana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Acianthera ophiantha,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Acianthera papillosa,"NA"
Acianthera pectinata,"NA"
Acianthera pernambucensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Acianthera saundersiana,"NA"
Acianthera saurocephala,"NA"
Acianthera strupifolia,"NA"
Acianthera translucida,"NA"
Acianthera tricarinata,"NA"
Acicarpha tribuloides,"NA"
Acmella pusilla,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Acmella uliginosa,"NA"
Acritopappus catolesensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Acritopappus connatifolius,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Acritopappus irwinii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Acritopappus pintoi,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Acroceras excavatum,"NA"
Acroceras zizanioides,"NA"
Acrocomia emensis,"NA"
Acrocomia hassleri,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Acrostichum aureum,"NA"
Acrostichum danaeifolium,"NA"
Actinocephalus cabralensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Actinocephalus ciliatus,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Actinocephalus cipoensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Actinocephalus claussenianus,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Actinocephalus heterotrichus,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Actinocephalus rhizomatosus,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Actinocephalus scytophyllus,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Actinostemon concolor,"NA"
Actinostemon klotzschii,"NA"
Actinostemon verticillatus,"NA"
Adamantinia miltonioides,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Adelothecium bogotense,"NA"
Adenocalymma dichilum,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Adenocalymma divaricatum,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo
Adenocalymma hypostictum,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo
Adenocalymma paulistarum,"NA"
Adenocalymma ubatubense,"NA"
Adenophaedra cearensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Adesmia paranensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Adiantum diphyllum,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Adiantum discolor,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Adiantum mynsseniae,"NA"
Adiantum papillosum,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
