nome_aceito_correto,grupo,familia,genero,epiteto_especifico,nivel_taxonomico,epiteto_infraespecifico
Myrcia loranthifolia,Angiospermas,Myrtaceae,Myrcia,loranthifolia,especie,NA
Annona emarginata,Angiospermas,Annonaceae,Annona,emarginata,especie,NA
Magnolia ovata,Angiospermas,Magnoliaceae,Magnolia,ovata,especie,NA
Annona dolabripetala,Angiospermas,Annonaceae,Annona,dolabripetala,especie,NA
Asplundia brachypus,Angiospermas,Cyclanthaceae,Asplundia,brachypus,especie,NA
Capanemia therezae,Angiospermas,Orchidaceae,Capanemia,therezae,especie,NA
Cattleya perrinii,Angiospermas,Orchidaceae,Cattleya,perrinii,especie,NA
Cattleya purpurata,Angiospermas,Orchidaceae,Cattleya,purpurata,especie,NA
Chascolytrum brasilense,Angiospermas,Poaceae,Chascolytrum,brasilense,especie,NA
Chascolytrum itatiaiae,Angiospermas,Poaceae,Chascolytrum,itatiaiae,especie,NA
Chomelia brasiliana,Angiospermas,Rubiaceae,Chomelia,brasiliana,especie,NA
Cryptanthus zonatus,Angiospermas,Bromeliaceae,Cryptanthus,zonatus,especie,NA
Dyckia tuberosa,Angiospermas,Bromeliaceae,Dyckia,tuberosa,especie,NA
Gomesa pectoralis,Angiospermas,Orchidaceae,Gomesa,pectoralis,especie,NA
Gomesa praetexta,Angiospermas,Orchidaceae,Gomesa,praetexta,especie,NA
Gomesa uniflora,Angiospermas,Orchidaceae,Gomesa,uniflora,especie,NA
Habenaria ernesti-ulei,Angiospermas,Orchidaceae,Habenaria,ernesti-ulei,especie,NA
Henriettea saldanhae,Angiospermas,Melastomataceae,Henriettea,saldanhae,especie,NA
Isostigma peucedanifolium,Angiospermas,Asteraceae,Isostigma,peucedanifolium,especie,NA
Leandra salicina,Angiospermas,Melastomataceae,Leandra,salicina,especie,NA
Miconia formosa,Angiospermas,Melastomataceae,Miconia,formosa,especie,NA
Myrcia glomerata,Angiospermas,Myrtaceae,Myrcia,glomerata,especie,NA
Myrcia multipunctata,Angiospermas,Myrtaceae,Myrcia,multipunctata,especie,NA
Pabstiella carinifera,Angiospermas,Orchidaceae,Pabstiella,carinifera,especie,NA
Schaueria litoralis,Angiospermas,Acanthaceae,Schaueria,litoralis,especie,NA
Siphoneugena crassifolia,Angiospermas,Myrtaceae,Siphoneugena,crassifolia,especie,NA
Struthanthus flexicaulis,Angiospermas,Loranthaceae,Struthanthus,flexicaulis,especie,NA
Terminalia hoehneana,Angiospermas,Combretaceae,Terminalia,hoehneana,especie,NA
Terminalia kleinii,Angiospermas,Combretaceae,Terminalia,kleinii,especie,NA
Terminalia parvifolia,Angiospermas,Combretaceae,Terminalia,parvifolia,especie,NA
Abarema cochliacarpos,Angiospermas,Fabaceae,Abarema,cochliacarpos,especie,NA
Aechmea gamosepala,Angiospermas,Bromeliaceae,Aechmea,gamosepala,especie,NA
Aiouea glaziovii,Angiospermas,Lauraceae,Aiouea,glaziovii,especie,NA
Alansmia senilis,Samambaias e licófitas,Polypodiaceae,Alansmia,senilis,especie,NA
Albizia edwallii,Angiospermas,Fabaceae,Albizia,edwallii,especie,NA
Aldama goyazii,Angiospermas,Asteraceae,Aldama,goyazii,especie,NA
