nome_aceito_correto,entra_revisado
Aphelandra squarrosa,SIM
Justicia genuflexa,NAO
Justicia pygmaea,SIM
Justicia tijucensis,SIM
Staurogyne vauthieriana,NAO
Stenostephanus lobeliiformis,SIM
Stenandrium dulce,SIM
Ruellia chamaedrys,NAO
Echinodorus paniculatus,SIM
Alstroemeria caryophyllaea,NAO
Alstroemeria foliosa,SIM
Alstroemeria plantaginea,SIM
Herbstia brasiliana,SIM
Froelichia interrupta,NAO
Froelichia procera,SIM
Alternanthera aquatica,SIM
Alternanthera paronychioides,SIM
Alternanthera kurtzii,SIM
Alternanthera flavescens,SIM
Crinum americanum,SIM
Griffinia espiritensis,NAO
Hippeastrum psittacinum,SIM
Hippeastrum striatum,SIM
Griffinia liboniana,NAO
Hippeastrum morelianum,SIM
Hippeastrum reginae,SIM
Hippeastrum vittatum,SIM
Worsleya procera,NAO
Zephyranthes candida,SIM
Zephyranthes blumenavia,SIM
Schinus engleri,SIM
Astronium urundeuva,SIM
Anemia blechnoides,SIM
Anemia phyllitidis,SIM
Annona dolabripetala,SIM
Annona emarginata,SIM
Annona parviflora,NAO
Annona xylopiifolia,SIM
Duguetia salicifolia,SIM
Trigynaea oblongifolia,SIM
Xylopia brasiliensis,SIM
Eryngium eurycephalum,SIM
Eryngium scirpinum,SIM
Eryngium koehneanum,SIM
Apium prostratum,SIM
Asclepias aequicornu,SIM
Asclepias langsdorffii,SIM
Aspidosperma compactinervium,SIM
Aspidosperma parvifolium,SIM
Aspidosperma polyneuron,SIM
Aspidosperma quirandy,NAO
Aspidosperma riedelii,SIM
Macroditassa marianae,SIM
Matelea glaziovii,SIM
Oxypetalum strictum,SIM
Prestonia solanifolia,SIM
Widgrenia corymbosa,SIM
Ilex integerrima,SIM
Ilex paraguariensis,SIM
Anthurium jureianum,SIM
Anthurium langsdorffii,SIM
Asterostigma cubense,SIM
Asterostigma tweedianum,SIM
Philodendron simonianum,SIM
Xanthosoma pentaphyllum,SIM
Xanthosoma riedelianum,SIM
Urospatha edwallii,SIM
Wolffia arrhiza,SIM
Asterostigma colubrinum,SIM
Xanthosoma blandum,NAO
Dendropanax nebulosus,SIM
Hydrocotyle exigua,SIM
Hydrocotyle pusilla,SIM
Araucaria angustifolia,SIM
Euterpe edulis,SIM
Butia eriospatha,NAO
Syagrus picrophylla,NAO
Trithrinax brasiliensis,NAO
Syagrus insignis,NAO
Aristolochia hypoglauca,NAO
Aristolochia cymbifera,SIM
Asplenium austrobrasiliense,SIM
Asplenium bradeanum,SIM
Dasyphyllum lanceolatum,SIM
Mikania biformis,SIM
Mikania bradei,SIM
Mikania chlorolepis,SIM
Mikania decumbens,SIM
Mikania firmula,SIM
Mikania hastato-cordata,SIM
Mikania oreophila,SIM
Mikania rufescens,SIM
Mikania smaragdina,SIM
Mikania warmingii,SIM
Stifftia fruticosa,SIM
Stifftia parviflora,SIM
Trichocline linearifolia,SIM
Trixis glaziovii,SIM
Austrocritonia angulicaulis,SIM
Eremanthus brasiliensis,NAO
Stevia pohliana,SIM
Senecio pohlii,SIM
Aspilia espinhacensis,SIM
Aspilia floribunda,SIM
Baccharis elliptica,SIM
Heterocondylus amphidyctius,SIM
Lepidaploa chamissonis,SIM
Lessingianthus argenteus,SIM
Lessingianthus elegans,SIM
Lessingianthus grandiflorus,SIM
Lessingianthus niederleinii,SIM
Lessingianthus pumillus,SIM
Lessingianthus zuccarinianus,SIM
Mikania argyreiae,SIM
Mikania capricorni,SIM
Mikania malacolepis,SIM
Praxelis grandiflora,SIM
Stomatanthes dentatus,SIM
