mun,t20,etiqueta
,NA,TRUE
-,NA,TRUE
14 km de capao bonito,NA,TRUE
1km ao sudeste de itarare,NA,TRUE
2km de mogi das cruzes,NA,TRUE
a 2km oeste de jeriquara.,NA,TRUE
adamantina,NA,TRUE
adolfo,NA,TRUE
agua de santa barbara,NA,TRUE
agua funda,NA,TRUE
aguai,NA,TRUE
aguas da prata,NA,TRUE
aguas da santa barbara,NA,TRUE
aguas de lindoia,NA,TRUE
aguas de santa barbara,NA,TRUE
aguas de sao pedro,NA,TRUE
aguas do prata,NA,TRUE
aguas santa barbara,NA,TRUE
agudos,NA,TRUE
ajapi,NA,TRUE
alambari,TRUE,NA
alphaville,NA,TRUE
alta da lapa,NA,TRUE
altinopolis,NA,TRUE
altipopolis,NA,TRUE
alto da lapa,NA,TRUE
alto da serra,NA,TRUE
aluminio,TRUE,TRUE
alvares florence,NA,TRUE
alvares machado,NA,TRUE
americana,NA,TRUE
americo brailiense,NA,TRUE
americo brasiliense,NA,TRUE
amparo,NA,TRUE
analandia,NA,TRUE
anastacio,NA,TRUE
andradina,NA,TRUE
angatuba,NA,TRUE
anhembi,NA,TRUE
antonina,NA,TRUE
aparecida do norte,NA,TRUE
apiai,NA,TRUE
aracariguama,TRUE,TRUE
aracatuba,NA,TRUE
aracoiaba da serra,TRUE,TRUE
arandu,NA,TRUE
arapei,NA,TRUE
araraquara,NA,TRUE
araras,NA,TRUE
arariquama,NA,TRUE
arealva,NA,TRUE
areias,NA,TRUE
artemis,NA,TRUE
aruja,TRUE,TRUE
assis,NA,TRUE
atibaia,TRUE,TRUE
auflama,NA,TRUE
avai,NA,TRUE
avanhandava,NA,TRUE
avare,NA,TRUE
bady bassit,NA,TRUE
bahiauru,NA,TRUE
balsamo,NA,TRUE
bananal,NA,TRUE
bariri,NA,TRUE
barra bonita,NA,TRUE
barra de una,NA,TRUE
barra do chapeu,NA,TRUE
barra do turvo,NA,TRUE
barra do una,NA,TRUE
barreiro,NA,TRUE
barretos,NA,TRUE
barretos (g7),NA,TRUE
barretos (p7),NA,TRUE
barrinha,NA,TRUE
barueri,TRUE,TRUE
bastos,NA,TRUE
batatais,NA,TRUE
bauru,NA,TRUE
bebedouro,NA,TRUE
bela vista,NA,TRUE
belem spr,NA,TRUE
bertioga,NA,TRUE
birigui,NA,TRUE
biriqui,NA,TRUE
biritiba,NA,TRUE
biritiba mirim,TRUE,TRUE
biritiba ussu,NA,TRUE
biritiba-acu,NA,TRUE
biritiba-mirim,NA,TRUE
biritiba-ussu,NA,TRUE
bititiba mirim,NA,TRUE
blumenau,NA,TRUE
boa esperanca do sul,NA,TRUE
bocaina,NA,TRUE
bocaina do sul,NA,TRUE
bofete,NA,TRUE
boituva,TRUE,TRUE
bom jesus dos perdoes,TRUE,TRUE
bom sucesso,NA,TRUE
bom sucesso de itacare,NA,TRUE
bom sucesso de itarare,NA,TRUE
bom sucesso de itarare.,NA,TRUE
bom sucesso do itarare,NA,TRUE
bonsucesso de itarare,NA,TRUE
boraceia,NA,TRUE
botucatu,NA,TRUE
br 116,NA,TRUE
braganca paulista,TRUE,TRUE
brejatuba,NA,TRUE
brejetuba,NA,TRUE
brigadeiro tobias,NA,TRUE
brotas,NA,TRUE
buri,NA,TRUE
buritizal,NA,TRUE
butanta,NA,TRUE
cabreuva,TRUE,TRUE
cacapava,NA,TRUE
cachoeira paulista,NA,TRUE
caconde,NA,TRUE
cafelandia,NA,TRUE
caieiras,TRUE,TRUE
cajamar,TRUE,TRUE
cajati,NA,TRUE
cajuru,NA,TRUE
campina do monte alegre,NA,TRUE
campinas,NA,TRUE
campinas/itatiba,NA,TRUE
campo alegre,NA,TRUE
campo de congonhas,NA,TRUE
campo grande,NA,TRUE
campo limpo paulista,TRUE,TRUE
campos da bocaina,NA,TRUE
campos de cunha,NA,TRUE
campos de jordao,NA,TRUE
campos do jordao,NA,TRUE
campos novos paulista,NA,TRUE
cananaia,NA,TRUE
cananeia,NA,TRUE
candido mota,NA,TRUE
cannaneia,NA,TRUE
capao bonito,NA,TRUE
capela do alto,TRUE,NA
capital,NA,TRUE
capivari,NA,TRUE
caraguatatuba,NA,TRUE
carapicuiba,TRUE,TRUE
cardoso,NA,TRUE
carlos botelho,NA,TRUE
carmopolis de minas,NA,TRUE
casa branca,NA,TRUE
casa verde,NA,TRUE
cassia dos coqueiros,NA,TRUE
castilho,NA,TRUE
catanduva,NA,TRUE
caucaia do alto,NA,TRUE
cedral,NA,TRUE
centro paulus,NA,TRUE
"cerca de 2 km de peruibe,",NA,TRUE
cerqueira cesar,NA,TRUE
cesario lange,NA,TRUE
charqueada,NA,TRUE
cobumbatai,NA,TRUE
cocaes,NA,TRUE
colina,NA,TRUE
conchal,NA,TRUE
conchas,NA,TRUE
cordeiropolis,NA,TRUE
coronel macedo,NA,TRUE
corrego alegre,NA,TRUE
corumbatai,NA,TRUE
corumbatai.,NA,TRUE
cosmopolis,NA,TRUE
cosmorama,NA,TRUE
cotia,TRUE,TRUE
cravinhos,NA,TRUE
cristais paulista,NA,TRUE
cruzeiro,NA,TRUE
cubatao,TRUE,TRUE
cultivada,NA,TRUE
cunha,NA,TRUE
cunhas,NA,TRUE
delfim moreira,NA,TRUE
descalvado,NA,TRUE
diadema,TRUE,TRUE
divinolandia,NA,TRUE
do turvo,NA,TRUE
dobrada,NA,TRUE
dois corregos,NA,TRUE
dourado,NA,TRUE
dracena,NA,TRUE
duartina,NA,TRUE
eldorado,NA,TRUE
eldorado paulista,NA,TRUE
elihu root,NA,TRUE
emas,NA,TRUE
embu,NA,TRUE
embu das artes,TRUE,TRUE
embu guacu,NA,TRUE
embu-guacu,TRUE,TRUE
espirito santo do pinhal,NA,TRUE
espraiado,NA,TRUE
est. ecol. boraceia,NA,TRUE
estacao experimental boracea,NA,TRUE
estacao experimental monte alegre,NA,TRUE
estrada santa rosa-sao simao,NA,TRUE
estreito,NA,TRUE
estrela,NA,TRUE
estrela d'oeste,NA,TRUE
extrema,NA,TRUE
fernando prestes,NA,TRUE
fernandopolis,NA,TRUE
ferraz de vasconcelos,TRUE,TRUE
florianopolis,NA,TRUE
florida paulista,NA,TRUE
franca,NA,TRUE
francisco morato,TRUE,NA
franco da rocha,TRUE,TRUE
galia,NA,TRUE
garca,NA,TRUE
guapiara,NA,TRUE
guapira,NA,TRUE
guaracai,NA,TRUE
guaraci,NA,TRUE
guararapes,NA,TRUE
guararema,TRUE,NA
guaratingueta,NA,TRUE
guarei,NA,TRUE
guariba,NA,TRUE
guaruja,NA,TRUE
guarulhos,TRUE,TRUE
"harare fazenda ventania, no horto florestal",NA,TRUE
helvetia,NA,TRUE
herculandia,NA,TRUE
holambra,NA,TRUE
hortolandia,NA,TRUE
ianabi,NA,TRUE
iaras,NA,TRUE
ibate,NA,TRUE
ibiina,NA,TRUE
ibira,NA,TRUE
ibirarema,NA,TRUE
ibiti,NA,TRUE
ibitinga,NA,TRUE
ibiuna,TRUE,TRUE
icem,NA,TRUE
idaiatuba,NA,TRUE
iepe,NA,TRUE
igarapava,NA,TRUE
igarata,TRUE,TRUE
iguape,NA,TRUE
iguape.,NA,TRUE
iiha comprida,NA,TRUE
ilha bela,NA,TRUE
ilha comprida,NA,TRUE
ilha da queimada grande,NA,TRUE
ilha de palmas,NA,TRUE
ilha de sao sebastiao,NA,TRUE
ilha do cardoso,NA,TRUE
ilha solteira,NA,TRUE
ilhabela,NA,TRUE
ilhabella,NA,TRUE
indaiatuba,NA,TRUE
indeterminado,NA,TRUE
indiapora,NA,TRUE
interior,NA,TRUE
inubia paulista,NA,TRUE
ipanema,NA,TRUE
ipero,TRUE,TRUE
ipeuna,NA,TRUE
ipiranga,NA,TRUE
iporanga,NA,TRUE
iporanga/apiai,NA,TRUE
iracemapolis,NA,TRUE
itabaraba,NA,TRUE
itabera,NA,TRUE
itacare,NA,TRUE
itahim,NA,TRUE
itai,NA,TRUE
itajobi,NA,TRUE
itaju,NA,TRUE
itangua,NA,TRUE
itanhaem,TRUE,TRUE
itanhanhem,NA,TRUE
itaoca,NA,TRUE
itapecerica,NA,TRUE
itapecerica da serra,TRUE,TRUE
itapecirica,NA,TRUE
itapecirica da serra,NA,TRUE
itapetinga,NA,TRUE
itapetininga,NA,TRUE
itapeva,NA,TRUE
itapevi,TRUE,TRUE
itapina,NA,TRUE
itapira,NA,TRUE
itapira da serra,NA,TRUE
itapirina,NA,TRUE
itapitingui,NA,TRUE
itapora,NA,TRUE
itaporanga,NA,TRUE
itapui,NA,TRUE
itaquaquecetuba,TRUE,NA
itaquera,NA,TRUE
itaquera.,NA,TRUE
itaqui,NA,TRUE
itarapina,NA,TRUE
itarara,NA,TRUE
itarare,NA,TRUE
itarate,NA,TRUE
itariri,TRUE,TRUE
itatiaia,NA,TRUE
itatiba,NA,TRUE
itatinga,NA,TRUE
itatuba,NA,TRUE
itinga,NA,TRUE
itirapina,NA,TRUE
itopitingui,NA,TRUE
itu,TRUE,TRUE
itupeva,NA,TRUE
ituverava,NA,TRUE
jabaquara,NA,TRUE
jaboticabal,NA,TRUE
jacarei,TRUE,TRUE
jaci,NA,TRUE
jacupiranga,NA,TRUE
jaguariuna,NA,TRUE
jahu,NA,TRUE
jales,NA,TRUE
jambeiro,TRUE,NA
jandira,TRUE,TRUE
jaragua,NA,TRUE
jardim botanico,NA,TRUE
jardinopolis,NA,TRUE
jarinu,TRUE,TRUE
jau,NA,TRUE
jeriquara,NA,TRUE
joanopolis,TRUE,TRUE
joao ramalho,NA,TRUE
jose bonifacio,NA,TRUE
jucupiranga,NA,TRUE
jumirim,NA,TRUE
jundiai,TRUE,TRUE
juquia,TRUE,TRUE
juquitiba,TRUE,TRUE
jureia,NA,TRUE
lagoa santa,NA,TRUE
lajeado,NA,TRUE
laranjal paulista,NA,TRUE
lavinia,NA,TRUE
lavrinhas,NA,TRUE
leme,NA,TRUE
lencois paulista,NA,TRUE
limeira,NA,TRUE
lindoia,NA,TRUE
lins,NA,TRUE
loc.ign.,NA,TRUE
local ignorado,NA,TRUE
lorena,NA,TRUE
loreto,NA,TRUE
lourdes,NA,TRUE
louveira,NA,TRUE
lucelia,NA,TRUE
luis antonio,NA,TRUE
luiz antonio,NA,TRUE
luiz do paraitinga,NA,TRUE
luiziania,NA,TRUE
macaubal,NA,TRUE
macaubal (p2),NA,TRUE
macedonia,NA,TRUE
magda,NA,TRUE
mairinque,TRUE,TRUE
mairipora,TRUE,TRUE
mamparra,NA,TRUE
manduri,NA,TRUE
marilia,NA,TRUE
maripora,NA,TRUE
marsilac,NA,TRUE
martinho prado,NA,TRUE
martinho prado junior,NA,TRUE
martinopolis,NA,TRUE
matao,NA,TRUE
matao (g9),NA,TRUE
mato grosso,NA,TRUE
maua,TRUE,TRUE
mendonca,NA,TRUE
miguelopolis,NA,TRUE
miracata,NA,TRUE
miracatu,TRUE,TRUE
mirante do paranapanema,NA,TRUE
mirassol,NA,TRUE
mirassolandia,NA,TRUE
mococa,NA,TRUE
mogi,NA,TRUE
mogi cruzes,NA,TRUE
mogi da cruzes,NA,TRUE
mogi das cruzes,TRUE,TRUE
mogi das cruzes - estrada usaca,NA,TRUE
mogi das cruzes-biritiba mirim,NA,TRUE
mogi guacu,NA,TRUE
"mogi guacu, padua sales",NA,TRUE
mogi mirim,NA,TRUE
mogi-guacu,NA,TRUE
mogi-mirim,NA,TRUE
moji das cruzes,NA,TRUE
moji guacu,NA,TRUE
moji-guacu,NA,TRUE
moji-mirim,NA,TRUE
mojiguacu,NA,TRUE
mombuca,NA,TRUE
mongaga,NA,TRUE
mongagua,TRUE,TRUE
monguagua,NA,TRUE
monte alegre,NA,TRUE
monte alegre do sul,NA,TRUE
monte alto,NA,TRUE
monte aprazivel,NA,TRUE
monte castelo,NA,TRUE
monte mor,NA,TRUE
monteiro lobato,NA,TRUE
mooca,NA,TRUE
morro agudo,NA,TRUE
morro chato,NA,TRUE
morungaba,NA,TRUE
municipio cunha,NA,TRUE
municipio de votuporanga,NA,TRUE
na,NA,TRUE
natividade da serra,TRUE,TRUE
nazare paulista,TRUE,TRUE
nhandeara,NA,TRUE
nova alianca,NA,TRUE
nova alianca mun.,NA,TRUE
nova europa,NA,TRUE
nova granada,NA,TRUE
nova granada (g6),NA,TRUE
nova odessa,NA,TRUE
novo horizonte,NA,TRUE
novo horizonte (g1),NA,TRUE
nubia,NA,TRUE
oleo,NA,TRUE
olimpia,NA,TRUE
onda verde,NA,TRUE
orindiuva,NA,TRUE
oriundiuva,NA,TRUE
orlandia,NA,TRUE
osasco,TRUE,TRUE
ourinhos,NA,TRUE
ouro verde,NA,TRUE
p/ mogi das cruzes,NA,TRUE
palestina (p5),NA,TRUE
palestina (p6),NA,TRUE
palheireiros,NA,TRUE
palheiros,NA,TRUE
palmeira d'oeste,NA,TRUE
palmital,NA,TRUE
palmitalzinho,NA,TRUE
panorama,NA,TRUE
panorama - caiua,NA,TRUE
panorama /caiua,NA,TRUE
panorama-caiua,NA,TRUE
paraguacu,NA,TRUE
paraguacu paulista,NA,TRUE
paraibuna,TRUE,TRUE
paranapanema,NA,TRUE
paranapiacaba,NA,TRUE
parapanema,NA,TRUE
paraqui-acu,NA,TRUE
parati,NA,TRUE
paraty,NA,TRUE
pard,NA,TRUE
pardinho,NA,TRUE
parelheiro,NA,TRUE
parelheiros,NA,TRUE
parieta-acu,NA,TRUE
pariquera,NA,TRUE
pariquera acu,NA,TRUE
pariquera-acu,NA,TRUE
parque do carmo-itaquera,NA,TRUE
parque do estado,NA,TRUE
parque estadual da serra do ma,NA,TRUE
parque estadual da serra do mar - nucleo curucutu,NA,TRUE
parque sao paulo,NA,TRUE
paruibe,NA,TRUE
paticonia,NA,TRUE
patrocicio paulista,NA,TRUE
patrocinio paulista,NA,TRUE
paulinia,NA,TRUE
paulistania,NA,TRUE
paulo de faria,NA,TRUE
paulo de farias,NA,TRUE
paulo faria,NA,TRUE
pederneiras,NA,TRUE
pedra bela,NA,TRUE
pedregulho,NA,TRUE
pedreira,NA,TRUE
pedro de toledo,TRUE,TRUE
penapolis,NA,TRUE
pereira barreto,NA,TRUE
pereiras,NA,TRUE
peribe,NA,TRUE
peruibe,TRUE,TRUE
piassaguera,NA,TRUE
picinguaba,NA,TRUE
piedade,TRUE,TRUE
pilar do sul,NA,TRUE
pindamonhagaba,NA,TRUE
pindamonhamgaba,NA,TRUE
pindamonhangaba,NA,TRUE
pindorama,NA,TRUE
pindorama (p9),NA,TRUE
pinhal.zinho,NA,TRUE
pinhalzinho,NA,TRUE
pinheirinho,NA,TRUE
pinheiros,NA,TRUE
piquete,NA,TRUE
piracaia,TRUE,TRUE
piracibaba,NA,TRUE
piracicaba,NA,TRUE
piracicaba.,NA,TRUE
piraju,NA,TRUE
pirajui,NA,TRUE
pirajussara,NA,TRUE
pirapora do bom jesus,TRUE,NA
piraquera,NA,TRUE
pirassununga,NA,TRUE
piratininga,NA,TRUE
pirituba,NA,TRUE
pirssununga,NA,TRUE
piruque,NA,TRUE
pitangueiras,NA,TRUE
planalto,NA,TRUE
planalto (g3),NA,TRUE
platina,NA,TRUE
poa,TRUE,TRUE
poloni,NA,TRUE
pompeia,NA,TRUE
ponte grande,NA,TRUE
porangaba,NA,TRUE
porto epitacio,NA,TRUE
porto feliz,TRUE,TRUE
porto ferreira,NA,TRUE
porto primavera,NA,TRUE
potirendaba,NA,TRUE
praia grande,TRUE,TRUE
pratania,NA,TRUE
presidente bernardes,NA,TRUE
presidente epitacio,NA,TRUE
presidente epitacio pessoa,NA,TRUE
presidente olegario,NA,TRUE
presidente prudente,NA,TRUE
presidente venceslau,NA,TRUE
primavera,NA,TRUE
promissao,NA,TRUE
quata,NA,TRUE
queluz,NA,TRUE
querencia,NA,TRUE
rancharia,NA,TRUE
redencao da serra,TRUE,NA
regente feijo,NA,TRUE
registro,NA,TRUE
rejente feijo,NA,TRUE
reserva da jureia,NA,TRUE
restinga,NA,TRUE
ribeira,NA,TRUE
ribeirao bonito,NA,TRUE
ribeirao grande,NA,TRUE
ribeirao pires,TRUE,TRUE
ribeirao preto,NA,TRUE
riberao grande,NA,TRUE
rifaina,NA,TRUE
rio claro,NA,TRUE
rio das pedras,NA,TRUE
rio grande,NA,TRUE
rio grande da serra,TRUE,TRUE
riolandia,NA,TRUE
riversul,NA,TRUE
rodovia washington luiz km 261,NA,TRUE
rosana,NA,TRUE
roseira,NA,TRUE
rubiao junior,NA,TRUE
s. ant. da alegria,NA,TRUE
s. antonio da alegria,NA,TRUE
s. luis do paraytinga,NA,TRUE
s/ local,NA,TRUE
sabauna,NA,TRUE
sabino,NA,TRUE
sales,NA,TRUE
sales (g2),NA,TRUE
sales 3/4polis,NA,TRUE
salesopolis,TRUE,TRUE
salesopolis municipio,NA,TRUE
salesopolis/sao sebastiao,NA,TRUE
salespolis,NA,TRUE
sallesopolis,NA,TRUE
salmourao,NA,TRUE
saltao,NA,TRUE
salto,NA,TRUE
salto de pirapora,TRUE,TRUE
salto grande,NA,TRUE
san andre,NA,TRUE
sandovalina,NA,TRUE
santa adelia,NA,TRUE
santa barbara d'oeste,NA,TRUE
santa barbara d#?#oeste,NA,TRUE
santa branca,TRUE,TRUE
santa cruz da conceicao,NA,TRUE
santa cruz da estrela,NA,TRUE
santa cruz das palmeiras,NA,TRUE
santa cruz do rio pardo,NA,TRUE
santa fe do sul,NA,TRUE
santa genebra,NA,TRUE
santa isabel,TRUE,TRUE
santa maria da serra,NA,TRUE
santa olivia,NA,TRUE
santa rita,NA,TRUE
santa rita d'oeste,NA,TRUE
santa rita do passa quatro,NA,TRUE
santa rosa do viterbo,NA,TRUE
santa salete,NA,TRUE
santana,NA,TRUE
santana de parnaiba,TRUE,NA
santana do riacho,NA,TRUE
santo amaro,NA,TRUE
santo anastacio,NA,TRUE
santo andre,TRUE,TRUE
santo antonio da alagria,NA,TRUE
santo antonio da alegria,NA,TRUE
santo antonio da posse,NA,TRUE
santo antonio de posse,NA,TRUE
