nome_aceito_correto,CR
Abutilon anodoides,1
Abutilon nigricans,3
Acalypha brasiliensis,2
Acianthera adiri,1
Acianthera heringeri,1
Acritopappus pintoi,1
Actinocephalus cipoensis,1
Adamantinia miltonioides,1
Adenocalymma ubatubense,3
Adenophaedra cearensis,1
Adiantum diphyllum,1
Aechmea marginalis,1
Aechmea orlandiana,1
Aechmea winkleri,1
Agalinis bandeirensis,1
Agalinis schwackeana,1
Alansmia senilis,2
Alcantarea benzingii,1
Alcantarea farneyi,1
Aldama linearifolia,1
Aldama paranensis,1
Algernonia dimitrii,1
Algernonia kuhlmannii,1
Alstroemeria capixaba,1
Alstroemeria malmeana,1
Altoparadisium chapadense,1
Amauropelta novaeana,1
Anathallis colnagoi,1
Andreadoxa flava,1
Anemopaegma mirabile,1
Angelonia alternifolia,1
Anthaenantiopsis fiebrigii,1
Aosa uleana,1
Araucaria angustifolia,1
Aristida constricta,1
Arthropogon xerachne,3
Aspidosperma nobile,1
Aspilia belo-horizontinae,1
Aspilia diniz-cruzeanae,1
Aspilia eglerii,1
Aspilia jugata,1
Aspilia ovatifolia,1
Asplenium beckeri,1
Asplenium schwackei,1
Asplenium trindadense,1
Austroblechnum andinum,1
Axonopus hydrolithicus,1
Axonopus uninodis,2
Banisteriopsis pseudojanusia,1
Barbacenia exscapa,1
Barbacenia glutinosa,1
Barbacenia longiscapa,1
Barbacenia pungens,1
Barbacenia riparia,1
Begonia crispula,1
Begonia inconspicua,1
Begonia jureiensis,2
Begonia larorum,2
Begonia piresiana,3
Begonia ruschii,1
Begonia salesopolensis,2
Begonia scharffii,1
Begonia venosa,2
Berberis campos-portoi,1
Bertolonia angustifolia,3
Bertolonia formosa,1
Bertolonia hoehneana,3
Bifrenaria silvana,1
Bipinnula biplumata,1
Bradea anomala,1
Bradea bicornuta,1
Bradea montana,1
Bromelia braunii,1
Bromidium hygrometricum,1
Bromidium ramboi,1
Bulbophyllum arianeae,1
Bunchosia itacarensis,1
Butia exilata,1
Butia leptospatha,1
Butia pubispatha,1
Byrsonima fonsecae,1
Calea abbreviata,1
Calea brittoniana,1
Camarea linearifolia,1
Campomanesia espiritosantensis,1
Canastra lanceolata,1
Canistropsis elata,1
Canistrum fosterianum,1
Catolesia mentiens,1
Cattleya alaorii,1
Cattleya endsfeldzii,1
Cattleya gloedeniana,1
Cattleya kautskyana,1
Cattleya milleri,1
Cattleya munchowiana,1
Cattleya neokautskyi,1
Cattleya porphyroglossa,1
Centroglossa castellensis,1
Ceradenia warmingii,1
Chamaecrista lagotois,1
Chamaecrista ulmea,1
Chaptalia chapadensis,1
Chaptalia hermogenis,2
Chascolytrum brasilense,2
Chascolytrum bulbosum,1
Chascolytrum itatiaiae,1
Chascolytrum parodianum,1
Chaubardia gehrtiana,2
Chiococca insularis,1
Chionanthus fluminensis,1
Chionanthus tenuis,1
Chloroleucon tortum,1
Chomelia brasiliana,2
Chusquea baculifera,1
Chusquea heterophylla,1
Chusquea pinifolia,1
Chusquea tenuiglumis,3
Cinnamodendron occhionianum,1
Cipocereus pusilliflorus,1
Cirrhaea loddigesii,3
Codonorchis canisioi,1
Comanthera brasiliana,1
Combretum rupicola,1
Conchocarpus bellus,1
Conchocarpus cauliflorus,1
Conchocarpus marginatus,1
Constantia cipoensis,1
Couepia joaquinae,1
Couepia meridionalis,4
Crassula peduncularis,1
Croton glechomifolius,1
Croton serratifolius,1
Cryptanthus zonatus,1
Ctenium brevispicatum,1
Cuphea adenophylla,1
Cuphea rubrovirens,1
Cuphea teleandra,1
Curtia tenuifolia,2
Cyrtopodium lamellaticallosum,1
Cyrtopodium latifolium,1
Cyrtopodium linearifolium,1
Dalbergia nigra,1
Dalechampia riparia,1
Danthonia cirrata,1
Davilla glaziovii,1
Dendrophthora warmingii,1
Dichorisandra neglecta,1
Dicypellium caryophyllaceum,1
Didymopanax auratus,1
Dimorphandra wilsonii,1
Dioscorea mantiqueirensis,1
Diplusodon argyrophyllus,1
Diplusodon ericoides,1
Diplusodon glaziovii,1
Diplusodon gracilis,1
Diplusodon panniculatus,1
Diplusodon retroimbricatus,1
Discocactus horstii,1
Discocactus pseudoinsignis,1
Ditassa auriflora,1
Dorstenia hildegardis,1
Dryadella auriculigera,3
Dryadella susanae,1
Duguetia restingae,1
Duguetia scottmorii,1
Dyckia agudensis,1
Dyckia delicata,1
Dyckia distachya,1
Dyckia dusenii,1
Dyckia hatschbachii,1
Dyckia hebdingii,1
Dyckia monticola,1
Dyckia tuberosa,2
Dyckia ursina,1
Dyschoriste smithii,1
Echinopsis calochlora,1
Elaphoglossum beckeri,1
Encholirium biflorum,1
Encholirium disjunctum,1
Encholirium irwinii,1
Encholirium longiflorum,1
Encholirium pedicellatum,1
Encholirium vogelii,1
Eryngium corallinum,1
Eryngium dorae,1
Eryngium ramboanum,1
Erythroxylum leal-costae,1
Erythroxylum tianguanum,1
Escallonia chlorophylla,2
Eugenia cinerascens,2
Eugenia hermesiana,4
Eugenia ischnosceles,2
Eugenia peruibensis,2
Eugenia pithecocephala,2
Eugenia rotundicosta,1
Euphorbia holochlorina,1
Euxylophora paraensis,1
Fernseea bocainensis,3
Ficus latipedunculata,2
Frailea mammifera,1
Galipea carinata,1
Galium diphyllum,2
Galium rubidiflorum,1
Galium shepherdii,3
Gaultheria sleumeriana,2
Gaylussacia pruinosa,1
Gaylussacia retivenia,1
Gaylussacia setosa,1
Gomesa cuneata,1
Gomesa pectoralis,3
Gomesa uniflora,2
Gomphrena nigricans,1
Goniopteris multigemmifera,2
Gonolobus dorothyanus,1
Grandiphyllum auricula,1
Griffinia aracensis,1
Griffinia colatinensis,1
Griffinia nocturna,1
Griffinia parviflora,1
Griffinia paubrasilica,1
Grobya cipoensis,1
Guettarda paludosa,1
Gymnopogon burchellii,1
Gymnopogon doellii,1
Habenaria brachyplectron,3
Habenaria galeandriformis,2
Habenaria itaculumia,1
Habenaria novaesii,2
Hemipogon abietoides,1
Hemipogon hatschbachii,1
Heterocoma albida,1
Heteropterys aliciae,1
Heteropterys bahiensis,1
Heteropterys conformis,1
Heteropterys hatschbachii,1
Heteropterys occhionii,1
Heteropterys sanctorum,1
Hindsia ibitipocensis,1
Hippeastrum leucobasis,1
Hippeastrum papilio,1
Hirtella parviunguis,1
Hohenbergia correia-araujoi,1
Homalolepis salubris,2
Homalolepis suaveolens,1
Hoplocryptanthus caracensis,1
Hoplocryptanthus glaziovii,1
Hornschuchia alba,1
Humiriastrum spiritu-sancti,1
Hybanthus albus,1
Hymenachne condensata,1
Hymenachne donacifolia,1
Hymenophyllum crispum,2
Hymenophyllum elegans,2
Hymenopus conferruminatus,1
Hypenia aristulata,1
Hypolytrum amorimii,1
Hysterionica pinnatisecta,1
Ianthopappus corymbosus,1
Ildefonsia bibracteata,1
Ilex auricula,1
Ilex prostrata,1
Inga enterolobioides,1
Inga pedunculata,1
Ipomoea macedoi,1
Jacaranda carajasensis,1
Jacaranda egleri,1
Jacaranda intricata,1
Jamesonia rufescens,1
Karawata gustavoi,1
Kielmeyera decipiens,1
Kielmeyera rufotomentosa,1
Kielmeyera rupestris,1
Kielmeyera sigillata,1
Lantana canescens,1
Lathyrus acutifolius,1
Leersia ligularis,2
Lellingeria itatimensis,2
Lepidaploa almasensis,1
Lessingianthus constrictus,1
Lobelia santos-limae,1
Loudetia flammida,1
Lychnocephalus humillimus,1
Lychnophora albertinioides,1
Lychnophora brunioides,1
Lychnophora souzae,1
Lychnophorella sericea,1
Lymania spiculata,1
Lytoneuron quinquelobatum,1
Macroditassa marianae,2
Magdalenaea limae,1
Manettia campanulacea,3
Marcetia alba,1
Marsdenia otoniensis,1
Masdevallia discoidea,1
Matourea caparaoensis,1
Matourea latifolia,1
Melica arzivencoi,1
Melocactus conoideus,1
Melocactus deinacanthus,1
Merostachys abadiana,3
Merostachys caucaiana,4
Merostachys scandens,5
Miconia angelana,1
Miconia capixaba,1
Miconia picinguabensis,2
Micranthocereus streckeri,1
Microlicia cuspidifolia,1
Microlicia microphylla,1
Mikania dusenii,1
Miltonia kayasimae,2
Mimosa chrysastra,1
Mimosa skinneri,1
Mimosa strobiliflora,1
Mimosa suburbana,1
Minaria bifurcata,1
Minaria diamantinensis,1
Minaria hemipogonoides,1
Minaria monocoronata,1
Mollinedia gilgiana,1
Monogereion carajensis,1
Monsanima morrenioides,1
Monteverdia basidentata,1
Monteverdia brasiliensis,1
Moquiniastrum mollissimum,1
Morilloa piranii,1
Mouriri arborea,1
Myoxanthus ruschii,1
Myoxanthus seidelii,1
Myrcia gilsoniana,1
Myrcia glomerata,1
Myrcia magnifolia,1
Myrcia neocambessedeana,1
Myrcia plusiantha,2
Myrcia riodocensis,1
Myrcia skortzoviana,4
Myrcia stictophylla,1
Myrocarpus leprosus,2
Nassella sellowiana,1
Nectandra debilis,1
Neoregelia angustibracteolata,1
Neoregelia brownii,1
Nidularium ferrugineum,1
Nidularium mangaratibense,1
Nierembergia pinifolia,1
Ocellochloa brachystachya,1
Ocotea lancifolia,2
Octomeria wilsoniana,3
Olyra latispicula,1
Oocephalus piranii,1
Orthophytum zanonii,1
Oxalis arachnoidea,2
Oxalis bela-vitoriae,1
Oxalis blackii,1
Oxalis clausenii,1
Oxalis diamantinae,1
Oxalis doceana,1
Oxalis kuhlmannii,1
Oxalis paranaensis,1
Oxypetalum cordifolium subsp. mexiae,1
Pabstiella castellensis,1
Pabstiella garayi,1
Pabstiella ruschii,1
Paepalanthus ater,1
Pamphalea maxima,1
Pamphalea ramboi,1
Parianella carvalhoi,1
Parodia rechensis,1
Paspalum arundinellum,2
Paspalum cinerascens,1
Paspalum compressifolium,1
Paspalum exaltatum,1
Paspalum flaccidum,2
Passiflora ischnoclada,3
Pecluma hoehnei,1
Pecluma imbeana,1
Pecluma insularis,1
Peixotoa andersonii,1
Peixotoa bahiana,1
Peperomia guarujana,3
Peperomia rufispica,1
Peritassa sadleri,1
Persea glabra,1
Persea obovata,4
Petunia reitzii,1
Petunia saxicola,1
Phlegmariurus hemleri,1
Phlegmariurus regnellii,1
Phlegmariurus ruber,1
Phlegmariurus treitubensis,1
Phoradendron dipterum,1
Picrosia cabreriana,1
Pilea aparadensis,1
Pilosocereus azulensis,1
Piper hatschbachii,1
Piper sampaioi,1
Piptochaetium palustre,1
Piptolepis imbricata,1
Piptolepis leptospermoides,1
Pitcairnia bradei,1
Pitcairnia burlemarxii,1
Pitcairnia limae,1
Pleopeltis trindadensis,1
Pleroma castellense,1
Plinia rogersiana,2
Poa bradei,1
Podocarpus barretoi,1
Podostemum saldanhanum,1
Polygala bevilacquai,1
Polypogon chilensis,2
Polystachya rupicola,1
Pouteria bapeba,1
Pouteria butyrocarpa,1
Pseudolaelia brejetubensis,1
Pseudolaelia cipoensis,1
Pseudotrimezia brevistamina,1
Pseudotrimezia concava,1
Pseudotrimezia elegans,1
Pseudotrimezia juncifolia,2
Pseudotrimezia subtilis,1
Psidium amplexicaule,1
Pteris limae,1
Raddia angustifolia,1
Reimarochloa acuta,2
Rhipsalis cereoides,1
Rhodostemonodaphne parvifolia,1
Rhynchospora pilulifera,1
Riccia ridleyi,1
Richterago caulescens,1
Richterago suffrutescens,1
Rinorea bicornuta,1
Rinorea villosiflora,1
Rokautskyia fernseeoides,1
Rokautskyia robertokautskyi,1
Rokautskyia whitmanii,1
Rudgea coronata,1
Rudgea pachyphylla,2
Rudgea parquioides subsp. caprifolium,2
Rupestrea carvalhoana,1
Salacia mosenii,3
Schaefferia argentinensis,1
Schultesia aptera,2
Schwenckia nova-veneciana,1
Scuticaria itirapinensis,3
Scuticaria kautskyi,1
Senecio almasensis,1
Senecio promatensis,1
Serjania divaricocca,1
Serjania hatschbachii,2
Setaria parviflora var. pilosissima,2
Setaria stolonifera,1
Setaria tenacissima,2
Sincoraea humilis,1
Sinningia cardinalis,1
Sinningia cochlearis,1
Sinningia glazioviana,3
Sloanea petalata,1
Smallanthus araucariophilus,1
Solanum spissifolium,3
Southbya organensis,1
Specklinia gomesferreirae,1
Spigelia cipoensis,1
Spiranthera speciosa,1
Sporobolus adustus,1
Stenachaenium megapotamicum,2
Stenogrammitis limula,2
Stenogrammitis pumila,1
Stephanopodium magnifolium,1
Stevia hilarii,1
Stigmaphyllon bradei,2
Stigmaphyllon carautae,1
Stigmaphyllon glabrum,1
Stigmaphyllon macedoanum,1
Stigmaphyllon matogrossense,1
Stigmaphyllon vitifolium,1
Stigmatodon amadoi,1
Stigmatodon costae,1
Stigmatodon harrylutheri,1
Stigmatosema hatschbachii,1
Stilpnopappus suffruticosus,1
Stomatanthes loefgrenii,2
Struthanthus flexicaulis,1
Stylotrichium glomeratum,1
Syagrus mendanhensis,1
Symplocos neglecta,1
Symplocos rizzinii,2
Tillandsia afonsoana,1
Tillandsia jonesii,1
Tillandsia neglecta,1
Tillandsia reclinata,1
Tillandsia sucrei,1
Trembleya pithyoides,1
Trichilia florbranca,1
Trichopilia fragrans,1
Trigynaea axilliflora,1
Trilepis tenuis,1
Trixis pallida,1
Uebelmannia buiningii,1
Valeriana organensis,3
Vellozia canelinha,1
Verbesina floribunda,1
Vicia pampicola,1
Vismia martiana,1
Vriesea altomacaensis,1
Vriesea amethystina,1
Vriesea bleherae,1
Vriesea botafogensis,1
Vriesea calimaniana,1
Vriesea leptantha,1
Vriesea longistaminea,1
Vriesea rubyae,2
Vriesea schwackeana,1
Vriesea weberi,1
Wedelia macedoi,1
Williamodendron cinnamomeum,1
Xyris coutensis,1
Xyris dardanoi,1
Xyris fibrosa,1
Xyris hatschbachii,2
Xyris hystrix,1
Xyris nigricans,1
Xyris platystachya,1
Xyris retrorsifimbriata,1
Xyris rigida,4
Xyris sororia,1
Xyris tortilis,1
Xyris uninervis,2
Zygopetalum viride,2
Zygostates linearisepala,1
Zygostigma australe,2
