nome_aceito_correto,nomes_originais,elegivel_produto_1,grupo,familia,genero,epiteto_especifico,nivel_taxonomico,epiteto_infraespecifico,notas_all,fontes,cat_ameaca_cr_lac,cat_ameaca_iucn,cat_ameaca_mpo_sp,cat_ameaca_br,cat_ameaca_cncflora,cat_ameaca_sp,CR,EN,VU,DD,EX,NT,EW,LR,cat_ameaca_geral,splink_t20,gbif_t20,splink_sp,gbif_sp,sum,entra_revisado
Aphelandra squarrosa,Aphelandra squarrosa,apta,Angiospermas,Acanthaceae,Aphelandra,squarrosa,especie,NA,NA,sima-SP_oficial-cncflora_web,NA,NA,NA,NA,LC,EW,0,0,0,0,0,0,1,0,1,TRUE,TRUE,TRUE,TRUE,4,SIM
Justicia pygmaea,Justicia catharinensis,apta,Angiospermas,Acanthaceae,Justicia,pygmaea,especie,NA,Nome original era sinônimo,sima-cncflora_web,NA,NA,NA,NA,NT,NA,0,0,0,0,0,1,0,0,1,TRUE,TRUE,TRUE,TRUE,4,SIM
Justicia tijucensis,Justicia tijucensis,examinar,Angiospermas,Acanthaceae,Justicia,tijucensis,especie,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,sima-Portaria 443/2014,NA,NA,NA,VU,NA,NA,0,0,1,0,0,0,0,0,1,TRUE,FALSE,TRUE,FALSE,2,SIM
Stenostephanus lobeliiformis,Stenostephanus lobeliiformis,apta,Angiospermas,Acanthaceae,Stenostephanus,lobeliiformis,especie,NA,NA,sima-cncflora_web,NA,NA,NA,NA,DD,NA,0,0,0,1,0,0,0,0,1,TRUE,FALSE,TRUE,TRUE,3,SIM
Stenandrium dulce,Stenandrium diphyllum-Stenandrium diphyllum,examinar,Angiospermas,Acanthaceae,Stenandrium,dulce,especie,NA,nome duplicado com critério conflitante na base original/Nome original era sinônimo,sima-SP_oficial-cncflora_web-sima-SP_oficial-cncflora_web,NA,NA,NA,NA,LC,EX,0,0,0,0,1,0,0,0,1,TRUE,FALSE,TRUE,FALSE,2,SIM
Echinodorus paniculatus,Echinodorus paniculatus,apta,Angiospermas,Alismataceae,Echinodorus,paniculatus,especie,NA,NA,sima-SP_oficial-cncflora_web-mpoSP,NA,NA,EX,NA,LC,EX,0,0,0,0,1,0,0,0,1,TRUE,FALSE,TRUE,TRUE,3,SIM
Alstroemeria foliosa,Alstroemeria foliosa,apta,Angiospermas,Alstroemeriaceae,Alstroemeria,foliosa,especie,NA,NA,sima-SP_oficial,NA,NA,NA,NA,NA,EN,0,1,0,0,0,0,0,0,1,TRUE,TRUE,TRUE,TRUE,4,SIM
Alstroemeria plantaginea,Alstroemeria plantaginea,apta,Angiospermas,Alstroemeriaceae,Alstroemeria,plantaginea,especie,NA,NA,sima-SP_oficial,NA,NA,NA,NA,NA,EN,0,1,0,0,0,0,0,0,1,TRUE,FALSE,TRUE,FALSE,2,SIM
Alstroemeria variegata,Alstroemeria variegata,examinar,Angiospermas,Alstroemeriaceae,Alstroemeria,variegata,especie,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,sima,NA,NA,NA,NA,DD,NA,0,0,0,1,0,0,0,0,1,NA,TRUE,NA,TRUE,2,NA
Herbstia brasiliana,Herbstia brasiliana,apta,Angiospermas,Amaranthaceae,Herbstia,brasiliana,especie,NA,NA,sima-SP_oficial-cncflora_web-mpoSP,NA,NA,EX,NA,DD,EX,0,0,0,1,1,0,0,0,1,TRUE,FALSE,TRUE,FALSE,2,SIM
Froelichia procera,Froelichia procera,apta,Angiospermas,Amaranthaceae,Froelichia,procera,especie,NA,NA,sima-cncflora_web,NA,NA,NA,NA,DD,NA,0,0,0,1,0,0,0,0,1,TRUE,FALSE,TRUE,TRUE,3,SIM
Alternanthera aquatica,Alternanthera aquatica,apta,Angiospermas,Amaranthaceae,Alternanthera,aquatica,especie,NA,NA,sima-SP_oficial,NA,NA,NA,NA,NA,VU,0,0,1,0,0,0,0,0,1,TRUE,FALSE,TRUE,FALSE,2,SIM
Alternanthera paronychioides,Alternanthera paronychioides,apta,Angiospermas,Amaranthaceae,Alternanthera,paronychioides,especie,NA,NA,sima-SP_oficial-cncflora_web-mpoSP,NA,NA,EX,NA,LC,EX,0,0,0,0,1,0,0,0,1,TRUE,FALSE,TRUE,FALSE,2,SIM
Alternanthera kurtzii,Alternanthera decurrens,apta,Angiospermas,Amaranthaceae,Alternanthera,kurtzii,especie,NA,Nome original era sinônimo,sima-cncflora_web-Portaria 443/2014,NA,NA,NA,EN,EN,NA,0,1,0,0,0,0,0,0,1,TRUE,TRUE,TRUE,TRUE,4,SIM
Alternanthera flavescens,Alternanthera flavescens,apta,Angiospermas,Amaranthaceae,Alternanthera,flavescens,especie,NA,NA,sima-SP_oficial,NA,NA,NA,NA,NA,VU,0,0,1,0,0,0,0,0,1,TRUE,FALSE,TRUE,FALSE,2,SIM
Crinum americanum,Crinum americanum,apta,Angiospermas,Amaryllidaceae,Crinum,americanum,especie,NA,NA,sima-SP_oficial,NA,NA,NA,NA,NA,VU,0,0,1,0,0,0,0,0,1,TRUE,TRUE,TRUE,TRUE,4,SIM
Hippeastrum psittacinum,Hippeastrum psittacinum,apta,Angiospermas,Amaryllidaceae,Hippeastrum,psittacinum,especie,NA,NA,sima-SP_oficial-cncflora_web-mpoSP-Portaria 443/2014,NA,NA,EN,EN,EN,EN,0,1,0,0,0,0,0,0,1,TRUE,FALSE,TRUE,FALSE,2,SIM
Hippeastrum striatum,Hippeastrum striatum,apta,Angiospermas,Amaryllidaceae,Hippeastrum,striatum,especie,NA,NA,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,NA,NA,EN,EN,EN,0,1,0,0,0,0,0,0,1,TRUE,TRUE,TRUE,TRUE,4,SIM
Hippeastrum morelianum,Hippeastrum morelianum,apta,Angiospermas,Amaryllidaceae,Hippeastrum,morelianum,especie,NA,NA,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,NA,NA,VU,VU,VU,0,0,1,0,0,0,0,0,1,TRUE,TRUE,TRUE,TRUE,4,SIM
Hippeastrum reginae,Hippeastrum reginae,apta,Angiospermas,Amaryllidaceae,Hippeastrum,reginae,especie,NA,NA,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,NA,NA,EN,EN,EN,0,1,0,0,0,0,0,0,1,TRUE,TRUE,TRUE,TRUE,4,SIM
