nome_aceito_correto,nomes_originais,elegivel_produto_1,splink_t20,gbif_t20,splink_rbcv,gbif_rbcv,sum,entra,notas_all,especialista
Dryadella gomes-ferreirae,Dryadella gomes-ferreirae,examinar,NA,NA,NA,NA,NA,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA
Dryadella kautskyi,Dryadella kautskyi,examinar,FALSE,NA,FALSE,NA,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Dryadella susanae,Dryadella susanae,examinar,FALSE,NA,FALSE,NA,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Eltroplectris calcarata,Eltroplectris calcarata,apta,FALSE,NA,FALSE,NA,0,nao entra,"NA",
Eltroplectris kuhlmanniana,Eltroplectris kuhlmanniana,examinar,NA,NA,NA,NA,NA,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA
Butia leiospatha,Butia leiospatha,inapta,NA,NA,NA,NA,NA,nao entra,Nome original mal escrito/Taxonomia incerta,
Encyclia bragancae,Encyclia bragancae,examinar,FALSE,NA,FALSE,NA,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Encyclia fowliei,Encyclia fowliei,examinar,NA,NA,NA,NA,NA,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA
Epidendrum addae,Epidendrum addae,apta,FALSE,NA,FALSE,NA,0,entra,"NA",
Epidendrum caldense,Epidendrum caldense,apta,TRUE,NA,TRUE,NA,2,nao entra,"NA",
Epidendrum chlorinum,Epidendrum chlorinum,apta,TRUE,NA,TRUE,NA,2,nao entra,"NA",
Epidendrum coronatum,Epidendrum coronatum,apta,FALSE,NA,FALSE,NA,0,nao entra,"NA",
Epidendrum cristatum,Epidendrum cristatum,apta,TRUE,NA,TRUE,NA,2,nao entra,"NA",
Epidendrum dendrobioides,Epidendrum dendrobioides,apta,TRUE,NA,TRUE,NA,2,nao entra,"NA",
Epidendrum filicaule,Epidendrum filicaule,apta,FALSE,NA,FALSE,NA,0,entra,"NA",
Epidendrum geniculatum,Epidendrum geniculatum-Epidendrum hololeucum,apta,TRUE,NA,TRUE,NA,2,entra,Nome original era sinônimo-NA,
Epidendrum henschenii,Epidendrum henschenii,apta,TRUE,NA,TRUE,NA,2,entra,"NA",
Epidendrum kautskyi,Epidendrum kautskyi,examinar,FALSE,NA,FALSE,NA,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Epidendrum martianum,Epidendrum martianum,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
Epidendrum paranaense,Epidendrum paranaense,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Epidendrum proligerum,Epidendrum proligerum,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Epidendrum ramosum,Epidendrum ramosum,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Epidendrum robustum,Epidendrum robustum,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Epidendrum saxatile,Epidendrum saxatile,apta,TRUE,TRUE,TRUE,TRUE,4,entra,"NA",
Epidendrum secundum,Epidendrum ansiferum-Epidendrum secundum,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,Nome original era sinônimo-NA,
Epidendrum tridactylum,Epidendrum tridactylum,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Epidendrum vesicatum,Epidendrum vesicatum,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
Epidendrum zappii,Epidendrum zappii,examinar,FALSE,NA,FALSE,NA,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Erycina pusilla,Erycina pusilla,examinar,FALSE,TRUE,FALSE,TRUE,2,nao entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,FBnao- OCCScruzam
Eurystyles lorenzii,Eurystyles lorenzii,examinar,FALSE,FALSE,FALSE,FALSE,0,nao entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Galeandra beyrichii,Galeandra beyrichii,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Galeandra paraguayensis,Galeandra paraguayensis,apta,FALSE,FALSE,FALSE,FALSE,0,entra,"NA",
Gomesa glaziovii,Gomesa glaziovii,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
Gomesa laxiflora,Gomesa doeringii-Gomesa laxiflora,apta,TRUE,TRUE,TRUE,TRUE,4,entra,Nome original era sinônimo-NA,
Gomesa recurva,Gomesa sessilis,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,Nome original era sinônimo,
Gongora bufonia,Gongora bufonia,apta,TRUE,TRUE,TRUE,FALSE,3,nao entra,"NA",
Govenia utriculata,Govenia utriculata,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Grandiphyllum auricula,Grandiphyllum schunkeanum,apta,TRUE,FALSE,TRUE,FALSE,2,entra,Nome original era sinônimo,
Grandiphyllum divaricatum,Grandiphyllum divaricatum,apta,NA,NA,NA,NA,NA,entra,"NA",
Grandiphyllum hians,Grandiphyllum hians,apta,TRUE,TRUE,TRUE,TRUE,4,entra,"NA",
Grobya fascifera,Grobya fascifera,apta,TRUE,FALSE,TRUE,FALSE,2,entra,"NA",
Habenaria achalensis,Habenaria achalensis,apta,FALSE,FALSE,FALSE,FALSE,0,entra,"NA",
Habenaria armata,Habenaria armata,apta,TRUE,TRUE,TRUE,TRUE,4,entra,"NA",
Habenaria crucifera,Habenaria aphylla-Habenaria crucifera,apta,TRUE,FALSE,TRUE,FALSE,2,entra,Nome original era sinônimo-NA,
Habenaria dusenii,Habenaria dusenii,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
Habenaria exaltata,Habenaria exaltata,apta,FALSE,FALSE,FALSE,FALSE,0,entra,"NA",
Habenaria galeandriformis,Habenaria galeandriformis,apta,FALSE,NA,FALSE,NA,0,entra,"NA",
Habenaria gourlieana,Habenaria gourlieana,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Habenaria hexaptera,Habenaria hexaptera,apta,TRUE,TRUE,TRUE,TRUE,4,entra,"NA",
Habenaria hydrophila,Habenaria hydrophila,apta,FALSE,NA,FALSE,NA,0,entra,"NA",
Habenaria jordanensis,Habenaria jordanensis,apta,FALSE,FALSE,FALSE,FALSE,0,entra,"NA",
Habenaria leucosantha,Habenaria leucosantha,apta,TRUE,FALSE,TRUE,FALSE,2,entra,"NA",
Habenaria macronectar,Habenaria macronectar,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Habenaria novaesii,Habenaria novaesii,apta,TRUE,FALSE,TRUE,FALSE,2,entra,"NA",
Habenaria nuda,Habenaria nuda,apta,FALSE,FALSE,FALSE,FALSE,0,nao entra,"NA",
Habenaria parviflora,Habenaria parviflora,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Habenaria piraquarensis,Habenaria piraquarensis,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Habenaria pleiophylla,Habenaria pleiophylla,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Habenaria regnellii,Habenaria regnellii,apta,TRUE,TRUE,TRUE,TRUE,4,entra,"NA",
Habenaria rodeiensis,Habenaria rodeiensis,apta,TRUE,FALSE,FALSE,FALSE,1,nao entra,"NA",
Habenaria schwackei,Habenaria schwackei,apta,FALSE,FALSE,FALSE,FALSE,0,entra,"NA",
Habenaria trifida,Habenaria trifida,apta,TRUE,TRUE,TRUE,TRUE,4,entra,"NA",
Habenaria umbraticola,Habenaria umbraticola,apta,FALSE,FALSE,FALSE,FALSE,0,entra,"NA",
Habenaria brachyplectron,Habenaria brachyplectron,apta,TRUE,TRUE,TRUE,TRUE,4,entra,"NA",
Homalopetalum hypoleptum,Homalopetalum hypoleptum,apta,NA,NA,NA,NA,NA,entra,"NA",
Huntleya meleagris,Huntleya meleagris,apta,TRUE,TRUE,TRUE,FALSE,3,nao entra,"NA",
Ionopsis utricularioides,Ionopsis utricularioides,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
