"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","class","typeStatus","infraspecificEpithet","fieldNumber","sex"
"1","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","2996","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley","Daniela Zappi","2009","11","16","Carlos Alberto F. Jr.;","2009","11","16","Brasil","Minas Gerais","Santana do Riacho","Área do Sr. João Carrinho e D. Maria Geralda","-43.7144012451172","-19.1688995361328","43°43.834'","19°02.918'","26557","1239","1239","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","3955","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus",NA,"Carlos Alberto","2016","11","04","Lucas Assis;","2016","11","04","Brasil","MG","Diamantina","Estrada de Diamantina a Milho Verde","-43.6002998352051","-18.2493991851807",NA,NA,"101169",NA,NA,"2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1356","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley","Nygel Taylor",NA,NA,NA,"Ivan Pimenta;","2001","09","11","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,"4","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","2993","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley","Daniela Zappi","2009","11","13","Carlos Alberto F. Jr.;","2009","11","13","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Cachoeira do Inhamé",NA,NA,"43°47.327'","18°54.402'",NA,"1202","1202","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","3725","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley","Carlos Alberto F. Jr.","2011","07",NA,"Carlos Alberto F. Jr.; João Barbosa, Gladstone C. Araújo, Lucas Assis","2011","07","14","Brasil","Minas Gerais","Santana do Riacho","Área da nova estrada que liga Santana do Riacho a Serro.","-43.7144012451172","-19.1688995361328","43°38'17.65","19°20'23.57","26557",NA,NA,"1","254","auto","CAF340",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","3236","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley","Daniela Zappi","2009","11","16","Carlos Alberto F. Jr.;","2009","11","16","Brasil","Minas Gerais","Santana do Riacho","Área do Sr. João Carrinho e D. Maria Geralda","-43.7144012451172","-19.1688995361328","43°43.859'","19°02.848'","26557","1247","1247","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","2992","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley","Daniela Zappi","2009","11","13","Carlos Alberto F. Jr.;","2009","11","13","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Cachoeira do Inhamé",NA,NA,"43°47.327'","18°54.402'",NA,"1202","1202","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1396","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,NA,"Juliana Ordones Rego;",NA,NA,NA,"Brasil","Minas Gerais","Diamantina","Estrada Diamantina/São Gonçalo do Rio das Pedras","-43.6002998352051","-18.2493991851807",NA,NA,"101169",NA,NA,"2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1397","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,NA,"Juliana Ordones Rego;",NA,NA,NA,"Brasil","Minas Gerais","Diamantina","Estrada Diamantina/São Gonçalo do Rio das Pedras","-43.6002998352051","-18.2493991851807",NA,NA,"101169",NA,NA,"1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1358","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley","Nygel Taylor",NA,NA,NA,"Juliana Ordones Rego;",NA,NA,NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,"1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
