"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","883721","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.","R. C. Kaastra","H. S. Irwin","15603","1966","05","04","South America","Brazil","Distrito Federal","Brasília","Côrrego Landim, ca. 20 km N.E. of Brasília","-47.78472222","-15.6555","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00883721","NY00883721_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","382493","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.","J. A. Kallunki","B. A. S. Pereira","1441","1990","11","01","South America","Brazil","Goiás","Santo Antônio do Descoberto","Fazenda do Sr. Beto (Igreja Messianica de Brasília).","-48.255","-15.9397",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=237523' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382493","NY00382493_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","382491","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.","R. C. Kaastra","F. C. Hoehne","29729",NA,NA,NA,"South America","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=237519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382491","NY00382491_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","984991","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.","R. C. Kaastra","H. S. Irwin","15603","1966","05","04","South America","Brazil","Distrito Federal","Brasília","Côrrego Landim, ca. 20 km N.E. of Brasília","-47.78472222","-15.6555","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984991","NY00984991_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01038600","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.","J. A. Kallunki","L. Riedel","s.n.","1821",NA,NA,"South America","Brazil",NA,NA,"Iter Brasiliense. Rio Parana.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1297014' target='other'> <mi>dwc_moreinfo</mi></a>","NY01038600","NY01038600_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","883722","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.","J. A. Kallunki","B. A. S. Pereira","2372","1992","12","22","South America","Brazil","Distrito Federal","Brasília","APA de Cafuringa, Fazenda Dois Irmãos. Margem esquerda do córrego Dois Irmãos, próximo aos fundos da Sede da Fazenda.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00883722","NY00883722_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","382492","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.","R. C. Kaastra","H. S. Irwin","18048","1966","07","07","South America","Brazil","Distrito Federal","Brasília","Sobradinho, D. F., ca. 20 km. E of Brasília","-47.9296989440918","-15.7797002792358","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=237518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382492","NY00382492_01","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","382494","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.","J. A. Kallunki","P. E. Gibbs","4328","1977","01","28","South America","Brazil","São Paulo","Moji-Guaçu","25 Km. NW de Mogi-Guaçú. Estaçao Experimental de Mogi-Guaçú (Fazenda Campininha)","-47.164784","-22.242395",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=237520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382494","NY00382494_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","382490","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.","R. C. Kaastra","F. C. Hoehne","29729","1932","06","09","South America","Brazil","São Paulo","Moji-Mirim","Mogy-Mirim, S. Paulo.","-46.96013","-22.425035",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=237522' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382490","NY00382490_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","382495","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.","R. C. Kaastra","A. F. M. Glaziou","18173","1891",NA,NA,"South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=237521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382495","NY00382495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-01-28 13:11:43-03","MCN-PUC-MINAS","HPUC-MG","CARP308","S","Plantae",NA,NA,"Rutaceae","Metrodorea","cf. stipularis","Metrodorea cf. stipularis",NA,NA,"Gomes, JAS; Colombini, MAG; Afonso, CG; Pereira, CE",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Belo Horizonte","Mata PUC - Minas","-43.937801361084","-19.9207992553711",NA,NA,NA,"Tipo de Fruto: Cápsula loculicida",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-01-28 13:11:33-03","MCN-PUC-MINAS","HPUC-MG","ANG217","S","Plantae",NA,NA,"Rutaceae","Metrodorea","stipularis","Metrodorea stipularis",NA,"Martins, JC; Santos, RM.","Gomes, J.A.S; Colombini, M.A.G.; Afonso, C.G.;Resende, LGM; Starling, M.F.V.; Pereira, CE; Terra, B.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Belo Horizonte","Mata PUC Minas","-43.937801361084","-19.9207992553711",NA,NA,NA,"Nº E3",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-01-28 13:11:33-03","MCN-PUC-MINAS","HPUC-MG","ANG181","S","Plantae",NA,NA,"Rutaceae","Metrodorea","stipularis","Metrodorea stipularis",NA,"Martins, JC; Santos, RM.","Gomes, J.A.S; Colombini, M.A.G.; Afonso, C.G.;Resende, LGM; Starling, M.F.V.; Pereira, CE; Terra, B.",NA,"2008","06","27",NA,"Brasil","Minas Gerais","Belo Horizonte","Mata PUC Minas","-43.937801361084","-19.9207992553711",NA,NA,NA,"Nº F5",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-01-28 13:11:33-03","MCN-PUC-MINAS","HPUC-MG","ANG108","S","Plantae",NA,NA,"Rutaceae","Metrodorea","stipularis","Metrodorea stipularis",NA,"Martins, JC; Santos, RM.","Gomes, J.A.S; Colombini, M.A.G.; Afonso, C.G.;Resende, LGM; Starling, M.F.V.; Henriques, LF; Pereira, CE; Juciléia e Renata",NA,"2008","06","26",NA,"Brasil","Minas Gerais","Belo Horizonte","Mata PUC Minas","-43.937801361084","-19.9207992553711",NA,NA,NA,"Quadrado E planta 5",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-03-20 11:47:24-03","MCN-PUC-MINAS","HPUC-MG","ANG2660","S","Plantae",NA,NA,"Rutaceae","Metrodorea","stipularis","Metrodorea stipularis",NA,NA,"Maielo, J.",NA,"2009","12","17",NA,"Brasil","Minas Gerais",NA,"Lafaiete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-18 09:30:39-03","UNESP-IBB","BOTU","31137","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.",NA,"Ferreira, R.C.C.","218","1998","05","13",NA,"Brasil","São Paulo","Botucatu","Reserva Butignoli, à 1 km a SW do Campus Universitário da UNESP",NA,NA,NA,NA,NA,NA,"BOTU031137",NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 10:31:30-03","NBC","NL-BOTANY","U.1582501","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.",NA,"Irwin HS; Grear JW; Souza R; Reis dos Santos R",NA,"1966","05","04","Southern America","Brazil",NA,NA,"Plants of the Planalto do Brasil, Distrito Federal.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1582501 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1582501","NL-U1582501",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 10:31:30-03","NBC","NL-BOTANY","U.1582504","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.",NA,"Irwin HS; Grear JW; Souza R; Reis dos Santos R",NA,"1966","07","07","Southern America","Brazil",NA,NA,"Plants of the Planalto do Brasil, Distrito Federal, gallery forest, Sobradinho, D.F., ca. 20 km E of Brasília.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1582504 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1582504","NL-U1582504",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"19","2020-02-08 10:31:30-03","NBC","NL-BOTANY","U.1582505","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.","Kallunki JA","Walter BMT",NA,NA,NA,NA,"Southern America","Brazil","Distrito Federal",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1582505 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1582505","NL-U1582505",NA,NA,NA,NA,"Magnoliopsidae","U 0027912",NA,NA,NA,NA,NA,NA
"20","2020-02-08 10:31:30-03","NBC","NL-BOTANY","U.1582506","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.",NA,"Regnell AF",NA,"1845","12","05","Southern America","Brazil",NA,NA,"Prov. Minas Geraes.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1582506 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1582506","NL-U1582506",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 10:31:30-03","NBC","NL-BOTANY","U.1582507","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.",NA,"Campos Porto P",NA,"1918","10","01","Southern America","Brazil",NA,NA,"Itatiai mona.?.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1582507 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1582507","NL-U1582507",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:19:05-03","ESALQ","ESA","10700","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.","Pirani, J.R.","Rodrigues, R.R.",NA,"1992","05","24",NA,"Brasil","São Paulo","Campinas",NA,"-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"ESA010700","ESA010700","23900","auto",NA,NA,NA,NA,"2004","01","01",NA,NA,NA
"23","2020-11-04 12:16:08-03","ESALQ","ESA","133532","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.","Tamashiro, J. Y.","Toledo, C.A.P.; Rodrigues, M. C.; Vidal, C. Y.; Bochorny, T.; Pereira, L. C. S. M.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","79.0","2015","07","07",NA,"Brasil","São Paulo","Nova Odessa","Instituto de Zootecnia. Fragmento de Floresta Estacional Semidecidual degradado","-47.28142","-22.76742","584","584",NA,"Árvore, 5 m.","ESA133532",NA,NA,NA,"-47.28142","-22.76742",NA,NA,"2015","07","07",NA,NA,NA
"24","2020-11-04 11:19:05-03","ESALQ","ESA","83893","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.","Dias, P.","Krieger, L.",NA,"1950","01","04",NA,"Brasil","Minas Gerais","Entre Rios de Minas",NA,"-44.065601348877","-20.6707992553711",NA,NA,NA,NA,"ESA083893","ESA083893","20620","auto",NA,NA,NA,NA,"2005","02","18",NA,NA,NA
"25","2020-11-04 11:19:05-03","ESALQ","ESA","26991","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.","Skorupa, L.A.","Cardoso-Leite, E. ; Oliveira, A.","296.0","1993","12","03",NA,"Brasil","São Paulo","São Roque",NA,"-47.1300010681152","-23.5200004577637",NA,NA,NA,NA,"ESA026991","ESA026991","15567","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:19:05-03","ESALQ","ESA","2799","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rutaceae","Metrodorea","stipularis","Metrodorea stipularis","Mart.","Skorupa, L.A.","Moreira, H.",NA,"1965","03","11",NA,"Brasil","São Paulo","Campinas",NA,"-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"ESA002799","ESA002799","23900","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
