"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","00979220","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dimorphandra","wilsonii","Dimorphandra wilsonii","Rizzini","E. P. Heringer","2675","1979","10","31","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979220","NY00979220_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00979216","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dimorphandra","wilsonii","Dimorphandra wilsonii","Rizzini","E. P. Heringer","4778","1980","05","14","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081543' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979216","NY00979216_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00979241","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dimorphandra","wilsonii","Dimorphandra wilsonii","Rizzini","E. P. Heringer","2765","1979","11","20","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081545' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979241","NY00979241_01","B. A. S. Pereira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-03-20 11:47:12-03","MCN-PUC-MINAS","HPUC-MG","SEM415","S","Plantae",NA,NA,"Fabaceae","Dimorphandra","wilsonii","Dimorphandra wilsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2013-07-03 10:56:44-03","EBDA","BAH","3745","S","Plantae",NA,NA,"Fabaceae","Dimorphandra","willsonii","Dimorphandra willsonii",NA,"E. P. Heringer 7 etall","4778","1980","05","14",NA,"Brasil","Brasília","Brasília","Brasília DF - Bacia do Rio São Bartolomeu.","-47.9297","-15.7797",NA,"Árvore com cerca de 6m de altura; frutos jovens cor verde; atacado por insetos.",NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:02:04-03","JBP","HPL","10025","S","Plantae",NA,NA,"Fabaceae-Mimosaceae","Dimorphandra","wilsonii","Dimorphandra wilsonii","Rizzini","R. Tsuji & A. Campos-Rocha","2410","2008","01","08",NA,"Brasil","MG","Paraopeba","Coletado nas proximidades do município de Paraopeba.","-44.4042","-19.2744",NA,NA,NA,NA,"R. Tsuji & A. Campos-Rocha","26090","auto","2008","01","08",NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:17:22-03","UFV","VIC","27683","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dimorphandra","wilsonii","Dimorphandra wilsonii","Rizzini","Valente, G.E.; Meira Neto, J.A.A.","1212","2003","04","17",NA,"Brasil","Minas Gerais","Paraopeba","Fazenda Carro Quebrado, Em pasto formado em área onde havia cerradão.","-44.4042015075684","-19.2744007110596",NA,"Árvore, c.a. de 14 metros de altura, a pleno sol. Inflorescência terminal. Flores creme-esverdeadas. Frutos verdes. Fruto em carpoteca sob nº 487.","VIC027683","VIC027683","Valente, G.E.","26090","auto","2003","04","17",NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:17:22-03","UFV","VIC","27682","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dimorphandra","wilsonii","Dimorphandra wilsonii","Rizzini","Valente, G.E.; Meira Neto, J.A.A.","1211","2003","04","17",NA,"Brasil","Minas Gerais","Paraopeba","Fazenda Carro Quebrado, Em pasto formado em área onde havia cerradão.","-44.4042015075684","-19.2744007110596",NA,"Árvore, c.a. de 12 metros de altura, a pleno sol. Inflorescência terminal. Flores creme-esverdeadas. Frutos verdes.","VIC027682","VIC027682 VIC027682_1","Meira Neto, J.A.A.","26090","auto","2003","04","17",NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:17:22-03","UFV","VIC","27681","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dimorphandra","wilsonii","Dimorphandra wilsonii","Rizzini","Valente, G.E.; Meira Neto, J.A.A.","1210","2003","04","17",NA,"Brasil","Minas Gerais","Paraopeba","Fazenda Carro Quebrado, Em pasto formado em área onde havia cerradão.","-44.4042015075684","-19.2744007110596",NA,"Árvore, c.a. de 13 metros de altura, a pleno sol. Inflorescência terminal. Flores creme-esverdeadas. Frutos verdes.","VIC027681","VIC027681 VIC027681_1","Meira Neto, J.A.A.","26090","auto","2003","04","17",NA,NA,NA,NA,NA,NA
"10","2013-04-01 09:16:42-03","IPT","BCTW","16826","S","Plantae","Magnoliophyta",NA,NA,"Dimorphandra","wilsonii","Dimorphandra wilsonii","Rizz.","Rizzini, C.T.",NA,"1968","03","03",NA,"Brasil","Minas Gerais","Paraopeba",NA,"-44.4042","-19.2744",NA,"RB: 138949 - Typus; Árvore de mata seca com 15 x 0,6 m de diâmetro, casca íntegra e fissurada.",NA,NA,NA,"26090","auto",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
