"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","class","relatedCatalogItem"
"1","2020-09-23 10:42:02-03","E","E","293628","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","nitida","Sauvagesia nitida","Ganev, Wilson","2182","1993","11","02","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:306733","<a href=http://data.rbge.org.uk/herb/E00293628 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00293628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:02-03","E","E","293629","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","nitida","Sauvagesia nitida","Harley, R.M.; Giulietti, A.M.;Nic Lughadha, E; Freire Fierro, A.",NA,"1992","01","10","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:306736","<a href=http://data.rbge.org.uk/herb/E00293629 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00293629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","642264","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","nitida","Sauvagesia nitida","W. Ganev","3319","1994","11","08","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642264","Magnoliophyta","Malpighiales","Zappi & E.Lucas","D. C. Zappi; E. Lucas","Abaíra","Covuao, subida para os frios","-41.87","-13.33","1600","1600","NY00642264_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","642267","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","nitida","Sauvagesia nitida","W. Ganev","652","1992","07","14","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545514' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642267","Magnoliophyta","Malpighiales","Zappi & E.Lucas","D. C. Zappi; E. Lucas","Abaíra","Campos de Ouro Fino, próximo ao acampamento da expedicao","-41.9","-13.27","1650","1650","NY00642267_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","642266","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","nitida","Sauvagesia nitida","W. Ganev","324","1992","05","21","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642266","Magnoliophyta","Malpighiales","Zappi & E.Lucas","D. C. Zappi; E. Lucas","Abaíra","Riacho das Taquaras, Capao, abaixo da Plataforma","-41.9","-13.25","1650","1650","NY00642266_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","642265","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","nitida","Sauvagesia nitida","W. Ganev","1087","1992","09","14","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545513' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642265","Magnoliophyta","Malpighiales","Zappi & E.Lucas","D. C. Zappi; E. Lucas","Abaíra","Lapinha, próximo ao Garimpo da mata","-41.88","-13.28","1400","1400","NY00642265_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","642268","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","nitida","Sauvagesia nitida","W. Ganev","2182","1993","09","02","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545515' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642268","Magnoliophyta","Malpighiales","Zappi & E.Lucas","D. C. Zappi; E. Lucas","Rio de Contas","Caminho Boa Vista-Mutuca Corisco, próximo ao Bicota","-42.35","-13.83","1325","1325","NY00642268_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","642263","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","nitida","Sauvagesia nitida","R. M. Harley","H50713A","1992","01","10","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642263","Magnoliophyta","Malpighiales","Zappi & E.Lucas","D. C. Zappi; E. Lucas","Abaíra","Campo de Ouro Fino (baixo)","-41.9","-13.25","1600","1700","NY00642263_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1019246","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","nitida","Sauvagesia nitida","A. A. Conceição","1815","2006","09","09","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1280183' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019246","Magnoliophyta","Malpighiales","Zappi & E.Lucas",NA,"Mucugê","Chapada Diamantina. Serra do Esbarrancado.","-41.5","-12.75","1100","1100","NY01019246_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:22:00-03","UFBA","ALCB","021440","PreservedSpecimen","Plantae","Ochnaceae","Sauvagesia","nitida","Sauvagesia nitida","Gouveia, EP de",NA,"1988","08","28","Southern America","Brasil","Bahia",NA,NA,"Arbusto.","ALCB045633","Dicotyledon",NA,"Zappi & E. Lucas","Cardoso, D","Ituaçu","Morro do Ouro","-41.2966995239258","-13.8133001327515",NA,NA,"ALCB045633","2007","01","36625","auto",NA,NA,NA,NA,NA,NA
