"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","sex","preparationType"
"1","2020-12-21 16:38:13-03","MBM","MBM","397416","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","pabstii","Anathallis pabstii","(Garay) Pridgeon & M.W. Chase","Cordeiro, J.","Roher, D.; Daniel, V.; Daniel, V.","s.n.","2013","04","04","Southern America","Brazil","Santa Catarina","Garuva","Resgate de flora LT 230 kv Joinville Norte - Curitiba C2","-48.896211","-25.976831","-48.896211","-25.976831","Epífita.; Floresta Ombrófila Densa.","MBM397416","MBM397416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:38:46-03","MBM","MBM","137506","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","pabstii","Pleurothallis pabstii","Garay","Pabst, G.","Hatschbach, G.","16246","1967","04","07","Southern America","Brazil","Paraná","Campina Grande do Sul","Sítio do Belizário","-49.0553016662598","-25.3055992126465",NA,NA,NA,"MBM137506","MBM137506","55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:38:46-03","MBM","MBM","5038","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","pabstii","Pleurothallis pabstii","Garay","Pabst, G.","Hatschbach, G.","16108","1967","12","10","Southern America","Brazil","Paraná","São José dos Pinhais","Colônia Santos Andrade","-49.2064018249512","-25.5347003936768",NA,NA,NA,"MBM005038","MBM005038","45291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:38:46-03","MBM","MBM","29847","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","pabstii","Pleurothallis pabstii","Garay","Pabst, G.","Hatschbach, G.","2954","1953","02","12","Southern America","Brazil","Paraná","São José dos Pinhais","Saltinho","-49.2064018249512","-25.5347003936768",NA,NA,NA,"MBM029847","MBM029847","45291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-07 11:44:46-03","FUVATES","HVAT","984","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","pabstii","Anathallis pabstii","(Garay) Pridgeon & M.W.Chase","E. Freitas","E. Freitas","s.n.","2002","08","23",NA,"Brasil","Rio Grande do Sul","Guaporé",NA,"-51.890278","-28.845556","-51º53'25''W","-28º50'44''S",NA,"HVAT00000984",NA,NA,NA,"2002","08","23",NA,NA,NA,NA,NA,NA
"6","2019-11-07 11:44:46-03","FUVATES","HVAT","282","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","pabstii","Anathallis pabstii","(Garay) Pridgeon & M.W.Chase","E. Freitas","E. Freitas","s.n.","2000","08","27",NA,"Brasil","Rio Grande do Sul","Sério",NA,"-52.268611","-29.383333","-52º16'7''W","-29º22'60''S",NA,"HVAT00000282",NA,NA,NA,"2001","01","11",NA,NA,NA,NA,NA,NA
"7","2019-11-07 11:44:46-03","FUVATES","HVAT","986","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","pabstii","Anathallis pabstii","(Garay) Pridgeon & M.W.Chase","E. Freitas","T. Klein","s.n.","2002","08","26",NA,"Brasil","Rio Grande do Sul","Anta Gorda",NA,"-52.004722","-28.970278","-52º0'17''W","-28º58'13''S",NA,"HVAT00000986",NA,NA,NA,"2002","08","26",NA,NA,NA,NA,NA,NA
"8","2019-11-07 11:44:46-03","FUVATES","HVAT","811","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","pabstii","Anathallis pabstii","(Garay) Pridgeon & M.W.Chase","E. Freitas","E. Freitas","s.n.","2001","08","21",NA,"Brasil","Rio Grande do Sul","São José do Herval","PCH Salto do Forqueta.","-52.295278","-29.044167","-52º17'43''W","-29º2'39''S",NA,"HVAT00000811",NA,NA,NA,"2001","08","23",NA,NA,NA,NA,NA,NA
"9","2021-03-25 13:53:02-03","UNIVILLE","JOI","16881","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","pabstii","Anathallis pabstii","(Garay) Pridgeon & M.W.Chase","MANCINELLI, W.S.","BILK, K.D.; CRUZ DE LIMA; A.R.; MANCINELLI, W.S.; PAGANI, A.","240","2016","03","24",NA,"Brasil","Santa Catarina","Joinville","Fazenda ABAETE. Área de Proteção Ambiental da Serra Dona Francisca","-49.126667","-26.180556","49º7'36''W","26º10'50''S","epífita","JOI016881",NA,NA,NA,"2016","11","08","750","750",NA,NA,NA,NA
"10","2021-03-25 13:53:02-03","UNIVILLE","JOI","16592","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","pabstii","Anathallis pabstii","(Garay) Pridgeon & M.W.Chase","W. S. Mancinelli","W. S. Mancinelli","1517","2015","03","21",NA,"Brasil","Santa Catarina","Joinville","Dona Francisca","-48.8456001281738","-26.3043994903564",NA,NA,"Flor creme Habito: Epífita","JOI016592",NA,"37150","auto","2016","03","23","700","700",NA,NA,NA,NA
"11","2021-03-25 13:53:02-03","UNIVILLE","JOI","16594","PreservedSpecimen","Plantae","Orchidaceae","Anathallis","pabstii","Anathallis pabstii","(Garay) Pridgeon & M.W.Chase","W. S. Mancinelli","W. S. Mancinelli","1553","2016","03","23",NA,"Brasil","Santa Catarina","Joinville","Parque Abaeté","-48.8456001281738","-26.3043994903564",NA,NA,"Flor creme Habito: Epífita","JOI016594",NA,"37150","auto","2016","03","23",NA,NA,NA,NA,NA,NA
"12","2010-08-16 16:43:11-03","AMES","HU-HERB","AMES 00074572","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","pabstii","Pleurothallis pabstii","Garay",NA,"P. K. H. Dusén","8220","1909","6",NA,"South America","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","8220","undetermined","Sheet"
