"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","452433","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","carautae","Couepia carautae","Prance","isotype","J. Spada","31/78","1978","01","24","South America","Brazil","Espírito Santo","Linhares","Linhares, Reserva Florestal da CVRD, Estrada 143 A 6, Km. 1430,","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=763098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452433","NY00452433_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","378004","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","carautae","Couepia carautae","Prance",NA,"C. Farney","1451","1987","06","30","South America","Brazil","Rio de Janeiro",NA,"Sta. Maria Madalena, Parque Estadual do Desengano, Sossego, Fazenda da forquilha, próx. ao Rio do Norte","-41.83","-21.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=763097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378004",NA,"G. T. Prance","350","550",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 11:05:57-03","UNESP-IBB","BOTUW","241","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","carautae","Couepia carautae","Prance",NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo",NA,"Comp. Vale do Rio Doce","-40.533333","-19.866667",NA,NA,"BOTUW000241",NA,NA,NA,NA,"40°32'W","19°52'S",NA,NA,NA,NA,NA,NA
"4","2020-08-31 09:00:44-03","INPA","INPA","95325","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Chrysobalanaceae","Couepia","carautae","Couepia carautae","Prance","holotype","Spada, JS","31","1978","01","24","Southern America","Brasil","Espírito Santo","Linhares","Reserva Florestal da CVRD, estrada 143 A 6, Km 1,430, talhão 601. Terreno argiloso.","-40.0722007751465","-19.3910999298096",NA,NA,"INPA0095325","INPA0095325 INPA0095325_e INPA0095325_e1","Prance, GT",NA,NA,NA,NA,"1981","03","48094","auto",NA,NA
"5","2021-02-25 10:12:46-03","CVRD","CVRD","148","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","carautae","Couepia carautae","Prance","ISOTYPUS","Spada, J.","31","1978","01","24","América do Sul","BRASIL","ES","Linhares","Talhão 601. Árvore a 20m do 2º valão, 900m do marco nº 9, depois do Bloco 1-20, 20m.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Milho torrado folha cinza","CVRD000148","CVRD000148","Ghillea T. Prance",NA,NA,NA,NA,"1983","04","48094","auto","Magnoliopsida","08"
