"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","yearIdentified","monthIdentified","day","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","dayIdentified","infraspecificEpithet","coordinatePrecision","geoFlag","individualCount","relatedCatalogItem","sex"
"17","2020-09-12 05:00:02-03","US","US","3050510","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","zehntneri","Discocactus zehntneri","Britton & Rose","L. Zehntner","Rose & Russell 19779","1915","6","South America - Neotropics","Brazil","Bahia",NA,NA,"US00189137","US00189137_01",NA,"Type collection",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"18","2020-09-12 05:00:02-03","US","US","3050509","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","zehntneri","Discocactus zehntneri","Britton & Rose","L. Zehntner","Rose & Russell 19779","1915","6","South America - Neotropics","Brazil","Bahia",NA,NA,"US00189129","US00189129_01",NA,"Type collection",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"19","2020-09-12 05:00:02-03","US","US","762951","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Discocactus","zehntneri","Discocactus zehntneri","Britton & Rose","L. Zehntner","Rose & Russell 19779","1915","6","South America - Neotropics","Brazil","Bahia",NA,"No type designated in protologue: The material upon which this species is based was obtained from Dr. Leo Zehntner, who procured it at Sentocé, Bahia, Brazil. A box of living material, fruit, seeds, and several photographs of flowering plants were contributed by him. See USNH 762952 for supplementary material. USNH 762951 is mounted with material in packet possibly (re)moved from USNH 762952, which is annotated type and mounted with photographs but found in main herbarium without any specimen Feb. 2011 although something (as well as barcode) has clearly been forcibly removed from it; not inventoried but now placed in same folder with USNH 762951.","US00115593","US00115593_01",NA,"Type collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"20","2019-11-13 11:17:19-03","USP","SPF","80805","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","zehntneri","Discocactus zehntneri boomianus","(Buining & Brederoo) N.P.Taylor & Zappi","Harley, RM","27395","1988","12",NA,"Brasil","Bahia",NA,NA,"SPF00080805",NA,"Anônimo",NA,NA,NA,"25","Morro do Chapéu",NA,"-41.333333","-11.466667","-41.333333","-11.466667","900","900",NA,NA,"boomianus",NA,NA,NA,NA,NA
"21","2019-10-07 09:18:38-03","UEFS","HUEFS","226075","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Discocactus","zehntneri","Discocactus zehntneri","Britton & Rose","Fantinati, M.R.","183","2017","01",NA,"Brasil","Bahia",NA,"Afloramento rochoso (lajeado) em campo rupestre, crescendo em aglomerados na areia entre as rochas.","HUEFS0226075","HUEFS0226075",NA,NA,NA,NA,"24","Morro do Chapéu","Ca. 25 Km à W da cidade na BA 052.","-41.341944","-11.489722","41W20'31''","11S29'23''","906","906","Caryophyllanae",NA,NA,NA,NA,NA,NA,NA
"22","2019-10-07 09:18:38-03","UEFS","HUEFS","226076","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Discocactus","zehntneri","Discocactus zehntneri","Britton & Rose","Fantinati, M.R.","184","2017","01",NA,"Brasil","Bahia",NA,"Afloramento rochoso (lajeado) em campo rupestre, crescendo em aglomerados na areia entre as rochas.","HUEFS0226076","HUEFS0226076",NA,NA,NA,NA,"24","Morro do Chapéu","Ca. 25 Km à W da cidade na BA 052.","-41.341944","-11.489722","41W20'31''","11S29'23''","906","906","Caryophyllanae",NA,NA,NA,NA,NA,NA,NA
"23","2019-10-07 09:18:38-03","UEFS","HUEFS","84843","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Discocactus","zehntneri","Discocactus zehntneri araneispinus","(J.Theun.) P.J.Braun","Machado, M.","205A","2004","04",NA,"Brasil","Bahia",NA,"solo arenoso.","HUEFS0084843","HUEFS0084843 HUEFS0084843_01",NA,NA,NA,NA,"28","Sento Sé","Limoeiro, serra a leste da vila","-41.328611","-9.991111","41W19'43''","9S59'28''",NA,NA,"Caryophyllanae",NA,"araneispinus",NA,NA,NA,NA,NA
"24","2019-10-07 09:18:38-03","UEFS","HUEFS","84840","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Discocactus","zehntneri","Discocactus zehntneri horstiorum","(PJ.Braun) PJ.Braun & Esteves","Machado, M.","201","2004","03",NA,"Brasil","Bahia",NA,"afloramentos de rocha. minério de ferro (pedra canga).","HUEFS0084840","HUEFS0084840",NA,NA,NA,NA,"26","Sento Sé","Campo Largo, ca. 2km da cidade na estrada para Minas do Mimoso","-41.421944","-10.376389","41W25'19''","10S22'35''",NA,NA,"Caryophyllanae",NA,"horstiorum",NA,NA,NA,NA,NA
"25","2019-10-07 09:18:38-03","UEFS","HUEFS","166851","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Discocactus","zehntneri","Discocactus zehntneri subsp. boomianus","(Buining & Brederoo) N.P.Taylor & Zappi","Machado, M.","1167","2008","10",NA,"Brasil","Bahia",NA,"caatinga","HUEFS0166851","HUEFS0166851",NA,NA,NA,NA,"11","Morro do Chapéu","Lages, ca. 21km a oeste da cidade na rodovia BA052.","-41.339167","-11.493611","41W20'21''","11S29'37''","780","780","Caryophyllanae",NA,"subsp. boomianus",NA,NA,NA,NA,NA
"26","2019-10-07 09:18:38-03","UEFS","HUEFS","41721","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Discocactus","zehntneri","Discocactus zehntneri subsp. boomianus","(Buining & Brederoo) N.P.Taylor & Zappi","Horst, K.I.","HU667","1988",NA,NA,"Brasil","Bahia",NA,NA,"HUEFS0041721",NA,NA,"Isótipo",NA,NA,NA,"Mimoso",NA,"-38.483333","-11.65","38W29'","11S39'",NA,NA,"Caryophyllanae",NA,"subsp. boomianus",NA,NA,NA,NA,NA
"27","2019-10-07 09:18:38-03","UEFS","HUEFS","84844","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Discocactus","zehntneri","Discocactus zehntneri subsp. zehntneri","Britton & Rose","Machado, M.","206","2004","04",NA,"Brasil","Bahia",NA,"afloramentos de rocha. gneiss.","HUEFS0084844","HUEFS0084844 HUEFS0084844_01 HUEFS0084844_02","M.R.Santos",NA,"2013","12","28","Sento Sé","Brejo Grande, afloramento de gneiss a leste da vila","-41.326667","-9.920556","41W19'36''","9S55'14''",NA,NA,"Caryophyllanae",NA,"subsp. zehntneri",NA,NA,NA,NA,NA
"28","2019-10-07 09:18:38-03","UEFS","HUEFS","84909","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Discocactus","zehntneri","Discocactus zehntneri subsp. zehntneri","Britton & Rose","Machado, M.","205C","2004","04",NA,"Brasil","Bahia",NA,"Solo arenoso.","HUEFS0084909","HUEFS0084909","M.R.Santos",NA,"2013","12","28","Sento Sé","Limoeiro, serra a leste da vila.","-41.328611","-9.991111","41W19'43''","9S59'28''",NA,NA,"Caryophyllanae",NA,"subsp. zehntneri",NA,NA,NA,NA,NA
"29","2019-10-07 09:18:38-03","UEFS","HUEFS","84908","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Discocactus","zehntneri","Discocactus zehntneri var. araneispinus","(J.Theun.) P.J.Braun","Machado, M.","205B","2004","04",NA,"Brasil","Bahia",NA,"Solo arenoso.","HUEFS0084908",NA,NA,NA,NA,NA,"28","Sento Sé","Limoeiro, serra a leste da cila.","-41.328611","-9.991111","41W19'43''","9S59'28''",NA,NA,"Caryophyllanae",NA,"var. araneispinus",NA,NA,NA,NA,NA
"30","2020-07-23 12:01:19-03","CEPLAC","CEPEC","46905","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","zehntneri","Discocactus zehntneri",NA,"R. M. Harley","27395","1988","12",NA,"Brasil","Bahia",NA,NA,NA,NA,"N. P. Taylor",NA,NA,NA,"25","MORRO DO CHAPÉU","21-22Km ao Oeste da cidade, BA-052.","-41.333333","-11.466667","41W20'","11S28'",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1989",NA
"31","2020-07-23 12:01:19-03","CEPLAC","CEPEC","48807","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","zehntneri","Discocactus zehntneri",NA,"U. Eggli","1274","1988","08",NA,"Brasil","Bahia",NA,NA,NA,NA,"N. P. Taylor",NA,NA,NA,"23","MORRO DO CHAPÉU","21Km NW cidade, BA-052, estr. p/ Irecê.","-41.1561012268066","-11.5500001907349",NA,NA,NA,NA,NA,NA,NA,"98143","auto",NA,"28/02/1991",NA
"32","2019-10-03 10:03:30-03","UFSCar","SORO","5739","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","zehntneri","Discocactus zehntneri",NA,NA,NA,"2016","11",NA,"Brasil","Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guaraciaba do Norte",NA,"-41.089444","-4.225","41°05'22W","04°13'30S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-04-05 12:31:28-03","UNIVASF","HVASF","10258","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Discocactus","zehntneri","Discocactus zehntneri subsp. zehntneri","Britton & Rose","F.F.S. Silva","177","2011","01","América do Sul","Brasil","Bahia",NA,"Cacto globoso. Flor branca. ca.: 0,2m alt. Flores e frutos ausentes.","HVASF010258",NA,"M.V. Meiado",NA,"2011","01","27","Sento Sé","Povoado de São Pedro",NA,NA,"9999.000000","9999.000000","791","791",NA,"31","subsp. zehntneri",NA,NA,NA,NA,"U"
