"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","county","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","248666","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Cymodoceaceae","Halodule","emarginata","Halodule emarginata","Hartog","M. A. Wetter","isotype","J. A. Petersen","s.n.","1969","10","15","South America","Brazil","São Paulo","Praía de Araça, I. de sao Sebastiao.","-45.38","-23.8","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=586262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00248666","NY00248666_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-06 11:42:06-03","UFPI-MRV","HDELTA","2527","PreservedSpecimen","Plantae",NA,NA,"Cymodoceaceae","Halodule","emarginata","Halodule emarginata","Hartog","Silva, N.P.",NA,"Silva, N.P.; Lima, T.G.P.","9","2016","02","11",NA,"Brasil","Piauí",NA,NA,NA,NA,NA,"HDELTA002527",NA,"2016","02","11",NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:43:19-03","NBC","NL-BOTANY","L 0050371","PreservedSpecimen","Plantae",NA,"Alismatales","Cymodoceaceae","Halodule","emarginata","Halodule emarginata","Hartog","Hartog C den","type","Petersen JA",NA,"1969","10","15","Southern America","Brazil","São Paulo","Brazil, Soa PauloPraia de AracaI de San Sebastiao","-45.383333","-23.8",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200050371 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0050371","NL-L0050371",NA,NA,NA,"Magnoliopsidae","-45.383333","-23.8","265434",NA,NA,NA
"4","2020-02-08 08:43:19-03","NBC","NL-BOTANY","L 0050372","PreservedSpecimen","Plantae",NA,"Alismatales","Cymodoceaceae","Halodule","emarginata","Halodule emarginata","Hartog","Hartog C den","type","Petersen JA",NA,"1969","10","15","Southern America","Brazil","São Paulo","Brazil, Soa PauloPraia de AracaI de San Sebastiao","-45.383333","-23.8",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200050372 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0050372","NL-L0050372",NA,NA,NA,"Magnoliopsidae","-45.383333","-23.8","265435",NA,NA,NA
"5","2020-02-08 08:43:19-03","NBC","NL-BOTANY","L.1196679","PreservedSpecimen","Plantae",NA,"Alismatales","Cymodoceaceae","Halodule","emarginata","Halodule emarginata","Hartog",NA,NA,"Sazima IP",NA,"1968","10","21","Southern America","Brazil",NA,"State of São Paulo, northern coast. Saco da Ribeira Beach, Bay of Flamengo.","-45.1","-23.5",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1196679 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1196679","NL-L1196679",NA,NA,NA,"Magnoliopsidae","-45.1","-23.5",NA,NA,NA,NA
"6","2020-02-08 08:43:19-03","NBC","NL-BOTANY","L.1196680","PreservedSpecimen","Plantae",NA,"Alismatales","Cymodoceaceae","Halodule","emarginata","Halodule emarginata","Hartog",NA,NA,"Soares Moreira MG",NA,"1970","03","27","Southern America","Brazil",NA,"State of São Paulo, São Sebastião Island, Siriuba Beach.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1196680 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1196680","NL-L1196680",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:43:19-03","NBC","NL-BOTANY","L.1196681","PreservedSpecimen","Plantae",NA,"Alismatales","Cymodoceaceae","Halodule","emarginata","Halodule emarginata","Hartog",NA,NA,"Soares Moreira MG",NA,"1970","03","27","Southern America","Brazil",NA,"State of São Paulo, São Sebastião Island. Siriuba Beach.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1196681 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1196681","NL-L1196681",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:43:19-03","NBC","NL-BOTANY","L.1196682","PreservedSpecimen","Plantae",NA,"Alismatales","Cymodoceaceae","Halodule","emarginata","Halodule emarginata","Hartog",NA,NA,"Petersen JA",NA,"1969","10","15","Southern America","Brazil",NA,"São Paulo, Praia de Araca, I. de São Sebastiao.","-45.383333","-23.8",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1196682 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1196682","NL-L1196682",NA,NA,NA,"Magnoliopsidae","-45.383333","-23.8",NA,NA,NA,NA
"9","2020-02-08 08:43:19-03","NBC","NL-BOTANY","L.1196683","PreservedSpecimen","Plantae",NA,"Alismatales","Cymodoceaceae","Halodule","lilianeae","Halodule lilianeae","Hartog",NA,NA,"Montouchet",NA,"1970","08","18","Southern America","Brazil",NA,"Mar Grande, Bahia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1196683 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1196683","NL-L1196683",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:37:37-03","MN","R","223807","PreservedSpecimen","Plantae",NA,NA,"Cymodoceaceae","Halodule","emarginata","Halodule emarginata","Hartog","Lourenço A.R.",NA,"Lourenço, A.R. 42; Silva T.",NA,"2014","10","26",NA,"Brasil","Bahia","Ilha dos Frades",NA,NA,NA,NA,"R010066133","R010066133","2014","10","27",NA,"-38.646.109","-12.807.152",NA,"Baía de Todos os Santos",NA,NA
