"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","class","order","typeStatus"
"1","2019-10-09 11:20:11-03","UFBA","ALCB","80753","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Marcetia","bracteolaris","Marcetia bracteolaris","Cogn.","Santos, AKA","2010","01","21","Guedes, ML; Valadão, RM; Gomes, FS; Alunos de Botânica III","13804","2007","10","13","Southern America","Brasil","Bahia","Ibicoara","Chapada Diamantina, Caminho para a Cachoeira do Buração","-41.160556","-13.315556","-41.160556","-13.315556","957","957","de ca 1,80 m de altura. Folhas membranáceas, com tomentos glandulosos. Flores com pétalas e estames alvos. Frutos imaturos verdes. Ocasional.","ALCB061988",NA,NA,NA
"2","2014-10-14 15:56:54-03","BS","M","M-0165506","S","Plantae","Magnoliophyta","Melastomataceae","Marcetia","bracteolaris","Marcetia bracteolaris","Cogn.",NA,NA,NA,NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Habitat in campis altis inter Contendas et flumen S. Francisci prope Solgado. Provinciae Min. Genera.",NA,NA,NA,NA,NA,NA,NA,"M0165506","Magnoliopsida","Myrtales","HOLOTYPE"
"3","2014-10-14 15:56:54-03","BS","M","M-0173414","S","Plantae","Magnoliophyta","Melastomataceae","Marcetia","bracteolaris","Marcetia bracteolaris","Cogn.",NA,NA,NA,NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Habitat in udis adscensus M. Serra de Sincora dicti. Provinciae Bahiensis.",NA,NA,NA,NA,NA,NA,NA,"M0173414","Magnoliopsida","Myrtales","TYPE"
"4","2017-09-11 17:10:54-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Melastomataceae","Marcetia","bracteolaris","Marcetia bracteolaris","(Schrank & Mart. ex DC.) O.Berg ex Cogn.",NA,NA,NA,NA,"Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"Habitat in campis elevatis inter Contendas et flumen S.Francisci prope Salgado prov, Minas Geraes, in udis adscensus mont. Serra de Sincora prov. Bahia et in monte Corcovado prov. Rio de Janeiro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
