"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2021-04-05 14:25:36-03","UNESC","CRI","13028","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","uleana","Mollinedia uleana","Perkins","Seubert, RC","2014","08","10","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.","111","2014","08","10","Brasil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí. Faxinal do Bepe - Parque Nacional da Serra do Itajaí.","-49.196944","-27.109722","49º11'49''W","27º6'35''S","620","620","Projeto Restaurar Habitat: Floresta Ombrófila Densa Montana; encosta Habito: arvoreta;","CRI011739",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:36-03","UNESC","CRI","14972","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","uleana","Mollinedia uleana","Perkins","Peixoto, AL","2011","01","31","Korte, A.; Kniess, A.","2358","2010","03","30","Brasil","Santa Catarina","Rodeio","São Pedro. São Pedro.","-49.411389","-26.910278","49º24'41''W","26º54'37''S","611","611","Florística IFFSC 690 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Médio Habito: arbusto; Fruto com fruto;","CRI014380","CRI014380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:36-03","UNESC","CRI","13885","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","uleana","Mollinedia uleana","Perkins","Fabio Speck","2018","06","02","Alexandre Medeiros",NA,"2018","06","02","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras APA Costa Brava","-48.585","-26.999167","48º35'6''W","26º59'57''S",NA,NA,"Frutos vermelhos/ verdes Habitat: Terrestre Habito: Arbórea","CRI012496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:36-03","UNESC","CRI","807","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","uleana","Mollinedia uleana","Perkins","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Valdemar Piazza Boff","1170","1991","09","12","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI004783","CRI004783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:36-03","UNESC","CRI","3317","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","uleana","Mollinedia uleana","Perkins","A. L. Peixoto",NA,NA,NA,"Vanilde Citadini-Zanette; Clair Maria Martinello","1802","1991","09","12","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI004776","CRI004776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:40-03","E","E","83137","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","uleana","Mollinedia uleana",NA,NA,NA,NA,NA,"Kummrow, R.","2015","1982","09","14","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083137 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083137",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:91736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","454374","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","iomalla","Mollinedia iomalla","Perkins",NA,NA,NA,NA,"W. Hoehne","s.n.","1946","11","15","Brazil","São Paulo","Limeira",NA,"-47.4","-22.56",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614495' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454374","NY00454374_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","454375","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","iomalla","Mollinedia iomalla","Perkins","H. O. Sleumer",NA,NA,NA,"F. C. Hoehne",NA,"1931","10","19","Brazil","São Paulo","Sao Paulo","Nativa no Parque do Estado e Jardim Botânico","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454375","NY00454375_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00894157","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","iomalla","Mollinedia iomalla","Perkins","J. A. Kallunki",NA,NA,NA,"H. S. Irwin","20530","1968","02","19","Brazil","Minas Gerais",NA,"Serra do Cipó, km. 135 (ca. 150km N. of Belo Horizonte).","-43.38","-18.82",NA,NA,"1300","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894157","NY00894157_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00454373","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","iomalla","Mollinedia iomalla","Perkins","J. A. Kallunki",NA,NA,NA,"H. S. Irwin","19950","1968","02","12","Brazil","Minas Gerais",NA,"Serra do Itabirito, ca. 45 km SE of Belo Horizonte","-43.8","-20.2",NA,NA,"1500","1500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614494' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454373","NY00454373_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","454310","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","uleana","Mollinedia uleana","Perkins","R. E. Schönfelder",NA,NA,NA,"P. K. H. Dusén","7003","1908","06","05","Brazil","Paraná","Lapa","Volta Grande","-49.7156","-25.7697",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=578957' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454310","NY00454310_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","454317","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","uleana","Mollinedia uleana","Perkins","I. de Vattimo",NA,NA,NA,"C. A. W. Schwacke","13198","1897","09","19","Brazil","Santa Catarina",NA,"Pirahy - mirim",NA,NA,NA,NA,NA,NA,"Ex-Herbário damásio <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=578952' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454317","NY00454317_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","454315","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","uleana","Mollinedia uleana","Perkins","A. Peixoto",NA,NA,NA,"G. G. Hatschbach","40334","1977","10","05","Brazil","Paraná","Cerro Azul","Rio Turvo","-49.2608","-24.8236",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=578950' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454315","NY00454315_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","454308","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","uleana","Mollinedia uleana","Perkins","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","5679","1967","07","25","Brazil","Paraná",NA,"Serra do Mar, near old road from Curitiba to Morretes",NA,NA,NA,NA,"550","550","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=578954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454308","NY00454308_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","454318","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","uleana","Mollinedia uleana","Perkins","J. A. Kallunki",NA,NA,NA,"H. de F. Leitão Filho","2537","1976","08","11","Brazil","São Paulo","Jundiaí","Serra do Japi","-46.88","-23.1803",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=578960' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454318","NY00454318_01","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA
