"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","2200049","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","mollis","Coccoloba mollis","Casar.","J. L. Zarucchi","3192","1983","07","26","South America","Brazil","Amazonas","Maués","Basin of Rio Apoquitaua, lower Rio Pacoval","-58.03","-3.78","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2333075' target='other'> <mi>dwc_moreinfo</mi></a>","NY02200049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2200050","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","mollis","Coccoloba mollis","Casar.","C. Davidson","10332","1980","06","17","South America","Brazil","Pará","Oriximiná","Rio Trombetas. River banks downriver from Cachoeira Porteira, N to NE bank-shale cliffs to terra firme. (Between C.P. and IBDF Reserval-Lago do Jacaré)","-56.941621","-1.2067814","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2333076' target='other'> <mi>dwc_moreinfo</mi></a>","NY02200050","NY02200050_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","868529","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","mollis","Coccoloba mollis","Casar.","B. A. Krukoff","5550",NA,NA,NA,"South America","Brazil","Acre",NA,"Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868529",NA,"R. A. Howard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","868528","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","mollis","Coccoloba mollis","Casar.","M. Silveira","946","1994","09","28","South America","Brazil","Acre","Tarauacá","Bacia do Rio Juruá, Rio Muru, Seringal Vitória Velha, Colocaçao Vista Alegre, margem direita.","-70.8067","-8.4275","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868528",NA,"E. de Melo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00878324","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","mollis","Coccoloba mollis","Casar.","D. C. Daly","D285","1980","09","27","South America","Brazil","Maranhão","São Mateus do Maranhão","Fazenda do Senhor Miguel Pacheco. Km 176 of BR 135. 2km N of São Mateus.","-44.5","-4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953213' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878324","NY00878324_01","R. A. Howard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01806405","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","mollis","Coccoloba mollis","Casar.","L.A. Gomes","616","2012","08","14","South America","Brazil","Sergipe",NA,"Santa Luzia do Itanhy, RPPN Mata do Crasto: Borda de mata.","-37.43092118655","-11.396321","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2197035' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806405","NY01806405_01","R. M. Déda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00878342","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","mollis","Coccoloba mollis","Casar.","B. Maguire","56392","1963","08","29","South America","Brazil","Mato Grosso",NA,"100 km north of Cuiabá, en route to Diamantino. Brasilia-Acre Highway.","-56.515631","-15.011036","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953500' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878342","NY00878342_01","R. A. Howard","200","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1738038","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","mollis","Coccoloba mollis","Casar.","L.A. Gomes","132","2011","05","17","South America","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto.","-37.4672","-11.4711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1952932' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738038","NY01738038_01","L.A. Gomes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","868526","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","mollis","Coccoloba mollis","Casar.","M. Silveira","560","1993","10","21","South America","Brazil","Acre","Sena Madureira","Bacia do Rio Purus, Fazenda Nova Olinda, Carreador do Poti, ca. 8 km da sede","-69.22","-10.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868526","NY00868526_01","R. A. Howard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00878328","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","mollis","Coccoloba mollis","Casar.","D. R. Hunt","62434","1966","06","27","South America","Brazil","Goiás","Caiapônia","Jataí-Caiaponia road, 40 km from Caiaponia","-51.8103","-16.9569","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953453' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878328","NY00878328_01",NA,"600","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00878340","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","mollis","Coccoloba mollis","Casar.","J. A. Ratter","R.2197","1972","08","23","South America","Brazil","Mato Grosso",NA,"Vale de Sonhos (80 km N of Barra do Garças on the road to Xavantina)","-52.33","-15.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878340","NY00878340_01","R. A. Howard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02808900","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","mollis","Coccoloba mollis","Casar.","L. Santos","1318","2011","11","12","South America","Brazil","Rondônia","Ariquemes","Inventário Florestal Nacional - Rondônia (IFN - RO). Conglomerado RO - 169, subunidade 1, subparcela 3, árvore nº 12 / F6.","-63.36","-9.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3102547' target='other'> <mi>dwc_moreinfo</mi></a>","NY02808900","NY02808900_01","F. Bonadeu da Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","2200034","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","mollis","Coccoloba mollis","Casar.","B. A. Krukoff","1246","1931","09",NA,"South America","Brazil","Pará",NA,"On varzia land near Cassipa, Tapajos River Region","-56.6558075","-4.7009877","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2333027' target='other'> <mi>dwc_moreinfo</mi></a>","NY02200034","NY02200034_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","593391","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","mollis","Coccoloba mollis","Casar.","K. Almeida","166","2001","07","04","South America","Brazil","Pernambuco",NA,"Sao Lourenço da Mata. Estaçao do Tapacurá","-34.9503","-8.0128","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593391","NY00593391_01","K. Almeida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
