"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","coordinatePrecision","geoFlag"
"1","2016-09-29 18:30:00-03","NY","NYBG","499043","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Plantaginaceae","Achetaria","latifolia","Achetaria latifolia","paratype","F. Segadas-Vianna","1319","1953","04","24","South America","Brazil","Rio de Janeiro","Cabo Frio","Arraial do Cabo, Pontal beach","-42.0317","-22.9467","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499043","NY00499043_01",NA,NA,NA
"2","2020-11-04 12:15:42-03","ESALQ","ESA","139248","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Achetaria","latifolia","Achetaria latifolia",NA,"Colletta, G. D","2801.0","2017","01","06",NA,"Brasil","RJ","Cabo-frio","Dunas",NA,NA,NA,NA,"ESA139248",NA,"V.C.Souza",NA,NA
"3","2020-11-04 12:15:42-03","ESALQ","ESA","139249","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Achetaria","latifolia","Achetaria latifolia",NA,"Colletta, G. D","2802.0","2017","01","06",NA,"Brasil","RJ","Arraial do cabo","restinga, bem próxima das dunas","-42.0278015136719","-22.966100692749",NA,"35 cm, flores roseas com listras vináceas no lábio inferior","ESA139249",NA,"V.C.Souza","25964","auto"
