"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-04-05 14:25:49-03","UNESC","CRI","2382","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","Stapf","L. B. Smith","R. M. Klein; M. M. Klein","11209","1975","10","18","Brasil","Santa Catarina","Ilhota","Fazenda da Cia Hering.","-48.8275","-26.900278","48º49'39''W","26º54'1''S","15","15","CRI006300","CRI006300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:49-03","UNESC","CRI","2053","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","Stapf","L. B. Smith","R. M. Klein","11182","1975","07","10","Brasil","Santa Catarina","Balneário Camboriú",NA,"-48.635","-26.991111","48º38'6''W","26º59'28''S","5","5","CRI006298","CRI006298","Habitat: terreno úmido",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:55-03","UNESC","CRI","2051","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","Stapf","L. B. Smith","R. M. Klein",NA,"1975","07","29","Brasil","Santa Catarina","Itajaí",NA,"-48.662222","-26.908333","48º39'44''W","26º54'30''S",NA,NA,"CRI006297","CRI006297",NA,"1978","07","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:55-03","UNESC","CRI","343","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","Stapf","V. C. Zanette","V. C. Zanette; V. P. Boff","709","1986","04","25","Brasil","Santa Catarina","Tubarão","Canal da Estiva.","-49.007222","-28.467222","49º0'26''W","28º28'2''S","11","11","CRI006299","CRI006299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:39:33-03","E","E","287794","PreservedSpecimen","Plantae","Gramineae","Brachiaria","mutica","Brachiaria mutica",NA,NA,"McDowell, T.","2643","1990","05","17","GY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00287794",NA,"<a href=http://data.rbge.org.uk/herb/E00287794 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:302201",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 12:11:00-02","NY","NYBG","630687","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica",NA,NA,"R. Reitz","3103","1956","04","13","Brazil","Santa Catarina","Ibirama","Hôrto Florestal I.N.P., Ibirama","-49.5178","-27.0569",NA,NA,"200","200","NY00630687","NY00630687_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505212' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"7","2016-09-30 02:18:00-03","NY","NYBG","1100002","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica",NA,NA,"E. A. Goeldi","24",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"NY01100002","NY01100002_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400262' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 12:11:00-02","NY","NYBG","763096","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica",NA,NA,"W. Hoehne","s.n.","1948","05","22","Brazil","São Paulo","Sao Paulo","Sao Paulo, Sao Paulo, Pacaembú","-46.63","-23.5403",NA,NA,NA,NA,"NY00763096","NY00763096_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505215' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"9","2016-11-01 12:11:00-02","NY","NYBG","630685","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica",NA,"E. J. Judziewicz","J. S. Blanchet",NA,"1831",NA,NA,"Brazil","Bahia",NA,"Circa Bahian, Brasil. Intratrop.",NA,NA,NA,NA,NA,NA,"NY00630685","NY00630685_01","[Salzmann appears on another label. Label mixup?] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505203' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","641532","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","(Forssk.) Stapf","E. J. Judziewicz","C. M. Belshaw","3237","1937","08","15","Peru","San Martín","San Martín","Valley of San Martin. East of Tarapoto 8 km, Fundo de San Isidro near Codo Creek",NA,NA,NA,NA,"304.8","304.8","NY00641532",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505204' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
