"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1039484","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E.Fourn.) Fontella & Marquete","M. A. Farinaccio","R. de Mello-Silva","2851","2005","02","18","South America","Brazil","Minas Gerais","Aiuruoca","Serra do Papagio. Alto da serra. Gruta próxima ao Retiro dos Pedros.","-44.6714","-22.055","2109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1486469' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039484","NY01039484_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1280641","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E.Fourn.) Fontella & Marquete","N. M. F. da Silva","S. J. da Silva Neto","826","1995","09","26","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Planalto, base do Pico das Prateleiras.","-44.65833","-22.35833","2400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1616201' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280641","NY01280641_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1183935","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E.Fourn.) Fontella & Marquete",NA,"N. M. F. da Silva","451","2002","12","11","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Estrda para as Prateleiras, do lado de Registro, próximo da entrada do Parque Nacional de Itatiaia.","-44.7086","-22.37","2380","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1458911' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183935","NY01183935_01","2380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01081474","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","urbanianum","Oxypetalum urbanianum","Silveira","W. D. Stevens","G. Eiten","6554","1965","11","03","South America","Brazil","Rio de Janeiro","Resende","Mt. Itatiáia. In valley leading to Pedra do Altar, 1/2-1 km N of shelter house.","-44.4467010498047","-22.468900680542","2350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1226383' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081474","NY01081474_01","2450","36089","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 11:07:09-03","UNESP-IBB","BOTU","27671","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","urbanianum","Oxypetalum urbanianum","Silveira","Maimoni-Rodella, R.C.S.","Magalhães, J.H.R.","100","2010","11","09",NA,"Brasil","São Paulo","Botucatu","Mata do Brejo","-48.492222","-22.881111",NA,NA,"Liana, 9 m.,pétalas coer creme, prefloração espiralada, látex abundante,limbo com nervuras incnspícuas, glabro, dilatação na base do pecíolo, envolvendo o caule, caule volúvel","BOTU027671","BOTU027671",NA,NA,NA,"2010","48°29'32w","22°52'52s",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:18:51-03","UFRJ","RFA","Foto 94","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","urbanianum","Oxypetalum urbanianum","Silveira","P. Occhioni","Campos Porto","2124","1932","01","11",NA,"Brasil","Rio de Janeiro","Itatiaia","km 13","-44.5633010864258","-22.4960994720459","1800",NA,NA,"RFA-Foto36334",NA,"1800","19648","auto","1953",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:28:57-03","UFRJ","RFA","4222","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","urbanianum","Oxypetalum urbanianum","Silveira","P. Occhioni","P. Occhioni","1584","1947","03","12",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Base das Agulhas Negras","-44.5633010864258","-22.4960994720459","2000",NA,"Flor verde","RFA24966",NA,"2000","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:20:04-03","NBC","NL-BOTANY","U.1092297","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Oxypetalum","urbanianum","Oxypetalum urbanianum","Silveira",NA,"Lindeman JC; Haas JH de",NA,"1967","04","16","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1092297 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1092297","NL-U1092297",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"9","2021-03-31 13:35:23-03","MN","R","203018","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E. Fourn.) Fontella & Marquete",NA,"Marquete, N.F.S. 451; Marquete, R.; Valente, M.C. & Silva, J.C.",NA,"2002","12","11",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.708611","-22.37","2380",NA,NA,NA,NA,"2380",NA,NA,NA,"44° 42' 31''W","22° 22' 12''S",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:35:23-03","MN","R","5147","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E. Fourn.) Fontella & Marquete","Marquete, N.F.S.","Ule, E.H.G.","619","1895","12","30",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"2600",NA,NA,NA,NA,"2600",NA,NA,"2001",NA,NA,NA,NA,NA,NA,NA,NA,NA
