"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","class","dayIdentified","typeStatus","relatedCatalogItem","infraspecificEpithet","verbatimLongitude","verbatimLatitude","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","660971","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","F. O. Zuloaga","M. A. Chase","10723","1930","02","04","South America","Brazil","Mato Grosso do Sul","Três Lagoas","Tres Lagoas","-51.6781","-20.7511","300","325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675013' target='other'> <mi>dwc_moreinfo</mi></a>","NY00660971","NY00660971_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","660968","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","F. O. Zuloaga","W. D. Clayton","4507","1965","02","04","South America","Brazil","São Paulo","Itapetininga","Sorocaba to Itapetininga","-47.97","-23.58","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675012' target='other'> <mi>dwc_moreinfo</mi></a>","NY00660968","NY00660968_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","660972","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","F. O. Zuloaga","F. O. Zuloaga","5794","1996","04","22","South America","Argentina","Misiones",NA,"Dpto. Capital: Ruta Nac. 105, km 30, 7 km al N de San José","-55.78","-27.7","140","140","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00660972","NY00660972_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","660969","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","L. B. Smith","L. B. Smith","14726","1965","01","17","South America","Brazil","Paraná","Arapoti","By Jaguariaiva","-49.35","-24.12","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00660969","NY00660969_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","660966","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","F. O. Zuloaga","G. Eiten","2116","1960","07","15","South America","Brazil","São Paulo","Moji-Guaçu","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 10 km. NNE of Padua Sales. (About 27 km. NW of city of Moji-Mirim.)","-47.142","-22.242","575","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675010' target='other'> <mi>dwc_moreinfo</mi></a>","NY00660966","NY00660966_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00864292","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","F. O. Zuloaga","M. A. Chase","8696","1925","03","01","South America","Brazil","Minas Gerais",NA,"Between Sitio and Dr. Sá Fortes, Serra da Mantiqueira",NA,NA,"1200","1225","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955559' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864292","NY00864292_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","660967","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","F. O. Zuloaga","S. M. de Campos","209","1960","03","17","South America","Brazil","São Paulo","Itapetininga","Faz. Sta. Luzia do Campo, SSE da cid. de Itapetininga","-48.0497","-23.5903",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00660967","NY00660967_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00864268","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","F. O. Zuloaga","M. A. Chase","9279","1925","03","28","South America","Brazil","Minas Gerais",NA,"West of Vaccaria, Serra do Cipó (110 km. northeast of Bello Horizonte)",NA,NA,"800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864268","NY00864268_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","660970","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","G. Davidse","G. Davidse","11145","1976","03","11","South America","Brazil","Santa Catarina",NA,"17 km NE of the Santa Catarina-Rio Grande do Sul border as measured from the intersection of the Rio Pelotas and Highway BR-116",NA,NA,"950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00660970","NY00660970_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:10:58-03","UTFPR","DVPR","4716","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Hatschbach, G; Hatschbach, M; Barbosa, E","74882","2003","03","18",NA,"Brasil","Mato Grosso do Sul","Miranda","Fazenda Lagoão Fechado.","-56.3782997131348","-20.2406005859375",NA,NA,NA,"cerrado.; solo: rochoso.","DVPR004716",NA,"2004","92112","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:53:52-03","EAO","IAN","38823","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Swallen, JR","4859","1934","06","06","Southern America","Brasil","Rio Grande do Norte",NA,"Santa Cruz. Open grassy places. (Herbário Museu Goeldi 13808).",NA,NA,NA,NA,NA,NA,"IAN038823","IAN038823 IAN038823_e","2002",NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:53:52-03","EAO","IAN","38823","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Swallen, JR","4859","1934","06","06","Southern America","Brasil","Rio Grande do Norte",NA,"Santa Cruz. Open grassy places. (Herbário Museu Goeldi 13808).",NA,NA,NA,NA,NA,NA,"IAN038823","IAN038823 IAN038823_e","2002",NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:53:52-03","EAO","IAN","62517","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Chase, A","10725","1930","02","04","Southern America","Brasil","Mato Grosso",NA,"Três Lagoas. (Herbário do Jardim Botânico do Rio).",NA,NA,NA,NA,NA,NA,"IAN062517",NA,"2002",NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:53:52-03","EAO","IAN","62517","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Chase, A","10725","1930","02","04","Southern America","Brasil","Mato Grosso",NA,"Três Lagoas. (Herbário do Jardim Botânico do Rio).",NA,NA,NA,NA,NA,NA,"IAN062517",NA,"2002",NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:53:52-03","EAO","IAN","64837","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Zuloaga, FO","D'Araújo, JR","8",NA,NA,NA,"Southern America","Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,"IAN064837",NA,"1988",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-08 17:45:20-03","EAO","IAN","65929","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Gaudichaud","215",NA,NA,NA,"Southern America","Brasil","Rio de Janeiro",NA,"Rio Grande.",NA,NA,NA,NA,NA,NA,"IAN065929",NA,"2002",NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-08 17:45:20-03","EAO","IAN","65929","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Gaudichaud","215",NA,NA,NA,"Southern America","Brasil","Rio de Janeiro",NA,"Rio Grande.",NA,NA,NA,NA,NA,NA,"IAN065929",NA,"2002",NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:53:52-03","EAO","IAN","66963","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Swallen, JR","4396","1934","04","21","Southern America","Brasil","Ceará",NA,"Iguatú.",NA,NA,NA,NA,NA,NA,"IAN066963",NA,"2002",NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:53:52-03","EAO","IAN","66963","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Swallen, JR","4396","1934","04","21","Southern America","Brasil","Ceará",NA,"Iguatú.",NA,NA,NA,NA,NA,NA,"IAN066963",NA,"2002",NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
