"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","day","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","fieldNumber","minimumElevationInMeters","individualCount","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","maximumElevationInMeters","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","221694","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Cienfuegosia","sulphurea","integrifolia","Cienfuegosia sulphurea integrifolia","Chodat & Hassl.","type","E. Hassler","5444","1900","11","South America","Paraguay","Iter ad Yerbales Montium Sierra de Maracayu. In regione vicine Igatimi","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303094' target='other'> <mi>dwc_moreinfo</mi></a>","NY00221694","NY00221694_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","221695","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Cienfuegosia","sulphurea","major","Cienfuegosia sulphurea major","Hassl.","type","E. Hassler","2416","1903","10","South America","Paraguay","Chaco. Ad ripam occidentalum flum. Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=423603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00221695","NY00221695_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:59:21-03","NBC","NL-BOTANY","L.2365662","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Cienfuegosia","sulfurea",NA,"Cienfuegosia sulfurea","(A.St.-Hil.) Garcke",NA,"Pedersen TM",NA,"1962","04","Southern America","Argentina","Estancia,,La Yela'', Dep. Empedrado Prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2365662 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2365662","NL-L2365662","Magnoliopsidae","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:59:21-03","NBC","NL-BOTANY","L.2365663","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Cienfuegosia","sulfurea",NA,"Cienfuegosia sulfurea","(A.St.-Hil.) Garcke",NA,"Lorentz PG",NA,"1877","03","Southern America","Uruguay","Concepcion del Uruguay.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2365663 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2365663","NL-L2365663","Magnoliopsidae","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:59:21-03","NBC","NL-BOTANY","U.1380739","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Cienfuegosia","sulfurea",NA,"Cienfuegosia sulfurea","(A.St.-Hil.) Garcke",NA,"Krapovickas A; Schinini A",NA,"1987","09","Southern America","Argentina","Argentina, Prov. Corrientes, dep. San Cosme. Loc. 3.5 km de accaso a Paso de la Patria, camino a Puerto Gonzalaz. En suelo desnudo, postrada, corola toda amarilla.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1380739 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1380739","NL-U1380739","Magnoliopsidae","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:42:37-03","JBP","HPL","11605","S","Plantae",NA,NA,"Malvaceae","Cienfuegosia","sulfurea",NA,"Cienfuegosia sulfurea","(A. St. Hil.) Garcke",NA,"M. Grings & R. Paniz","911","2009","12",NA,"Brasil","Coletado no Parque Estadual do Espinilho; em campo baixo, ralo, com solo arenoso.",NA,NA,NA,NA,NA,"16","M. Grings","RS","Barra do Quaraí","-57.49625","-30.189583","57° 29' 46,5 W","30° 11' 22,5 S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-18 10:57:29-03","UFRRJ","RBR","5329","S","Plantae",NA,NA,"Malvaceae","Cienfuegosia","sulfurea",NA,"Cienfuegosia sulfurea","(A.St.-Hil.) Garcke",NA,"Euono","77","1900",NA,NA,"Argentina","Santa Fé. Vera.",NA,NA,"RBR00005329",NA,NA,NA,NA,NA,"Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:33:07-03","MBM","MBM","38922","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Cienfuegosia","sulphurea",NA,"Cienfuegosia sulphurea","(A. St.-Hil.) Garke",NA,"Rojas, T.","2592",NA,NA,"Southern America","Paraguay",NA,NA,NA,"MBM038922","MBM038922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:33:07-03","MBM","MBM","17586","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Cienfuegosia","sulphurea",NA,"Cienfuegosia sulphurea","(A. St.-Hil.) Garke",NA,"Krapovickas, A.; et al.; et al.","17855",NA,NA,"Southern America","Argentina",NA,NA,NA,"MBM017586","MBM017586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:33:07-03","MBM","MBM","58261","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Cienfuegosia","sulphurea",NA,"Cienfuegosia sulphurea","(A. St.-Hil.) Garke",NA,"Schinini, A.","14656",NA,NA,"Southern America","Argentina",NA,NA,NA,"MBM058261","MBM058261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
