"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","class","order","relatedCatalogItem"
"1","2019-10-09 11:27:37-03","UFBA","ALCB","032536","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Sincoraea","amoena","Sincoraea amoena","Ule","Wanderley, MGL","2007","02","27","Guedes, ML; et al.","5514","1997","11","08","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai In cio, caminho para Cercado","-41.466667","-12.45","-41.466667","-12.45","formando roseta de 22 cm de diâmetro. Folhas numerosas recurvadas, avermelhadas na parte central, margens serruladas. Inflorescência sem escapo, flores numerosas sésseis, sépalas livres, margem inteira, corola alva. Frequente.; substr","ALCB010789","ALCB010789",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:27:37-03","UFBA","ALCB","036883","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Sincoraea","amoena","Sincoraea amoena","Ule","Wanderley, MGL","2007","03","27","Carvalho, AM de; Amorim, AMA; Sant'Ana, SC de; Jardim, JG; Souza, GR; Cruz, NB","PCD1023","1994","10","26","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai In cio, campos aberto e rupestre","-41.470833","-12.455556","-41.470833","-12.455556","rupícula crescendo nos platôs de Pai Inácio. Folhas simples, pecíolo biglanduloso na base, glândulas pateliformes, sésseis; limbo papiráceo, 5-lobado a 5-partido, lobos oblongos, serrulados, mucronulados. Inflorescência com brácteas f","ALCB008496","ALCB008496","1080","1080",NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:27:37-03","UFBA","ALCB","16153","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Sincoraea","amoena","Sincoraea amoena","Ule","Martinelli, G; Vieira, CM","2002","07",NA,"Guedes, ML","628","1983","06","28","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina","-41.3899993896484","-12.563099861145",NA,NA,"rupícola. Folhas rígidas, semi-suculentas. Inflorescência pardo-avermelhada.","ALCB010785","ALCB010785",NA,NA,"47385","auto",NA,NA,NA,NA
"4","2019-10-09 11:27:37-03","UFBA","ALCB","16791","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Sincoraea","amoena","Sincoraea amoena","Ule","Martinelli, G; Vieira, CM","2002","07",NA,"Guedes, ML","628","1983","06","28","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina","-41.3899993896484","-12.563099861145",NA,NA,"folhas rígidas, semi-suculentas. Inflorescência pardo-avermelhada. Rupícola.","ALCB010786","ALCB010786",NA,NA,"47385","auto",NA,NA,NA,NA
"5","2021-03-31 10:25:59-03","UFPI","TEPB","21374","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum","(Ule) L.B.Sm","M. G. L. Wanderley","2005","04","16","G. M. SOUSA","503","2002","03","06",NA,"Brasil","Bahia","Rio de contas","Estrada Real. Caminho para a cachoeira de Rio Brumado","-41.815278","-13.610556","41°48'55W","13°36'38S","Rupícula. Folhas verdes, as próxima a inflorescencia com porção mediana avermelhada. Sépalas verdes, pétalas branco-esverdeada, estames amarelos. Ambiente: Caatinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:37:51-02","BGBM","B","B 10 0247113","S","Plantae",NA,"Bromeliaceae","Sincoraea","amoena","Sincoraea amoena","Ule",NA,NA,NA,NA,"E. H. G. Ule","7106","1906","11",NA,"Middle and South America","Brazil",NA,NA,"Estado do Bahia; Serra do Sincora.",NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100247113 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100247113","B100247113",NA,NA,NA,NA,"type",NA,NA,NA
"7","2020-12-21 16:19:25-03","MBM","MBM","243659","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum","(Ule) L.B.Sm.",NA,NA,NA,NA,"Arbo, M.M.; et al.; et al.","5808","1992","11","26","Southern America","Brazil","Bahia","Lençóis","Rod. BR-242","-41.3899993896484","-12.563099861145",NA,NA,NA,"MBM243659","MBM243659",NA,NA,"47385","auto",NA,NA,NA,NA
"8","2020-12-21 16:19:25-03","MBM","MBM","216957","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum","(Ule) L.B.Sm.","Bautista, H.P.",NA,NA,NA,"Bautista, H.P.; et al.; et al.","115","1997","01","04","Southern America","Brazil","Bahia","Mucugê","Unidade de Manejo","-41.3708000183105","-13.0052995681763",NA,NA,NA,"MBM216957","MBM216957",NA,NA,"52493","auto",NA,NA,NA,NA
"9","2011-03-26 10:39:00-03","MO","MOBOT","3014343","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum","(Üle) L.B. Sm.","R. Mello-Silva",NA,NA,NA,"Maria M. Arbo|Renato de Mello-Silva|Joao Vicente","Arbo 5773","1992","11","25","South America","Brazil","Bahia",NA,"Mun. Mucuje. 4 km N de Mucuje, camino a Andarai. Campo rupestre. Suelo arenoso. Entre rocas.","-41.33333","-12.98333",NA,NA,NA,NA,NA,"950.00000000",NA,NA,NA,NA,NA,NA,NA
"10","2014-11-06 16:16:44-02","UFPB","EAN","6867","S","Plantae",NA,"Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum","(Ule) L.B.Simith","M. G. L. Wanderley","1998","08",NA,NA,"4482","1991","10","26",NA,"Brasil","Bahia","Ibicoara",NA,"-41.2847","-13.4106",NA,NA,NA,NA,NA,NA,NA,"34188","auto",NA,NA,NA,NA
