"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","605342","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Platycyamus","regnellii","Platycyamus regnellii","Benth.","G. P. Lewis","J. Cominote","89","1984","04","25","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Estr. da Vista Chinesa, 741 divisa com o terreno do Saad.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=361797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605342","NY00605342_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","605348","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Platycyamus","regnellii","Platycyamus regnellii","Benth.","V. E. Rudd","H. S. Irwin","15699","1966","05","08","South America","Brazil","Distrito Federal","Brasília","Rio Contagem, ca. 35 km. N. of Brasília.","-47.9294","-15.7797","sheet","Field work conducted with the collaboration of the Universidade de Brasília, Instituto Agronômico do Norte, and the Ministério da Agricultura. Supported in part by funds from the National Science Foundation. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=361786' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605348","NY00605348_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01055234","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Platycyamus","regnellii","Platycyamus regnellii","Benth.","F. C. Hoehne","F. C. Hoehne","20043","1927","04","15","South America","Brazil","Minas Gerais",NA,"Paraisopolis","-45.7788581","-22.551461","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179952' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055234","NY01055234_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","605350","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Platycyamus","regnellii","Platycyamus regnellii","Benth.","V. E. Rudd","H. S. Irwin","14021","1966","03","16","South America","Brazil","Distrito Federal","Brasília","Côrrego Landim, ca. 25 km. N. of Brasília, D.F.","-47.9294","-15.7797","sheet","Field work conducted with the collaboration of the Universidade de Brasília, Instituto Agronômico do Norte, and the Ministério da Agricultura. Supported in part by funds from the National Science Foundation. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=361788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605350","NY00605350_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","605349","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Platycyamus","regnellii","Platycyamus regnellii","Benth.","V. E. Rudd","H. S. Irwin","15699","1966","05","08","South America","Brazil","Distrito Federal","Brasília","Rio Contagem, ca. 35 km. N. of Brasília.","-47.9294","-15.7797","sheet","Field work conducted with the collaboration of the Universidade de Brasília, Instituto Agronômico do Norte, and the Ministério da Agricultura. Supported in part by funds from the National Science Foundation. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=361787' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605349","NY00605349_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","605351","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Platycyamus","regnellii","Platycyamus regnellii","Benth.","G. M. Barroso","G. F. J. Pabst","6989","1962","03","06","South America","Brazil","Minas Gerais",NA,"Entre Barbacena e S.Joao del Rey.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=361790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605351","NY00605351_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","605338","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Platycyamus","regnellii","Platycyamus regnellii","Benth.",NA,"G. P. Lewis","2027","1991","10","05","South America","Brazil","Bahia",NA,"Rod BR 101; 2 km N da estrada para Juçari. Mata higrófila sul baiana.","-39.42","-15.17","sheet","Photographs. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=361801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605338","NY00605338_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01096201","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Platycyamus","regnellii","Platycyamus regnellii","Benth.","B. M. Torke","H. C. de Lima","3047","1987","06","30","South America","Brazil","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desedgano, Sossego, Fazenda da Forquilha, próx. ao Rio do Norte.","-41.8333","-21.8833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1234750' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096201","NY01096201_01","350","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01055233","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Platycyamus","regnellii","Platycyamus regnellii","Benth.","H. C. de Lima","M. C. Weyland Vieira","s.n.","1980",NA,NA,"South America","Brazil","Minas Gerais",NA,"Fazenda Lagoa, Monte Belo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179944' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055233","NY01055233_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01055251","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Platycyamus","regnellii","Platycyamus regnellii","Benth.","V. E. Rudd","Z. A. Trinta","694","1964","03","29","South America","Brazil","Minas Gerais","Pouso Alto",NA,"-44.9722","-22.1936","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179955' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055251","NY01055251_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
