"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","scientificNameAuthorship","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2016-09-29 17:23:00-03","NY","NYBG","00567997","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","pseudococos","Syagrus pseudococos","H. Q. B. Fernandes","3080","1992","03","05","South America","Brazil","Espírito Santo","Santa Teresa","Rio Cinco de Novembro.","-40.67","-19.92","550","600","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567997","NY00567997_01 NY00567997_02 NY00567997_03 NY00567997_04 NY00567997_05 NY00567997_06 NY00567997_07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 17:23:00-03","NY","NYBG","00567998","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","pseudococos","Syagrus pseudococos","F. Oliveira","455","1978","09","03","South America","Brazil","Rio de Janeiro","Nova Iguaçú","Jaceruba","-43.4508","-22.7594",NA,NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=690782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567998",NA,"H. Q. B. Fernandes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:44:42-03","EAO","IAN","18234","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Arecaceae","Cocos","mikaniana","Cocos mikaniana","Glaziou, AFM","11638",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN018234","IAN018234_f",NA,"Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:09:29-03","UFBA","ALCB","130056","PreservedSpecimen","Plantae","Dicotyledon",NA,"Arecaceae","Syagrus","pseudococos","Syagrus pseudococos","Noblick, LR; Sacramento, C; Guimaraes, CAL","5706","2017","09","21","Southern America","Brasil","Bahia","Guaratinga","ca. 2 km S of the city on BR-686 (Guaratinga/Caguita) road, near the base of a large granite inselburg.","-39.780278","-16.671111","463","463",NA,"with 6 m × 14 cm trunk. LEAVES ca. 15 in crown, spirally arranged and spreading. INFLORESCENCE with ca. 44 cm long peduncle. Fruits still immature. Old endocarps with a distinctive Chinese cap on the apex of the endocarp.","ALCB047664","ALCB047664 ALCB047664_1 ALCB047664_2 ALCB047664_3 ALCB047664_4 ALCB047664_5","Noblick, LR","(Raddi) Glassman","2017","09","-39.780278","-16.671111",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:45:36-03","NBC","NL-BOTANY","U.1140299","PreservedSpecimen","Plantae",NA,"Arecales","Palmae","Syagrus","pseudococos","Syagrus pseudococos","Glaziou AFM",NA,"1876","10","04","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1140299 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1140299","NL-U1140299",NA,"(Raddi) Glassman",NA,NA,NA,NA,"Magnoliopsidae","U 0045959",NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:00:42-03","ESALQ","ESA","9121","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecaceae","Syagrus","pseudococos","Syagrus pseudococos","Fernandes, H.A.B. et al.","2991.0","1990","06","01",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA009121","ESA009121_1 ESA009121_2","Fernandes, H.A.B.","(Raddi) Glassman",NA,NA,NA,NA,NA,NA,"13709","auto",NA,NA,NA,NA
"7","2021-01-14 15:23:33-03","MN","R","44699","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Cocos","mikaniana","Cocos mikaniana","Glaziou, A.F.M.","11638",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"Herb. J. de Saldanha, 7036(a)","R000044699","R000044699_001",NA,"Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:23:33-03","MN","R","44586","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","pseudococos","Syagrus pseudococos","Glaziou, A.F.M.","11638",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R000044586","R000044586_001","Glassman, S.F.","(Raddi) Glassman","1968","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-07-02 14:42:03-03","JBP","HPL","3278","S","Plantae",NA,NA,"Arecaceae","Syagrus","pseudococos","Syagrus pseudococos","H. Lorenzi","4953","2004","10","14",NA,"Brasil","RJ","Rio de Janeiro","Coletada no Sítio R. Burle Marx.","-43.2075","-22.9028",NA,NA,NA,NA,NA,NA,"H. Lorenzi","(Raddi) Glassm.","2004","10",NA,NA,NA,NA,"57442","auto","14",NA,NA,NA
"10","2016-02-02 14:38:48-02","BGBM","B","B 18 0001164","S","Plantae",NA,NA,"Palmae","Barbosa","pseudococos","Barbosa pseudococos","Schoenlein",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B180001164 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B180001164",NA,"Burret","Becc.","1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-04-27 16:08:46-03","UFES","VIES","5124","S","Plantae",NA,NA,"Arecaceae","Syagrus","pseudococos","Syagrus pseudococos","Fernandes, H.Q.B.; et al.","2991","1990","05","31",NA,"Brasil","Espírito Santo","Ibiraçu","Reserva Particular do Patrimonio Natural.","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005124","VIES005124 VIES005124_1","Fernandes, H.Q.B.","(Raddi) Glassman","1992","02",NA,NA,NA,NA,"13709","auto",NA,NA,NA,NA
"12","2019-09-27 18:03:42-03","UFES","VIES","38773","S","Plantae",NA,NA,"Arecaceae","Syagrus","pseudococos","Syagrus pseudococos","Pena, N.T.L.; Alves-Araújo, A.; Souza, W.O. & Luber, J.","241","2015","05","05",NA,"Brasil","Espírito Santo","Nova Venécia","APA Pedra do Elefante.","-40.4006004333496","-18.710599899292",NA,NA,NA,NA,"VIES038773","VIES038773","Pena, N.T.L.","(Raddi) Glassman","2016","10",NA,NA,NA,NA,"42400","auto","10",NA,NA,NA
