"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","typeStatus","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","02259330","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & Berg","H. S. Irwin","2058","1958","11","10","South America","Brazil","Minas Gerais","Viçosa","State Agricultural School","-42.868031","-20.7613428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2422087' target='other'> <mi>dwc_moreinfo</mi></a>","NY02259330","NY02259330_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:23:05-03","NBC","NL-BOTANY","U 0004508","PreservedSpecimen","Plantae",NA,"Rosales","Moraceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C.Berg","Kuhlmann JG",NA,"1935","11","16","Southern America","Brazil","Minas Gerais",NA,"Represa, Viçosa, Minas",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004508 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004508","NL-U0004508","Magnoliopsidae","Akkermans RWAP","isotype","412332 B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:20:20-03","ESALQ","ESA","68249","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Urticaceae","Coussapoa","floccosa","Coussapoa floccosa","C.C. Berg","Krieger, L. et al.","16299.0","1979","07","28",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,"ESA068249","ESA068249",NA,"Gaglioti, A.L.",NA,NA,"2011","08","02","30417","auto",NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:31:51-03","MN","R","171122","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Coussapoa","flocosa","Coussapoa flocosa","Akkermans & C.C. Berg","Kuhlmann, J.G.","2207","1918","11",NA,NA,"Brasil","Amazonas","Manaus",NA,"-60.0250015258789","-3.10193991661072",NA,"Commissão de Linhas Telegraphicas Estrategias de Mato Grosso ao Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"138090","auto",NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:31:51-03","MN","R","112166","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Coussapoa","flocosa","Coussapoa flocosa","Akkermans & C.C. Berg","Irwin, H.S.","2058","1958","11","10",NA,"Brasil","Minas Gerais","Viçosa",NA,"-42.8819007873535","-20.7539005279541",NA,"Plants of Brasil/Distributed By The University of Texas Herbarium",NA,NA,NA,"Akkermans, R.W.A.P.",NA,NA,"1980",NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:38:37-02","BGBM","B","B 10 0248405","S","Plantae",NA,NA,"Moraceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C.Berg","W. Schwacke","11895","1895","09",NA,"Middle and South America","Brazil",NA,NA,"ad Capolirinba (?) prope Rio Novo.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100248405 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100248405","B100248405",NA,NA,"paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:16:33-03","UFV","VIC","31467","PreservedSpecimen","Plantae",NA,NA,"Cecropiaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C. Berg","Valente, G.E.; Batista, M.L.","1100","2002","12","06",NA,"Brasil","Minas Gerais","Viçosa","BR 120 - Viçosa-Coimbra - Sítio Bom Sucesso, Mata conhecida na região como Mata do Sr. Nico, próximo ao trevo da UFV. Floresta Estacional Semidecidual.","-42.8819007873535","-20.7539005279541",NA,"Árvore, c.a. de 25 metros de altura. Inflorescência pistilada com duas a tr~es cabeças amarelas e parcialemente fundidas. Visitada por pássaros azul-claro conhecidos na região por sanhaço.","VIC031467","VIC031467 VIC031467_1",NA,"Valente, G.E.",NA,NA,"2008","12","06","13937","auto",NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:16:33-03","UFV","VIC","31466","PreservedSpecimen","Plantae",NA,NA,"Cecropiaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C. Berg","Valente, G.E.; Batista, M.L.","1069","2002","09","13",NA,"Brasil","Minas Gerais","Viçosa","BR 120 - Viçosa-Coimbra - Sítio Bom Sucesso, Melhor conhecido como Mata do Sr. Nico, próximo ao trevo da UFV. Floresta Estacional Semidecidual.","-42.8819007873535","-20.7539005279541",NA,"Árvore, c.a. de 25 metros de altura, desprovida de folhas. As folhas velhas que se encontram na exsicata foram coletadas no chão. Gemas apicais volumosas, cobertas de estípulas sob as quais emergem inflorescência e folhas.","VIC031466","VIC031466 VIC031466_1",NA,"Valente, G.E.",NA,NA,"2002","09","13","13937","auto",NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:16:33-03","UFV","VIC","32628","PreservedSpecimen","Plantae",NA,NA,"Cecropiaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C. Berg","Valente, G.E.; et al.","2676","2009","12","17",NA,"Brasil","Minas Gerais","Viçosa","Campus da UFV, Estação de Tratamento de Água. Pastagem atrás da Educação Física.","-42.8819007873535","-20.7539005279541",NA,"Mata-pau, hospedeiro morto, c.a. de 8,0 metros, copa esgalhada, coletada na borda de fragmento de mata próximo ao ETA-UFV. Inflorescência ramifica com cabeças globosas fusionadas e amarelo-alanrajadas quando maduras.","VIC032628","VIC032628",NA,"Valente, G.E.",NA,NA,"2009","12","17","13937","auto",NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:16:33-03","UFV","VIC","30906","PreservedSpecimen","Plantae",NA,NA,"Cecropiaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C. Berg","Teixeira, R.N.C.; et al.","78","2005","08","05",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Propriedade do Senhor Paulo Sick, Fragmento Florestal à 5,0 km do município de Santa Maria de Jetibá. Floresta Ombrófila Densa Montanta.","-40.696111","-20.045417",NA,"Árvore, c.a. de 24 metros de altura, coletada no interior de mata.","VIC030906","VIC030906",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-40.696111","-20.045417",NA,NA,NA,NA
"11","2020-12-20 21:16:33-03","UFV","VIC","31724","PreservedSpecimen","Plantae",NA,NA,"Cecropiaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C. Berg","Souza, P.P. de","218","2007","12","12",NA,"Brasil","Minas Gerais","Viçosa","Sítio Bom Sucesso, Mata do Seu Nico, na borda da mata, na parte alta, beirando a cerca. Floresta Estacional Semidecidual.","-42.84475","-20.795889",NA,"Árvore, c.a. de 14 metros de altura, inflorescência de coloração amarela, estípulas terminal verde clara, recoberta por pequenos tricomas de cor branca, pecíolo recoberto por pequenos tricomas de cor branca, tronco de cor acinzentada,","VIC031724","VIC031724",NA,"Souza, P.P. de",NA,NA,"2008","02","20",NA,NA,"-42.84475","-20.795889",NA,NA,NA,NA
"12","2020-12-20 21:16:33-03","UFV","VIC","31468","PreservedSpecimen","Plantae",NA,NA,"Cecropiaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C. Berg","Valente, G.E.; Batista, M.L.","1420","2003","12","03",NA,"Brasil","Minas Gerais","Viçosa","BR 120 - Viçosa-Coimbra - Sítio Bom Sucesso, Mata do Sr. Nico, próximo ao trevo da UFV. Floresta Estacional Semidecidual.","-42.8819007873535","-20.7539005279541",NA,"Árvore, c.a. de 25 metros de altura. Inflorescência pistilada, com 2 a 3 cabeças parcialmente fundidas, amarelas quando maduras. Visitadas por aves de coloração azul-claras e outras esverdeadas, conhecidas como Sanhaço na região.","VIC031468","VIC031468",NA,"Valente, G.E.",NA,NA,"2008","12","03","13937","auto",NA,NA,NA,NA,NA,NA
"13","2020-12-20 21:16:33-03","UFV","VIC","31465","PreservedSpecimen","Plantae",NA,NA,"Cecropiaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C. Berg","Valente, G.E.; et al.","855","2001","12","12",NA,"Brasil","Minas Gerais","Viçosa","BR 120 - Viçosa-Coimbra - Sítio Bom Sucesso, Próximo ao trevo da UFV; melhor conhecido com Mata do Sr. Nico. Floresta Estacional Semidecidual.","-42.8819007873535","-20.7539005279541",NA,"Árvore, c.a. de 25 metros de altura. Pedúnculo da inflorescência verde e a inflorescência de cor amarela.","VIC031465","VIC031465 VIC031465_1",NA,"Valente, G.E.",NA,NA,"2001","12","12","13937","auto",NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:35:49-03","MBM","MBM","233861","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C. Berg","Spósito, T.C.","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Mariléria","Parque Estadual do Rio Doce",NA,NA,NA,NA,"MBM233861","MBM233861",NA,"Lombardi, J.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2017-03-08 14:22:11-03","MNHN","RECOLNAT_MNHN_P","P06754373","PreservedSpecimen",NA,NA,NA,"Urticaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C.Berg","Schwacke",NA,"1875","9","1",NA,"Brasil",NA,NA,"Brésil. Rio Novo. Brasil, América do Sul",NA,NA,"hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06754373' target='other'> <mi>dwc_moreinfo</mi></a>","P06754373","P06754373_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11895",NA,NA,NA
"16","2020-12-11 11:42:40-03","UFMG","BHCB","17720","PreservedSpecimen","Plantae","Dicotyledon",NA,"Urticaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C.Berg","Costa, LVC; et al.","384",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Caratinga","Estação Biológica de Caratinga","-42.1391983032227","-19.7896995544434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49886","auto",NA,NA,NA,NA,NA,NA
"17","2020-12-11 11:42:40-03","UFMG","BHCB","17605","PreservedSpecimen","Plantae","Dicotyledon",NA,"Urticaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C.Berg","Costa, LVC; et al.","356","1989","11","21","Southern America","Brasil","Minas Gerais","Caratinga","Estação Biológica de Caratinga","-42.1391983032227","-19.7896995544434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49886","auto",NA,NA,NA,NA,NA,NA
"18","2020-12-11 11:42:40-03","UFMG","BHCB","38188","PreservedSpecimen","Plantae","Dicotyledon",NA,"Urticaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C.Berg",NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Caratinga","Estação Biológica de Caratinga","-42.1391983032227","-19.7896995544434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49886","auto",NA,NA,NA,NA,NA,NA
"19","2020-12-11 11:42:40-03","UFMG","BHCB","75339","PreservedSpecimen","Plantae","Dicotyledon",NA,"Urticaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C.Berg","Mourthé, I","s.n.","2002","10","25","Southern America","Brasil","Minas Gerais","Caratinga","Estação Biológica de Caratinga. Mata do Jaó.","-42.1391983032227","-19.7896995544434",NA,"Mata atlântica. PJ 288. Trilha BRJ-2. Arbóreo, flores roxas com anteras amarelas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"49886","auto",NA,NA,NA,NA,NA,NA
"20","2020-12-11 11:42:40-03","UFMG","BHCB","7677","PreservedSpecimen","Plantae","Dicotyledon",NA,"Urticaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C.Berg","Lopes, MA; et al.","875","1985","12","20","Southern America","Brasil","Minas Gerais","Caratinga","Estação Biológica de Caratinga. Mata do Jaó.","-42.1391983032227","-19.7896995544434",NA,"mata atlântica;arbóreo;",NA,NA,NA,NA,NA,NA,NA,NA,NA,"49886","auto",NA,NA,NA,NA,NA,NA
"21","2021-02-11 17:18:29-03","UFPR","UPCB","64096","PreservedSpecimen","Plantae",NA,NA,"Cecropiaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C.Berg","Valente, G.E.","1100","2002","12","06",NA,"Brasil","Minas Gerais","Viçosa","BR 120; Viçosa-Coimbra, mata situada no Sítio Bom Sucesso, melhor conhecida na Região como Mata do Sr. Nico, próximo ao trevo da UFv.","-42.8819007873535","-20.7539005279541",NA,"Árvore ca. 25m, inflorescência pistilada com duas a três cabeças amarelas e parcialmente fundidas, Visitada por pássaro azul-claro conhecidos na região por sanhaço..",NA,NA,NA,"Valente, G.E.",NA,NA,"2008","11","06","13937","auto",NA,NA,NA,NA,NA,NA
"22","2016-12-07 05:17:00-02","MO","MOBOT","3578017","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C. Berg","Jürgen Homeier|M.A. Chinchero|E. Jaramillo|L. Guachamin","Homeier 2927","2007","10","15","South America","Ecuador","Napo",NA,"area of the biological station Jatun Sacha, tropical lowland forest","-77.61666","-1.06666",NA,NA,NA,NA,NA,"C.C. Berg (BG)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA
"23","2020-09-12 05:00:02-03","US","US","2324230","PreservedSpecimen","Plantae",NA,"Urticales","Moraceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C. Berg","H. S. Irwin","2058","1958","11","10","South America - Neotropics","Brazil","Minas Gerais","Viçosa","State Agricultural School","-42.8819007873535","-20.7539005279541",NA,NA,"US01334475","US01334475_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA,"1",NA,NA
"24","2020-09-12 05:00:02-03","US","US","2322831","PreservedSpecimen","Plantae",NA,"Urticales","Moraceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C. Berg","J. G. Kuhlmann","1832","1934","8","31","South America - Neotropics","Brazil","Minas Gerais","Viçosa","ESA","-42.8819007873535","-20.7539005279541",NA,NA,"US01334477","US01334477_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA,"1",NA,NA
