"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","recordNumber","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","previousCatalogNumber","fieldNumber","individualCount"
"1","2021-04-05 14:33:19-03","UNESC","CRI","8772","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","discolor","Vernonanthura discolor","(Spreng.) H.Rob.","Vanilde C. Zanette","2000","05","27","Andressa; Maristela Giasse & Vanilde Citadini Zanette","2000","05","27","Brasil","Santa Catarina","Criciúma","Bairro Santo André.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI001394","CRI001394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:01-03","UNESC","CRI","8120","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","discolor","Vernonanthura discolor","(Spreng.) H.Rob.","Renato Colares","2018","12","10","V. Citadini-Zanette; Marcelo Romagna Pasetto & Telma Elyta V. Azeredo","2008","07","10","Brasil","Santa Catarina","Siderópolis","Barragem do Rio São Bento.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","112","112","CRI001330","CRI001330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:19-03","UNESC","CRI","7968","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","discolor","Vernonanthura discolor","(Spreng.) H.Rob.","Vanilde Citadini- Zanette","2007","08","07","Beatriz Wessler; Bruna Alberton","2007","09","06","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52","CRI001355","CRI001355","Habitat: borda da mata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:19-03","UNESC","CRI","6283","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","discolor","Vernonanthura discolor","(Spreng.) H.Rob.","Vanilde Citadini- Zanette",NA,NA,NA,"R. dos Santos; C. A. Correa & Z. P. Topanotti","1997","09","12","Brasil","Santa Catarina","Criciúma","Primeira Linha.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI001364","CRI001364",NA,"299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:01-03","UNESC","CRI","1024","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","discolor","Vernonanthura discolor","(Spreng.) H.Rob.","Daniel de Barcellos Falkenberg",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","10","31","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI001362","CRI001362",NA,"1302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:19-03","UNESC","CRI","4409","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","discolor","Vernonanthura discolor","(Spreng.) H.Rob.","Vanilde Citadini- Zanette",NA,NA,NA,"Valdemar Boff","1995","10","24","Brasil","Santa Catarina","Urussanga","Belvedere.","-49.321111","-28.518333","49º19'16''W","28º31'6''S","48","48","CRI001369","CRI001369","Habitat: beira da Estrada Habito: arvoreta","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:01-03","UNESC","CRI","86","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","discolor","Vernonanthura discolor","(Spreng.) H.Rob.","Vanilde Citadini- Zanette",NA,NA,NA,"V. Citadini-Zanette; A. Gozçe","1996","09","11","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","112","112","CRI001336","CRI001336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:19-03","UNESC","CRI","6150","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","discolor","Vernonanthura discolor","(Spreng.) H.Rob.",NA,NA,NA,NA,"Vanilde Citadini Zanette","1996","11","01","Brasil","Santa Catarina","Urussanga","Santana.","-49.321111","-28.518333","49º19'16''W","28º31'6''S","48","48","CRI001367","CRI001367",NA,"2486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:19-03","UNESC","CRI","12031","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","discolor","Vernonanthura discolor","(Spreng.) H.Rob.","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Guilherme Lodetti; Robson dos Santos & Peterson Teodoro Padilha","2016","07","28","Brasil","Santa Catarina","Grão Pará",NA,"-49.392222","-28.156389","49º23'32''W","28º9'23''S","450","450","CRI010209","CRI010209","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:19-03","UNESC","CRI","5350","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","discolor","Vernonanthura discolor","(Spreng.) H.Rob.","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1992","10","01","Brasil","Rio Grande do Sul","Torres","Perdida.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","36","36","CRI001368","CRI001368","Habito: arvoreta","2143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
