"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","maximumElevationInMeters","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified"
"1","2016-09-27 19:25:00-03","NY","NYBG","01300218","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","carbonaria","Albizia carbonaria","R. C. Barneby; J. W. Grimes","G. Arbeláez","1419","1986","04","09","South America","Colombia","Quindío","Mun. Armenia, Canada aledana a U.Q.","1530","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1637928' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300218","NY01300218_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01300225","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","carbonaria","Albizia carbonaria","J. G. Ramírez; D. Cárdenas-López","J. G. Ramírez","399","1987","01","25","South America","Colombia","Antioquia","Quebrada La Cristalina, Bh-T/Bmh-T. Sector NE.","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1638043' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300225","NY01300225_01","Britton","San Luis","-74.75","6","770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1801228","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","carbonaria","Albizia carbonaria","L. Sánchez; P. J. Caballero","J. Guillen","96","1996","04","09","South America","Bolivia","Santa Cruz","Hacienda Acuario a 24 km de San Jose de Campamento, camino hacia el empalme a Pico Firme.","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2017570' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801228","NY01801228_01","Britton","José Miguel de Velasco","-61.2428","-15.2461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01300228","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","carbonaria","Albizia carbonaria","R. C. Barneby; J. W. Grimes","J. J. Triana","4450","1851",NA,NA,"South America","Colombia",NA,"Nouvelle-Grenade. Prov. de Bogota. La Mesa","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1640801' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300228","NY01300228_01","Britton",NA,NA,NA,"1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01300215","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","carbonaria","Albizia carbonaria","R. C. Barneby; J. W. Grimes","R. A. Toro","814","1927","12","18","South America","Colombia",NA,"Vicinity of Medellín. Los Micos",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1637748' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300215","NY01300215_01 NY01300215_02","Britton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 05:23:00-03","NY","NYBG","01300220","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","carbonaria","Albizia carbonaria","R. C. Barneby; J. W. Grimes","W. A. Archer","530","1930","08","03","South America","Colombia","Antioquia","Fredonia.","1850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1637937' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300220","NY01300220_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01300226","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","carbonaria","Albizia carbonaria","R. C. Barneby; J. W. Grimes","R. Callejas Posada","8267","1989","09","07","South America","Colombia","Antioquia","Vereda Llanadas, 6-12 km W of Campamento.","1810","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1638037' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300226","NY01300226_01","Britton","Campamento","-75.33","7.08","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 22:06:00-03","NY","NYBG","886234","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","carbonaria","Albizia carbonaria","R. C. Barneby; J. W. Grimes","H. de F. Leitão Filho","359","1968","04","04","South America","Brazil","São Paulo","Fazenda Monte D'Este.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014732' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886234","NY00886234_01",NA,"Campinas","-47.06","-22.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01300224","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","carbonaria","Albizia carbonaria","R. C. Barneby; J. W. Grimes","H. P. Fuchs","22388","1967","02","11","South America","Colombia","Chocó","Area of Báduo, about 35 km. upstream from the estuary, opposite the Village of Aurora.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1638014' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300224","NY01300224_01","Britton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01300217","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","carbonaria","Albizia carbonaria","R. C. Barneby; J. W. Grimes","C. E. Chardón Palacios","139","1926","05","26","South America","Colombia","Antioquia","Hacienda Ampero, near Fredonia",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1637754' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300217","NY01300217_01","Britton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-30 05:23:00-03","NY","NYBG","01300221","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","carbonaria","Albizia carbonaria","R. C. Barneby; J. W. Grimes","W. A. Archer","565","1930","08","31","South America","Colombia",NA,"Titiribi","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1637943' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300221","NY01300221_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01300229","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","carbonaria","Albizia carbonaria","R. C. Barneby; J. W. Grimes","J. J. Triana","4450","1851",NA,NA,"South America","Colombia",NA,"Nouvelle-Grenade. Prov. de Bogota. La Mesa","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1640965' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300229","NY01300229_01","Britton",NA,NA,NA,"1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
