"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","year","month","day","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","class","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","165","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","kleinii","Aechmea kleinii","Reitz","Elton. C. M. Leme","2011","08","Jones Caldas da Silva;","Silvan66","Brasil","Santa Cararina","Corupá","Entre São Bento do Sul e Corupá","-49.2430992126465","-26.4253005981445","23917","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376330","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","kleinii","Aechmea kleinii","Reitz","R. Reitz",NA,NA,"R. Reitz","10143","Brazil","Santa Catarina","Sao José","Serra da Boa Vista, S. José","-48.6272","-27.6156",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362705' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1960","10","13","South America","1000","1000","sheet","NY00376330","NY00376330_01",NA,NA,NA,NA
"3","2020-06-29 11:29:37-03","UFRJ","RFA","34973","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","kleinii","Aechmea kleinii","Reitz","C.M. Vieira",NA,NA,"C.E.G Jamel",NA,"Brasil","Santa Catarina","Paulo Lopes",NA,"-48.6836013793945","-27.9617004394531","23385",NA,"Folhas concolores verdes, bainha amarelada. Brácteas florais avermelhadas, cálice amarelo com ápice avermelhado. Frutos imaturos verdes","auto","1999","09","21",NA,NA,NA,NA,"RFA22502",NA,NA,NA,NA,NA
"4","2020-02-08 10:12:04-03","NBC","NL-BOTANY","L.1429944","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Aechmea","kleinii","Aechmea kleinii","Reitz",NA,NA,NA,"Reitz R; Klein RM",NA,"Brazil",NA,NA,"Santa Catarina, Serra da Boa Vista, S. José.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1429944 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"1960","10","13","Southern America",NA,NA,NA,"NL-L1429944","NL-L1429944","Magnoliopsidae",NA,NA,NA
"5","2019-08-27 13:25:12-03","IAP","PACA-AGP","65331","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliales","Bromeliaceae","Aechmea","kleinii","Aechmea kleinii","Reitz","R. Reitz","1961",NA,"Reitz, R.","1043","Brasil","SC","São José","Serra da Boa Vista","-48.627498626709","-27.6152992248535","12814",NA,"HBR 24906. Habitat: epifita da mata Fenofase: flor amarela Hábito: epífita Ecossistema: MATA","auto","1960","10","13",NA,NA,NA,NA,"PACA065331",NA,"Liliatae",NA,NA,NA
"6","2021-03-01 16:19:02-03","UNICAMP","UEC","198753","S","Plantae","Liliopsida",NA,"Bromeliaceae","Aechmea","kleinii","Aechmea kleinii","Reitz","Romanini, RP","2016","10","Romanini, RP; Martins, SE","403","Brazil","Santa Catarina","Rancho Queimado","Serra da Boa Vista","-49.136111","-27.667778",NA,NA,"Folhas escuras, serrilhadas; bainha mais clara, esbranquiçada com mancha vinosa. Pedúnculo verde claro, brácteas paleáceas; brácteas da espiga esverdeadas com poucas manchas laranja; brácteas florais amarelado-alaranjadas. Flores: sé",NA,"2016","10","24",NA,"995","995",NA,"UEC167162","UEC167162",NA,"24","-49.136111","-27.667778"
"7","2019-11-08 08:50:40-03","FURB","FURB","32131","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","kleinii","Aechmea kleinii","Reitz","Forzza, RC","2015",NA,"Korte, A.; Kniess, A.","4687","Brasil","Santa Catarina","Santo Amaro da Imperatriz","Rio da Nova Descoberta.","-48.7808334","-27.81",NA,NA,NA,NA,"2010","10","20",NA,"558","558",NA,"FURB19143","FURB19143",NA,NA,"-48.7808334","-27.8100000"
"8","2020-12-21 16:19:16-03","MBM","MBM","297703","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","kleinii","Aechmea kleinii","Reitz",NA,NA,NA,"Martinelli, G.; et al.; et al.","14959","Brazil","Santa Catarina",NA,"Caraguatá, Antônio Carlos",NA,NA,NA,NA,NA,NA,"1998","05","16","Southern America",NA,NA,NA,"MBM297703","MBM297703",NA,NA,NA,NA
"9","2020-12-21 16:19:16-03","MBM","MBM","33610","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","kleinii","Aechmea kleinii","Reitz","Reitz, P.R.",NA,NA,"Reitz, R.; Klein, R.M.; Klein, R.M.","10143","Brazil","Santa Catarina","São José","Serra da Boa Vista","-48.627498626709","-27.6152992248535","12814",NA,NA,"auto","1960","10","13","Southern America",NA,NA,NA,"MBM033610","MBM033610",NA,NA,NA,NA
"10","2018-06-22 05:25:00-03","MO","MOBOT","2459190","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","kleinii","Aechmea kleinii","Reitz",NA,NA,NA,"Pe. Raulino Reitz|Roberto M. Klein","Reitz 935","Brazil","Santa Catarina",NA,"Rancho Queimado. Serra da Boa Vista",NA,NA,NA,NA,NA,NA,"1952","8","15","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
