"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","class","order","continentOcean","individualCount"
"1","2021-02-12 18:11:50-03","UFES","VIES","932","S","Plantae","Acanthaceae","Aphelandra","margaritae","Aphelandra margaritae","E.Morren","Chamas, C.","1996","03","19","Santos, G.F.","s.n.","1996","03","19","Brasil","Espírito Santo","Santa Teresa","Nova Lombardia.","-40.6002998352051","-19.9356002807617","23813","VIES000932","VIES000932","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 09:28:57-03","UFRRJ","RBR","1434","S","Plantae","Acanthaceae","Aphelandra","margaritae","Aphelandra margaritae","E.Morren","D.M. Braz","2000","02","22","A. Peixoto",NA,"1985","02","04","Brasil","Espírito Santo","Santa Tereza","Estrada de Santa Tereza a nova Lombardia, sítio do senhor Alcebíades","-40.6002998352051","-19.9356002807617","23813","RBR00001434","RBR00001434","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","19069",NA,"Plantae","Acanthaceae","Aphelandra","margaritae","Aphelandra margaritae","E.Morr.","L. Kollmann/31-05-2005",NA,NA,NA,"R.R. Vervloet; et al","1628","2003","01","07","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-43.846667","-19.987778",NA,"MBML019069","MBML019069",NA,"43W50'48","19S59'16","Planta com 40cm, flores com sépalas verde, pétalas laranja, folhas pilosas de cor verde escuro com traços brancos, meia encosta, dossel 16m, altitude 820m.",NA,NA,NA,NA,NA,NA
"4","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","1755",NA,"Plantae","Acanthaceae","Aphelandra","margaritae","Aphelandra margaritae","E.Morr.",NA,NA,NA,NA,"W. Boone","626","1985","08","06","Brasil","Espírito Santo","Santa Teresa","Nova Lombardia","-40.510556","-19.823611",NA,"MBML001755","MBML001755",NA,"40W30'38","19S49'25","Erva alvo-pilosa, folha roxa inferiormente, flores alaranjadas, brácteas verdes com bordos escurecidos.",NA,NA,NA,NA,NA,NA
"5","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","11442",NA,"Plantae","Acanthaceae","Aphelandra","margaritae","Aphelandra margaritae","E.Morr.","L. Kollmann/05-12-2001",NA,NA,NA,"V. Demuner; et al","529","2000","01","13","Brasil","Espírito Santo","Santa Teresa","Mata Fria","-40.683333","-19.931111",NA,"MBML011442","MBML011442",NA,"40W41'0","19S55'52","Herbácea 30cm, flores laranjadas, folha bicolor, face dorsal rosada, face ventral de cor verde, com listras branca.",NA,NA,NA,NA,NA,NA
"6","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","1148",NA,"Plantae","Acanthaceae","Aphelandra","margaritae","Aphelandra margaritae","E.Morr.",NA,NA,NA,NA,"W. Pizziolo","297","1986","03","07","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha","-40.576944","-19.963056",NA,"MBML001148","MBML001148",NA,"40W34'37","19S57'47","Erva, folha vinho inferiormente e verde com estrias brancas acompanhando as nervuras secundárias, brácteas verdes com ápice vinho, corola laranja, semi-sombra, mata.",NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","11961",NA,"Plantae","Acanthaceae","Aphelandra","margaritae","Aphelandra margaritae","E.Morr.",NA,NA,NA,NA,"Cintia C. Chamas; et al","129","1994","03","19","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"MBML011961","MBML011961",NA,"40W31'49","19S58'17","Folha verde com riscos brancos, bractea floral verdes, flor laranja, sombra, serrapilheira.",NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","12436",NA,"Plantae","Acanthaceae","Aphelandra","margaritae","Aphelandra margaritae","E.Morr.","L. Kollmann/05-12-2001",NA,NA,NA,"L. Kollmann; et al","2896","2000","04","28","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"MBML012436","MBML012436",NA,"40W31'49","19S58'17","Mata de encosta. Planta 30cm. Folhas avermelhadas por baixo, verdes escuras por cima. Bracteas verde. Flores laranjas.",NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","12468",NA,"Plantae","Acanthaceae","Aphelandra","margaritae","Aphelandra margaritae","E.Morr.","L. Kollmann/05-12-2001",NA,NA,NA,"V. Demuner; et al","983","2000","05","04","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"MBML012468","MBML012468",NA,"40W31'49","19S58'17","Subarbusto 30cm, bracteas verde, flores laranja, folha face dorsal de cor verde claro, face ventral escuro com listras brancas.",NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","12469",NA,"Plantae","Acanthaceae","Aphelandra","margaritae","Aphelandra margaritae","E.Morr.","L. Kollmann/05-12-2001",NA,NA,NA,"V. Demuner; et al","982","2000","05","04","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"MBML012469","MBML012469",NA,"40W31'49","19S58'17","Subarbusto 30cm, bracteas verde, flores laranja, folha face dorsal verde claro, face ventral verde escuro, sem listras.",NA,NA,NA,NA,NA,NA
"11","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","12470",NA,"Plantae","Acanthaceae","Aphelandra","margaritae","Aphelandra margaritae","E.Morr.","L. Kollmann/05-12-2001",NA,NA,NA,"V. Demuner; et al","981","2000","05","04","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"MBML012470","MBML012470",NA,"40W31'49","19S58'17","Subarbusto 30 cm, bracteas verde, flores laranja, folha face dorsal de cor vinho, face ventral verde escuro co pequenas listas brancas.",NA,NA,NA,NA,NA,NA
