"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","608750","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","brasiliense","Protium brasiliense","(Spreng.) Engl.","D. C. Daly","D. S. D. de Araújo","9683","1992","11","30","South America","Brazil","Rio de Janeiro","Angra dos Reis","Ilha Grande, Reserva Biológica Estadual da Praia do Sul","-44.28","-23.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=390112' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608750","NY00608750_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","608753","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","brasiliense","Protium brasiliense","(Spreng.) Engl.","D. C. Daly","R. M. Harley","25472","1988","10","31","South America","Brazil","Minas Gerais","Diamantina","Estrada para Mendanha a 15km de Diamantina","-43.5","-18.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=390108' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608753","NY00608753_01","1200","1225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","929411","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","brasiliense","Protium brasiliense subacuminatum","Engl.","D. C. Daly","W. R. Anderson","35993","1972","02","14","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 5 km SSE of Pico do Itambé","-43.3919444","-18.43185","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048017' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929411","NY00929411_01","1140","1140","subacuminatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","929420","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","brasiliense","Protium brasiliense","(Spreng.) Engl.",NA,"P. M. Andrade","s.n.","1990","10","01","South America","Brazil","Minas Gerais","Nova Lima","Res. Biol. Mata do Jambeiro.","-43.8467","-19.9858","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929420","NY00929420_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","608741","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","brasiliense","Protium brasiliense","(Spreng.) Engl.","D. C. Daly","D. A. Folli","2042","1993","10","14","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD, Linhares Esp Santo Est. Gavea, ant. X-2, na area Bloco C. P. Sust. L. dir","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=390109' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608741","NY00608741_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02375162","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","brasiliense","Protium brasiliense subacuminatum","Engl.","D. C. Daly","G. Gardner","4492","1836",NA,NA,"South America","Brazil","Minas Gerais",NA,"Diamond District",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573456' target='other'> <mi>dwc_moreinfo</mi></a>","NY02375162","NY02375162_01",NA,NA,"subacuminatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 12:13:00-03","NY","NYBG","608748","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","brasiliense","Protium brasiliense",NA,"J. R. Pirani","D. S. D. de Araújo","10159","1994","11","20","South America","Brazil","Rio de Janeiro","Macaé","Lagomar","-41.7867","-22.3708","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=390118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608748","NY00608748_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 22:30:00-03","NY","NYBG","984986","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","brasiliense","Protium brasiliense",NA,"J. J. Swart","P. Clausen","1529","1841",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00984986","NY00984986_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 12:13:00-03","NY","NYBG","608742","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","brasiliense","Protium brasiliense",NA,"D. C. Daly","P. P. de Oliveira","707","1997","12","10","South America","Brazil","Rio de Janeiro",NA,"Reserva Biológica Uniao, Rio das Ostras. Trilha 12",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=390115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608742","NY00608742_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 22:25:00-03","NY","NYBG","929425","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","brasiliense","Protium brasiliense",NA,"J. J. Swart","P. Clausen","1529","1841",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929425","NY00929425_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
