"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","414786","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","E. de C. Smidt","L. B. Smith","14852","1965","01","19","South America","Brazil","Paraná","Sengés","Fazenda Morungava, rio Funil","-49.37","-24.13","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=44050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414786","NY00414786_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","414787","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","E. de C. Smidt","P. K. H. Dusén","16477","1915","01","23","South America","Brazil","Paraná","Sengés","Paraná, Morungava","-49.4633","-24.1131",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=44049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414787","NY00414787_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","6642","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","Pabst, G.F.","Amaral Jr., A.","1377","1973","01","15",NA,"Brasil","São Paulo","Botucatu","À margem do Rio Pardo, próximo à represa de abastecimento de água da Prefeitura de Botucatu",NA,NA,NA,NA,NA,NA,"BOTU006642",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:27-03","UFRJ","RFA","10779","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","Eric C. Smidt","G.G. Hatschbach","12324","1965","01","19",NA,"Brasil","Paraná","Sengés","Fazenda Morungava, Rio do Funil","-49.4636001586914","-24.1128005981445",NA,NA,NA,"Epífita. Flor alvescente com maculas punctiformes vinosas, labelo vinoso","RFA31547",NA,NA,NA,"55682","auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1492445","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f.","Smidt EC","Hatschbach GG; Smith LB; Klein RM",NA,"1965","01","19","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1492445 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1492445","NL-L1492445",NA,NA,NA,NA,"Magnoliopsidae","2006","03","01","L 0627961",NA,NA
"6","2019-08-20 10:00:33-03","UNICAMP","UEC","117393","S","Plantae","Liliopsida",NA,"Orchidaceae","Bulbophyllum","punctatum","Bulbophyllum punctatum","Barb.Rodr.","Pansarin, ER","Pansarin, ER","730","2001","01","05",NA,"Brazil","São Paulo","Jundiaí","Serra do Japi, Sentido Bairro Eloy Chaves, próximo à represa do DAE.","-46.8800010681152","-23.1800003051758",NA,NA,NA,NA,"UEC064681","UEC064681",NA,NA,"17840","auto",NA,"2001","02",NA,NA,NA,NA
"7","2020-12-21 16:38:16-03","MBM","MBM","253365","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","et al.; Mancinelli, W.S.","Dusén, P.","16477","1915","01","23","Southern America","Brazil","Paraná","Ponta Grossa","Morungava","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"MBM253365",NA,NA,NA,"46557","auto",NA,"2010",NA,NA,NA,NA,NA
"8","2020-12-21 16:38:16-03","MBM","MBM","49078","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","Smidt, E.C.","Hatschbach, G.; et al.; et al.","12324","1965","01","19","Southern America","Brazil","Paraná","Sengés","Fazenda Morungava, Rio do Funil","-49.4636001586914","-24.1128005981445",NA,NA,NA,"Epífita do cerrado. Flor alvecente com máculas punctiformes vinosa, labelo vinoso","MBM049078","MBM049078",NA,NA,"55682","auto",NA,"2007","08",NA,NA,NA,NA
"9","2016-01-07 18:14:26-02","MNHN","RECOLNAT_MNHN_P","P00419842","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","Smidt","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brésil",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00419842' target='other'> <mi>dwc_moreinfo</mi></a>","P00419842","P00419842_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11617",NA
"10","2015-09-03 20:02:39-03","MNHN","RECOLNAT_MNHN_P","P00419858","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","Smidt","Smith, L.B.|Klein, R.M.|Hatschbach, G.",NA,"1965","1","19",NA,"Brésil",NA,NA,"Parana : Mun. Denges, Fazenda Morungava, Rio Funil","-49.36667","-24.13333","800",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00419858' target='other'> <mi>dwc_moreinfo</mi></a>","P00419858","P00419858_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14852",NA
