"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:24:52-03","UNESC","CRI","10980","PreservedSpecimen","Plantae","Arecaceae","Syagrus","romanzoffiana","Syagrus romanzoffiana","(Cham.) Glassman","Guilherme Alves Elias","2015","04","11","Guilherme Alves Elias","9","2015","04","11","Brasil","Santa Catarina","Orleans","Parque Estadual Serra Furada.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","500","500","Floresta Ombrófila Densa Montana","CRI000664","CRI000664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:52-03","UNESC","CRI","7890","PreservedSpecimen","Plantae","Arecaceae","Syagrus","romanzoffiana","Syagrus romanzoffiana","(Cham.) Glassman","Vanilde Citadini- Zanette","2008","04","20","Jean Gabriel Cemin",NA,"2008","01","30","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","9","9",NA,"CRI000665","CRI000665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:13-03","UNESC","CRI","11566","PreservedSpecimen","Plantae","Arecaceae","Syagrus","romanzoffiana","Syagrus romanzoffiana","(Cham.) Glassman","Guilherme Alves Elias","2015","12","19","Guilherme Alves Elias; Robson dos Santos & Peterson T. Padilha","2","2015","12","19","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.670556","-26.071667","48º40'14''W","26º4'18''S","10","10","Floresta Ombrófila Densa de Terras Baixas","CRI008735","CRI008735_1 CRI008735_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00568095","PreservedSpecimen","Plantae","Arecaceae","Arecastrum","romanzoffianum","Arecastrum romanzoffianum","(Cham.) Becc.","L. R. Noblick",NA,NA,NA,"S. A. Mori","11324","1978","11","22","Brazil","Bahia","Barra do Choça","Estrada que liga Barra da Choça com Roda de Agua, a 3 - 6 km a E de Barra da Choça.","-40.57","-14.88",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=641478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568095","NY00568095_01","Magnoliophyta","Arecales","South America","separate fruit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 14:03:00-03","NY","NYBG","00568338","PreservedSpecimen","Plantae","Arecaceae","Syagrus","comosa","Syagrus comosa",NA,"L. R. Noblick",NA,NA,NA,"E. P. Heringer","11447","1967","04","18","Brazil","Goiás","Formosa","Rio Tiquiri.","-47.3342","-15.5372",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568338","NY00568338_01","Magnoliophyta","Arecales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00567972","PreservedSpecimen","Plantae","Arecaceae","Syagrus","comosa","Syagrus comosa","(Mart.) Mart.","L. R. Noblick",NA,NA,NA,"G. T. Prance","1303","1965","09","12","Brazil","Pará","Portel","10 km. east of Portel.","-50.7265523","-1.94071",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567972","NY00567972_01 NY00567972_02","Magnoliophyta","Arecales","South America","packeted",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-28 14:03:00-03","NY","NYBG","00567974","PreservedSpecimen","Plantae","Arecaceae","Syagrus","comosa","Syagrus comosa",NA,NA,NA,NA,NA,"L. R. Noblick","4859","1992","05","04","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpia, ca. 20 Km SSW of the city of Brasília. Ecological Reserve of the Universidade da Brasília.","-47.95","-15.95",NA,NA,"1100","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83922' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567974","NY00567974_01 NY00567974_02 NY00567974_03 NY00567974_04 NY00567974_05","Magnoliophyta","Arecales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00664310","PreservedSpecimen","Plantae","Arecaceae","Syagrus","comosa","Syagrus comosa","(Mart.) Mart.","A. J. Henderson",NA,NA,NA,"M. J. Balick","1344","1981","12","04","Brazil","Maranhão","Balsas","Along road, ca. 25 km West of Balsas, Fazenda of Sr. Damion.","-46.0356","-7.5325",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83919' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664310","NY00664310_01 NY00664310_02 NY00664310_03 NY00664310_04 NY00664310_05 NY00664310_06","Magnoliophyta","Arecales","South America","boxed",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00664085","PreservedSpecimen","Plantae","Arecaceae","Syagrus","comosa","Syagrus comosa","(Mart.) Mart.","L. R. Noblick",NA,NA,NA,"H. S. Irwin","6525","1964","10","01","Brazil","Mato Grosso",NA,"Vecinity of Garapú, Mato Grosso. ca. 1 km N.E. of Garapú.","-52.57","-13.2",NA,NA,"300","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664085","NY00664085_01","Magnoliophyta","Arecales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00664071","PreservedSpecimen","Plantae","Arecaceae","Syagrus","comosa","Syagrus comosa","(Mart.) Mart.","L. R. Noblick",NA,NA,NA,"H. S. Irwin","15965","1966","05","24","Brazil","Mato Grosso","Água Boa","Serra do Roncador. Wet campo, ca. 60 km. N. of Xavantina.","-52.1583","-14.0503",NA,NA,"5500","5500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664071","NY00664071_01","Magnoliophyta","Arecales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00567929","PreservedSpecimen","Plantae","Arecaceae","Syagrus","comosa","Syagrus comosa","(Mart.) Mart.","H. E. Moore",NA,NA,NA,"H. S. Irwin","6525","1964","10","01","Brazil","Mato Grosso",NA,"Vecinity of Garapú, Mato Grosso. ca. 1 km N.E. of Garapú.","-52.57","-13.2",NA,NA,"300","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=262281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567929","NY00567929_01","Magnoliophyta","Arecales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00664075","PreservedSpecimen","Plantae","Arecaceae","Syagrus","comosa","Syagrus comosa","(Mart.) Mart.","L. R. Noblick",NA,NA,NA,"H. S. Irwin","13655","1966","03","06","Brazil","Goiás","Cristalina","Serra dos Cristais. ca. 8 km. S. of Cristalina.","-47.6133","-16.7686",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664075","NY00664075_01","Magnoliophyta","Arecales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00664072","PreservedSpecimen","Plantae","Arecaceae","Syagrus","comosa","Syagrus comosa","(Mart.) Mart.","L. R. Noblick",NA,NA,NA,"H. S. Irwin","15965","1966","05","24","Brazil","Mato Grosso","Água Boa","Serra do Roncador. Wet campo, ca. 60 km. N. of Xavantina.","-52.1583","-14.0503",NA,NA,"5500","5500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00664072","NY00664072_01","Magnoliophyta","Arecales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-28 14:03:00-03","NY","NYBG","00567920","PreservedSpecimen","Plantae","Arecaceae","Syagrus","comosa","Syagrus comosa",NA,"L. R. Noblick",NA,NA,NA,"E. P. Heringer","89251119","1962","04","10","Brazil","Distrito Federal","Brasília","Barragem do Paranoá, Brasília, DF","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83918' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567920","NY00567920_01","Magnoliophyta","Arecales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00567922","PreservedSpecimen","Plantae","Arecaceae","Syagrus","comosa","Syagrus comosa","(Mart.) Mart.","L. R. Noblick",NA,NA,NA,"G. T. Prance","19288","1973","10","22","Brazil","Mato Grosso","Cuiabá","Road Buriti to Cuiba; rocky escarpment of Chapada dos Guimaraes.","-56.0967","-15.5961",NA,NA,"720","720","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567922","NY00567922_01","Magnoliophyta","Arecales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01281552","PreservedSpecimen","Plantae","Arecaceae","Syagrus","comosa","Syagrus comosa","(Mart.) Mart.",NA,NA,NA,NA,"E. da S. Leal","289","2010","08","05","Brazil","Pará",NA,"São Geraldo do Araguaia. Serra das Andorinhas, Alto Colina, próximo estrada para Santa Cruz do Araguaia.","-48.4633","-6.235",NA,NA,"410",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1712007' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281552","NY01281552_01 NY01281552_02 NY01281552_03 NY01281552_04 NY01281552_05 NY01281552_06 NY01281552_07 NY01281552_08 NY01281552_09 NY01281552_10 NY01281552_11 NY01281552_12","Magnoliophyta","Arecales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00568342","PreservedSpecimen","Plantae","Arecaceae","Syagrus","comosa","Syagrus comosa","(Mart.) Mart.","M. Moraes Ramírez",NA,NA,NA,"M. Saldías Paz","3462","1993","10","06","Bolivia","Santa Cruz","José Miguel de Velasco","Parque Nacional Noel Kempff M. Las Gamas; 2 km NW del campamento viejo de narcotráfico.","-60.77","-14.67",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568342","NY00568342_01","Magnoliophyta","Arecales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
