"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","typeStatus","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","eventTime","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","3909996","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","R.Romero","F. Almeda","8478","2001","10","14","South America","Brazil","Minas Gerais","Diamantina","Cachoeira Sentinela off of the road to Biribiri.","-43.61888123","-18.18278122","1108","1108","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451343' target='other'> <mi>dwc_moreinfo</mi></a>","NY03909996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1365191","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","R.Romero","A. P. Duarte","7858","1963","01","11","South America","Brazil","Minas Gerais",NA,"Diamantina, subida para e cruzeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1708926' target='other'> <mi>dwc_moreinfo</mi></a>","NY01365191","paratype","NY01365191_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1365192","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","R.Romero","H. S. Irwin","22198","1969","01","19","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, 12 km S.W. of Diamantina.",NA,NA,"1370",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1708910' target='other'> <mi>dwc_moreinfo</mi></a>","NY01365192","paratype","NY01365192_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:44:42-03","EAO","IAN","94302","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn.","Glaziou, AFM","19206",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN094302","isoparatipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:38:33-02","BGBM","B","B 10 0244614","S","Plantae",NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R.Romero","H. S. Irwin, R. Reis dos Santos, R. Souza & S. F. da Fonseca","22161","1969","01","18","Middle and South America","Brazil",NA,NA,"Estado de Minas Gerais, Serra do Espinhaço; locally common in wet places; rocky slopes with soil-filled pockets and crevices, ca. 12 km S.W. of Diamantina. ca. 12 km S.W. of Diamantina.",NA,NA,"1370","1370",NA,"Habitat: rocky slopes with soil-filled pockets and crevices. The New York Botanical Garden, Plants of the Planalto do Brasil <a href=http://herbarium.bgbm.org/object/B100244614 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100244614","paratype","B100244614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:38:33-02","BGBM","B","B 10 0244615","S","Plantae",NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R.Romero","H. S. Irwin, R. Reis dos Santos, R. Souza & S. F. da Fonseca","22161","1969","01","18","Middle and South America","Brazil",NA,NA,"Planalto do Brasil; locally common in wet places; rocky slopes with soil-filled pockets and crevices, ca. 12 km S.W. of Diamantina.",NA,NA,"1370","1370",NA,"The New York Botanical Garden, Plants of the Planalto do Brasil; Microlicia amplexicaulis Cogn. <a href=http://herbarium.bgbm.org/object/B100244615 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100244615","paratype","B100244615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:19:40-03","UNICAMP","UEC","126148","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn.","Mello Barreto, HL","9623","1937","11","08",NA,"Brazil","Minas Gerais","Diamantina","Sentinela","-43.6002998352051","-18.2493991851807",NA,NA,NA,"flor, Arbusto de 1,5 m. Flor rósea. Freqüente. Junto à pedras. (F. Markgraf - Jard. Bot. Berlim-Dahlem).",NA,NA,NA,"Markgraf, F","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-06 09:56:30-03","UFOP","OUPR","8799","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R.Romero","s.col.","s.n.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romero, R.",NA,NA,"2003","01",NA,NA,NA,NA,NA,NA
"9","2014-10-14 15:56:55-03","BS","M","M-0165719","S","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R.Romero","Souza, R.",NA,"1969","01","17",NA,"Brasil",NA,NA,"Minas Geraes: Serra do Espinhaço, ca. 12 km SW of Diamantina",NA,NA,NA,NA,NA,NA,"M0165719","PARATYPE",NA,NA,NA,NA,NA,NA,"Magnoliopsida","21:00",NA,NA,NA,NA
"10","2015-10-26 08:48:26-02","MNHN","RECOLNAT_MNHN_P","P05316225","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R. Romero","Glaziou, A.",NA,"1892","4","4",NA,"Brésil",NA,NA,"Serra de Cristaes près de Diamantina (Minas)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316225' target='other'> <mi>dwc_moreinfo</mi></a>","P05316225","paratype","P05316225_01 P05316225_02","Romero",NA,NA,NA,NA,NA,NA,"19207",NA,NA,NA
"11","2015-10-26 08:49:07-02","MNHN","RECOLNAT_MNHN_P","P05316226","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R. Romero","Glaziou, A.",NA,"1892","4","4",NA,"Brésil",NA,NA,"Serra de Cristaes près de Diamantina (Minas)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316226' target='other'> <mi>dwc_moreinfo</mi></a>","P05316226","paratype","P05316226_01 P05316226_02","Romero",NA,NA,NA,NA,NA,NA,"19207",NA,NA,NA
"12","2015-09-04 20:14:25-03","MNHN","RECOLNAT_MNHN_P","P05316227","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R. Romero","Glaziou, A.",NA,"1892","4","4",NA,"Brésil",NA,NA,"Serra de Cristaes près de Diamantina (Minas)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316227' target='other'> <mi>dwc_moreinfo</mi></a>","P05316227","paratype","P05316227_01 P05316227_02","Romero",NA,NA,NA,NA,NA,NA,"19207",NA,NA,NA
"13","2015-09-04 20:14:25-03","MNHN","RECOLNAT_MNHN_P","P05316228","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R. Romero","Glaziou, A.",NA,"1892","4","4",NA,"Brésil",NA,NA,"Serra de Cristaes près de Diamantina (Minas)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316228' target='other'> <mi>dwc_moreinfo</mi></a>","P05316228","paratype","P05316228_01 P05316228_02","Romero",NA,NA,NA,NA,NA,NA,"19206",NA,NA,NA
"14","2015-10-26 08:50:05-02","MNHN","RECOLNAT_MNHN_P","P05316229","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R. Romero","Glaziou, A.",NA,"1892","4","4",NA,"Brésil",NA,NA,"Serra de Cristaes près de Diamantina (Minas)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316229' target='other'> <mi>dwc_moreinfo</mi></a>","P05316229","paratype","P05316229_01 P05316229_02","Romero",NA,NA,NA,NA,NA,NA,"19206",NA,NA,NA
