"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","coordinatePrecision","geoFlag","class","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","3910162","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","melanostagma","Microlicia melanostagma","Pilg.","F. Almeda","9427","2009","02","19","South America","Brazil","Goiás","Alto Paraiso","Turnoff at Km 12 from main road to Parque Nacional Chapada dos Veadeiros, about 1-3 km on this road to the Santuario do Vale Dourado and to Serra da Boa Vista.","-47.63015","-14.16562","1145","1145","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451452' target='other'> <mi>dwc_moreinfo</mi></a>","NY03910162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1551890","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","melanostagma","Microlicia melanostagma","Pilg.","E. P. Heringer","8149/343","1961","03","10","South America","Brazil","Distrito Federal","Brasília","Saia Velha","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1415717' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551890","R. Romero","NY01551890_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1582706","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","melanostagma","Microlicia melanostagma","Pilg.","A. F. M. Glaziou","s.n. [=21230]","1895","01","05","South America","Brazil","Goiás",NA,"Cachoeira da Vergem Grande",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1156003' target='other'> <mi>dwc_moreinfo</mi></a>","NY01582706",NA,"NY01582706_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:34:56-03","UNICAMP","UEC","175780","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","melanostagma","Microlicia melanostagma","Pilg.","Almeda, F; Martins, AB; Fritsch, PW","9427","2009","02","19",NA,"Brazil","Goiás","Alto Paraíso de Goiás","Turnoff at Km 12 from main road to Parque Nacional Chapada dos Veadeiros, about 1-3 km on this road to Santuario do Vale Dourado and to Serra de Boa Vista.","-48.050417","-14.282278","1145","1145",NA,"Suffrutescent herb to 2 dm tall. Petals pink with a darker red margin on outer side. Filaments and large anthers red. Small anthers and appendages yellow. Locally common.; Cerrado vegetation with open grassy areas.","UEC023262","Versiane, AFA","UEC023262",NA,"2016","03","-48.050417","-14.282278",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:34:56-03","UNICAMP","UEC","170254","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","melanostagma","Microlicia melanostagma","Pilg.","Almeda, F; Martins, AB; Fritsch, PW; Aranha, JLM; Bush, C; Belinello, R","9465","2009","02","21",NA,"Brazil","Goiás","Alto Paraíso de Goiás","About 24 km beyond Alto Paraíso de Goiás on the road to São Jorge.","-48.211028","-14.236889","1203","1203",NA,"Petals pink on adaxial side and pink on abaxial side with a darker pink band on one side. Large anthers red with an elongate whitish rostrum and a ventrally inclined pore. Small anthers and appendages yellow. Uncommon.; Disturbed cerra","UEC010510","Versiane, AFA","UEC010510",NA,"2015","07","-48.211028","-14.236889","15",NA,NA,NA,NA,NA,NA
"6","2015-10-30 21:47:51-02","MNHN","RECOLNAT_MNHN_P","P02297663","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","melanostagma","Microlicia melanostagma","Pilg.","Glaziou, A.",NA,"1895","1","11",NA,"Brésil",NA,NA,"Chapadao dos Veadeiros (Goyaz)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02297663' target='other'> <mi>dwc_moreinfo</mi></a>","P02297663","Romero","P02297663_01","isotype",NA,NA,NA,NA,NA,"21230",NA,NA,NA,NA,NA
"7","2015-10-30 21:49:19-02","MNHN","RECOLNAT_MNHN_P","P02297664","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","melanostagma","Microlicia melanostagma","Pilg.","Glaziou, A.",NA,"1895","1","11",NA,"Brésil",NA,NA,"Chapadao dos Veadeiros (Goyaz)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02297664' target='other'> <mi>dwc_moreinfo</mi></a>","P02297664","Romero","P02297664_01","isotype",NA,NA,NA,NA,NA,"21230",NA,NA,NA,NA,NA
"8","2015-09-04 21:05:23-03","MNHN","RECOLNAT_MNHN_P","P05316827","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","melanostagma","Microlicia melanostagma","Pilg.","Glaziou, A.",NA,"1895","1","14",NA,"Brasil",NA,NA,"Brésil (Goyaz) Fazenda da Boa Vista. Brasil, América do Sul",NA,NA,NA,NA,"hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316827' target='other'> <mi>dwc_moreinfo</mi></a>","P05316827",NA,"P05316827_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-04 21:05:23-03","MNHN","RECOLNAT_MNHN_P","P05316828","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","melanostagma","Microlicia melanostagma","Pilg.","Glaziou, A.",NA,"1895","1","5",NA,"Brasil",NA,NA,"Brésil (Goyaz) Caxoeira da Vargem Grande, prés de [Os Porcos]. Brasil, América do Sul",NA,NA,NA,NA,"hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316828' target='other'> <mi>dwc_moreinfo</mi></a>","P05316828",NA,"P05316828_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-09-04 21:05:23-03","MNHN","RECOLNAT_MNHN_P","P05316829","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","melanostagma","Microlicia melanostagma","Pilg.","Glaziou, A.",NA,"1895","1","5",NA,"Brasil",NA,NA,"Brésil (Goyaz) Caxoeira da Vargem Grande, près du Os Porcos. Brasil, América do Sul",NA,NA,NA,NA,"hb",". s.d. Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316829' target='other'> <mi>dwc_moreinfo</mi></a>","P05316829",NA,"P05316829_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
