"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","previousCatalogNumber","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","663626","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acmella","uliginosa","Acmella uliginosa","(Sw.) Cass.","R. K. Jansen","P. K. H. Dusén","14198","1912","10","16","South America","Brazil","São Paulo","Santos","Santos","-46.343102","-23.950077","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501576' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663626","NY00663626_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","663638","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acmella","uliginosa","Acmella uliginosa","(Sw.) Cass.","J. F. Puski; V. A. Funk","L. J. Gillespie","2630","1989","12","08","South America","Guyana","Demerara-Mahaica",NA,"Near Soesdyke","-58.22","7.55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501557' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 14:09:00-03","NY","NYBG","663628","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acmella","uliginosa","Acmella uliginosa",NA,"R. K. Jansen","J. S. Blanchet",NA,"1931",NA,NA,"South America","Brazil","Bahia",NA,"In Brasilia tropica circa Bahia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663628","NY00663628_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 01:37:00-03","NY","NYBG","1145748","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acmella","uliginosa","Acmella uliginosa",NA,"R. K. Jansen","G. Gardner","1746",NA,NA,NA,"South America","Brazil","Ceará",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1321826' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145748","NY01145748_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","663635","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acmella","uliginosa","Acmella uliginosa","(Sw.) Cass.","J. F. Pruski","J. Rosales","315","1989","07","11","South America","Venezuela","Bolívar",NA,"Mun. aut. Piar. Mun. for. Pedro Cova. Nueva Vigía adyacente a embalse de Guri","-62.6","7.35","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501558' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663635",NA,"270","270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","663633","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acmella","uliginosa","Acmella uliginosa","(Sw.) Cass.","R. K. Jansen","R. M. Harley","15505","1974","01","25","South America","Brazil","Bahia","Rio de Contas","About 2km. N. of the town of Rio de Contas in flood plain of the Rio Brumado","-41.83","-13.58","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663633","NY00663633_01","980","980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","663630","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acmella","uliginosa","Acmella uliginosa","(Sw.) Cass.",NA,"R. M. Harley","21979","1980","05","01","South America","Brazil","Bahia",NA,"5 km. to the N. of Tabocas, which is 10 km. N.W. of Serra Dourada. E3","-44.03","-12.65","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501575' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663630","NY00663630_01","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 14:09:00-03","NY","NYBG","663631","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acmella","uliginosa","Acmella uliginosa",NA,"R. K. Jansen","G. Gardner","70","1836","08",NA,"South America","Brazil","Rio de Janeiro",NA,"Near Rio",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663631","NY00663631_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 14:09:00-03","NY","NYBG","663637","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acmella","uliginosa","Acmella uliginosa",NA,"R. K. Jansen","J. Steinbach","1219","1915","04","24","South America","Bolivia","Santa Cruz",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501578' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663637",NA,"450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 14:09:00-03","NY","NYBG","663627","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acmella","uliginosa","Acmella uliginosa",NA,"R. K. Jansen","A. F. M. Glaziou","5920","1872","08","31","South America","Brazil","Rio de Janeiro",NA,"Sao Christorao",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501562' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663627","NY00663627_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","663629","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acmella","uliginosa","Acmella uliginosa","(Sw.) Cass.","R. K. Jansen","G. Gardner","70","1836","08",NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","Prope Rio Janeiro","-43.448386","-22.913514","sheet","Comm. am. Shuttleworth 1838 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501564' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663629","NY00663629_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","663632","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acmella","uliginosa","Acmella uliginosa","(Sw.) Cass.","R. K. Jansen","G. Gardner","70","1836",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663632","NY00663632_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 14:09:00-03","NY","NYBG","663636","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acmella","uliginosa","Acmella uliginosa",NA,"I. Sánchez","R. Callejas Posada","906","1978","10","25","South America","Colombia",NA,NA,"Alto de Matasano, a orilla de carretera",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=501560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663636",NA,"2000","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00952112","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Acmella","uliginosa","Acmella uliginosa","(Sw.) Cass.","S. A. Mori","S. A. Mori","27386","2009","11","06","South America","French Guiana",NA,NA,"Emerald Jungle Village. Near Carrefour du Gallion.","-52.42286","4.78406","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1277805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00952112",NA,"13","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
