"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","fieldNumber","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","individualCount","phylum","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","typeStatus","coordinatePrecision","geoFlag"
"1","2020-02-08 09:50:30-03","NBC","NL-BOTANY","U.1261539","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Euphorbiaceae","Tetraplandra","kuhlmannii","Tetraplandra kuhlmannii","Emmerich","Schunke Vigo J","1972","12","06","Southern America","Peru","Department of San Martin. Prov. Mariscal Caceres; Tocache Nuevo; Palo Blanco, sud oeste del Puente.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1261539 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1261539","NL-U1261539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2012-06-21 05:16:00-03","MO","MOBOT","1440857","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Tetraplandra","kuhlmannii","Tetraplandra kuhlmannii","Emmerich","Alwyn H. Gentry|José Schunke V.|James Aronson","1979","3","13","South America","Peru","12 km W of Tocache, near Río Tocache, mature flatland forest on lateritic soil.",NA,NA,NA,"M.J. Huft (F)","Gentry 25645","1781","San Martín","Mariscal Cáceres","-76.6","-8.2","500.00000000","7",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-04-22 14:12:06-03","F","FMNH-SEEDPLANTS","V0538818F","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Euphorbiaceae","Tetraplandra","kuhlmannii","Tetraplandra kuhlmannii",NA,"A. H. Gentry et al.","1979","3","13","South America","Peru","12 km W of Tocache Nuevo, near Rio Tocache",NA,"V0538818F",NA,"M. J. Huft","25645",NA,"San Martín","Mariscal Caceres","-76.53","-8.17","500",NA,"Spermatophyta",NA,NA,NA,NA,NA,NA,NA
"4","2019-09-23 16:13:05-03","F","FMNH-SEEDPLANTS","V0538819F","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Euphorbiaceae","Tetraplandra","kuhlmannii","Tetraplandra kuhlmannii",NA,"J. Schunke V.","1962","9","5","South America","Peru","vicnity of Tingo Maria, Villa Ysabel, rio Cuchara",NA,"V0538819F",NA,"M. J. Huft","6146",NA,"Huanuco",NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,NA,NA
"5","2019-09-23 16:13:06-03","F","FMNH-SEEDPLANTS","V0538820F","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Euphorbiaceae","Tetraplandra","kuhlmannii","Tetraplandra kuhlmannii",NA,"J. Schunke V.","1972","12","6","South America","Peru","Tocache Nuevo. Palo Blanco, SW del Puente",NA,"V0538820F",NA,"M. J. Huft","5681",NA,"San Martín","Mariscal Caceres",NA,NA,"600",NA,"Spermatophyta","700",NA,NA,NA,NA,NA,NA
"6","2019-09-23 16:13:06-03","F","FMNH-SEEDPLANTS","V0538821F","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Euphorbiaceae","Tetraplandra","kuhlmannii","Tetraplandra kuhlmannii",NA,"J. Schunke V.","1972","12","6","South America","Peru","Tocache Nuevo. Palo Blanco, SW del Puente",NA,"V0538821F",NA,"M. J. Huft","5681",NA,"San Martín","Mariscal Caceres",NA,NA,"600",NA,"Spermatophyta","700",NA,NA,NA,NA,NA,NA
"7","2021-02-23 13:22:24-03","MN","R-TIPOS","169488","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Algernonia","kuhlmannii","Algernonia kuhlmannii","(Emmerich) G.L. Webster","Kuhlmann, J.G.","1943","12","02",NA,"Brasil","Cachoeira de Santa Maria",NA,"R000169488","R000169488_001","Oliveira, L.","6591",NA,"Espírito Santo","Colatina","-40.6305999755859","-19.539400100708",NA,NA,NA,NA,"2009","11","17","Isotypus de Tetraplandra kuhlmannii Emmerich","57036","auto"
"8","2021-02-23 13:22:24-03","MN","R-TIPOS","169488a","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Algernonia","kuhlmannii","Algernonia kuhlmannii","(Emmerich) G.L. Webster","Kuhlmann, J.G.","1943","12","02",NA,"Brasil","Cachoeira de Santa Maria",NA,"R000169488a","R000169488a_001","Oliveira, L.","6591",NA,"Espírito Santo","Colatina","-40.6305999755859","-19.539400100708",NA,NA,NA,NA,"2009","11","17","Isotypus de Tetraplandra kuhlmannii Emmerich","57036","auto"
