"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","individualCount","fieldNumber","infraspecificEpithet"
"1","2021-04-05 14:25:18-03","UNESC","CRI","3166","PreservedSpecimen","Plantae","Fabaceae","Inga","striata","Inga striata","Benth.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; João Juares Soares","1821","1992","10","22","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI002884","CRI002884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:32-03","UNESC","CRI","1699","PreservedSpecimen","Plantae","Fabaceae","Inga","striata","Inga striata","Benth.","Vanilde Citadini- Zanette","V. Citadini-Zanette; J. J. Soares","1681","1992","10","22","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","CRI002882","CRI002882","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:18-03","UNESC","CRI","13984","PreservedSpecimen","Plantae","Fabaceae","Inga","striata","Inga striata","Benth.","Altamir Antunes","Valdemar Boff & Tânia Medeiros",NA,"1997","10","10","Brasil","Santa Catarina","Araranguá",NA,"-49.486389","-28.935556","49º29'11''W","28º56'8''S",NA,NA,"CRI012627",NA,"Habitat: Terrestre Habito: Arbóreo","2018","10","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:18-03","UNESC","CRI","3809","PreservedSpecimen","Plantae","Fabaceae","Inga","striata","Inga striata","Benth.","Rafael Martins","Z. P. Topanotti",NA,"1995","09","10","Brasil","Santa Catarina","Nova Veneza","Balneário Ghellere.","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,"CRI002886","CRI002886","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:32-03","UNESC","CRI","4656","PreservedSpecimen","Plantae","Fabaceae","Inga","striata","Inga striata","Benth.","Robson dos Santos","Narzi Z. Roberge",NA,"1993","10","22","Brasil","Santa Catarina","Siderópolis","Lado da Igreja N. S. de Lourdes.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002885","CRI002885","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:18-03","UNESC","CRI","8412","PreservedSpecimen","Plantae","Fabaceae","Inga","striata","Inga striata","Benth.","Vanilde Citadini- Zanette","Mainara F. Cascaes",NA,"2007","11","07","Brasil","Santa Catarina","Maracajá","Parque Ecológico Municipal de Maracajá.","-49.453056","-28.847222","49º27'11''W","28º50'50''S","30","30","CRI002890","CRI002890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:32-03","UNESC","CRI","8336","PreservedSpecimen","Plantae","Fabaceae","Inga","striata","Inga striata","Benth.","Vanilde Citadini- Zanette","Sinara Colonetti",NA,"2007",NA,NA,"Brasil","Santa Catarina","Siderópolis","Barragem Rio São Bento.","-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,NA,"CRI002883","CRI002883",NA,"2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:32-03","UNESC","CRI","13322","PreservedSpecimen","Plantae","Fabaceae","Inga","striata","Inga striata","Benth.","Peterson T. Padilha","Alexandre Medeiros",NA,"2017","08","28","Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.637778","-27.001389","48º38'16''W","27º0'5''S",NA,NA,"CRI011929","CRI011929","Coleta 680. Habitat: Terrícola Habito: Arbóreo","2018","04","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","413856","PreservedSpecimen","Plantae","Fabaceae","Inga","nuda","Inga nuda","Salzm. ex Benth.","O. Poncy","G. F. J. Pabst","22805","1962","07","08","Brazil","Rio de Janeiro","Rio de Janeiro","Ilha do Governador, Jardim Guanabara","-43.200892","-22.812325",NA,NA,NA,NA,"NY00413856","NY00413856_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686479' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","413853","PreservedSpecimen","Plantae","Fabaceae","Inga","nuda","Inga nuda","Salzm. ex Benth.","O. Poncy","S. D. Knapp","7735","1986","06","12","Peru","Amazonas","Bagua","Ca 26km E of Bagua Chica turnoff on Carretera Marginal (Chiclayo-Tarapoto)","-78.45","-5.75",NA,NA,"450","450","NY00413853",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686480' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
