"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","yearIdentified","monthIdentified","dayIdentified","year","month","day","individualCount","occurrenceRemarks","identifiedBy","class","scientificNameAuthorship","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","barcode","imagecode"
"1","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3968","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","pumila","Cattleya pumila","2017","03","02","2017","03","02","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4535","S","Plantae",NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila","2019","04","11",NA,NA,NA,"1","254","Carlos Alberto Ferreira Júnior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3765","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","pumila","Cattleya pumila","2016","06","02",NA,NA,NA,"1","254","Carlos Alberto Ferreira Júnior","Equisetopsida","Hook.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2137","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,NA,NA,NA,NA,"254",NA,"Equisetopsida","Hook.","Rubens Custódio;","Brasil","Minas Gerais","Nova Lima","-43.8466987609863","-19.9855995178223","29211","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2379","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","pumila","Cattleya pumila","2012","08","22","2012","07","12",NA,"254","Carlos A. Ferreira Jr.","Equisetopsida","Hook.","Carlos Alberto F. Jr.; Maria Guadalupe, Fernando Fernandez, Fernando Araujo","Brasil","Minas Gerais","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto","CAF541","RPPN Brumas do Espinhaço e Ermo da Gerais","19º 02' 24S","43º 42' 06W","1414","1414",NA,NA,NA,NA
"6","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2425","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","pumila","Cattleya pumila","2012","11","28","2012","11","28",NA,"254","Carlos A. Ferreira Jr.","Equisetopsida","Hook.","Carlos Alberto F. Jr.; Fernando Fernandes; Juliana Ordones; Lívia Echternadt","Brasil","Minas Gerais","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto","CAF","RPPN Brumas do Espinhaço e Ermo da Gerais, mata do Pico Brumoso",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1031971","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,"1968","02","16",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189807' target='other'> <mi>dwc_moreinfo</mi></a>","G. F. J. Pabst",NA,"(Hook.) Rchb.f.","H. S. Irwin","Brazil","Minas Gerais",NA,"-43.68","-18.57",NA,NA,"20315","Serra do Cipó, km. 132 (ca. 153km N. of Belo Horizonte).",NA,NA,"1400","1400","South America","sheet","NY01031971","NY01031971_01"
"8","2021-03-15 16:37:00-03","NY","NYBG","1031972","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,"1945","02","28",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189809' target='other'> <mi>dwc_moreinfo</mi></a>","C. Schweinfurth",NA,"(Hook.) Rchb.f.","L. O. Williams","Brazil","Minas Gerais","Nova Lima","-43.8467","-19.9858",NA,NA,"5785","Vicinity of Lagôa Grande, Serra da Mutuca",NA,NA,"1600","1600","South America","sheet","NY01031972","NY01031972_01"
"9","2020-11-04 12:17:29-03","ESALQ","ESA","118318","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"1965","09","01",NA,NA,"Catharino, E.L.M.",NA,NA,"Bicalho, H.D.","Brasil","Minas Gerais","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto","5169.0",NA,NA,NA,NA,NA,NA,NA,"ESA118318","ESA118318"
"10","2021-03-31 13:41:04-03","MN","R","221356","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,"1972","07","15",NA,"Academia Brasileira de Ciências/ Levantamento Paleológico e Botânico das Bacias Cenozóicas de Minas Gerais",NA,NA,"(Hook.) Rchb. f.","Mello Filho, L.E.; Duarte, L.; Becker, H. & Silva, S.R.","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"3639",NA,NA,NA,"1440","1440",NA,NA,NA,NA
"11","2021-03-31 13:41:04-03","MN","R","221357","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,"1972","07","15",NA,"Academia Brasileira de Ciências/ Levantamento Paleológico e Botânico das Bacias Cenozóicas de Minas Gerais",NA,NA,"(Hook.) Rchb. f.","Mello Filho, L.E.; Duarte, L.; Becker, H. & Silva, S.R.","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"3389",NA,NA,NA,"1440","1440",NA,NA,NA,NA
"12","2021-03-31 13:41:04-03","MN","R","221358","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila","1958","11","11","1958","03","06",NA,"Et. Horto Florest. Paraopeba","Pabst, G.F.J.",NA,"(Hook.) Rchb. f.","Heringer, E.P. ; Castellanos, A.","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"22181",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-31 13:41:04-03","MN","R","35605","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,"1938","04","19",NA,NA,"Pabst, G.F.J.",NA,"(Hook.) Rchb. f.","Pirel, J.","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-31 13:41:04-03","MN","R","46057","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,NA,NA,NA,NA,NA,"Schweinffurth",NA,"(Hook.) Rchb. f.","Williams, L.O. ; Assis, V.","Brasil","Minas Gerais","Nova Lima","-43.8466987609863","-19.9855995178223","29211","auto",NA,"Lagoa Grande",NA,NA,"1600","1600",NA,NA,NA,NA
"15","2016-07-05 11:14:18-03","FFCLRP","LBMBP","1030","S","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin",NA,"(Hook.) Rchb.f.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-07-05 11:14:18-03","FFCLRP","LBMBP","1021","S","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin",NA,"(Hook.) Rchb.f.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-09-16 23:16:53-03","MNHN","RECOLNAT_MNHN_P","P00480209","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00480209' target='other'> <mi>dwc_moreinfo</mi></a>","Batista",NA,"Hook.","Herb. Hort. Finet","Brésil",NA,NA,NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,"hb","P00480209","P00480209_01"
"18","2017-11-29 12:09:36-02","MNHN","RECOLNAT_MNHN_P","P00480210","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"1839",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00480210' target='other'> <mi>dwc_moreinfo</mi></a>","Batista",NA,"Hook.","Pinel, M.","Brésil",NA,NA,NA,NA,NA,NA,NA,"cultivé en déc. 1847 par A.Rivière à la Faculté de Médecine de Paris, origine Brésil",NA,NA,NA,NA,NA,"hb","P00480210","P00480210_01"
"19","2015-09-16 21:43:24-03","MNHN","RECOLNAT_MNHN_P","P00480211","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"1853","11","12",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00480211' target='other'> <mi>dwc_moreinfo</mi></a>","Batista",NA,"Hook.","Rivière, A.","Brésil",NA,NA,NA,NA,NA,NA,NA,"cultivé à la Faculté de Médecine de Paris, origine Brésil",NA,NA,NA,NA,NA,"hb","P00480211","P00480211_01"
"20","2020-12-11 11:44:23-03","UFMG","BHCB","125891","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2008","04","01",NA,"coletado em capão. Epiífita. Afloramento de canga.",NA,NA,"Hook.","Carmo, FF","Brasil","Minas Gerais","Nova Lima","-44.033333","-20.066667",NA,NA,"2788","PE Rola Moça/C 1","-44.033333","-20.066667","1450","1450","Southern America",NA,NA,NA
"21","2020-12-11 11:44:23-03","UFMG","BHCB","106334","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2007","02","24",NA,"rupícola nas pedras da cachoeira próximoda casa na chapada. Flor lilás.",NA,NA,"Hook.","Mota, NFO; Viana, PL; Souza, D","Brasil","Minas Gerais","São Gonçalo do Rio Preto","-43.339083","-18.199333",NA,NA,"685","Parque Estadual do Rio Preto","-43.339083","-18.199333","1415","1415","Southern America",NA,NA,NA
"22","2021-01-15 17:53:18-03","UFMG","BHCB","119478","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2007","01","09",NA,"Erva epífita, em capão de mata.",NA,NA,"Hook.","Batista, JAN; Mota, RC da; Faria, MWF de; Borges, KS","Brasil","Minas Gerais","São Roque de Minas","-46.446611","-20.243444",NA,NA,"1805","Parque Nacional da Serra da Canastra","-46.446611","-20.243444","1331","1331","Southern America",NA,NA,NA
"23","2020-12-11 11:44:23-03","UFMG","BHCB","107258","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2007","05","01",NA,"Epífita em mata de galeria, pétalas rosas. Prensado em álcool.",NA,NA,"Hook.","Almeida, TE; Heringer, G; Lara, DS; Costa, ACV da","Brasil","Minas Gerais","Buenópolis","-44.1800003051758","-17.8733005523682","42854","auto","975","Parque Nacional das Sempre Vivas. Capões de mata e",NA,NA,"1306","1306","Southern America",NA,NA,NA
"24","2020-12-11 11:44:23-03","UFMG","BHCB","107263","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2007","05","01",NA,"Epífita no campo rupestre, proximo a pintura rupestre. Prensado em álcool.",NA,NA,"Hook.","Almeida, TE; Heringer, G; Lara, DS; Costa, ACV da","Brasil","Minas Gerais","Buenópolis","-44.1800003051758","-17.8733005523682","42854","auto","989","Parque Nacional das Sempre Vivas. Capões de mata e, Campões de mata e Mata alagada ao lado da Serra do Landi.",NA,NA,"1306","1306","Southern America",NA,NA,NA
"25","2020-12-11 11:44:43-03","UFMG","BHCB","90465","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Hadrolaelia","pumila","Hadrolaelia pumila","2004","09",NA,"2004","08","08",NA,"Epífita com flores roxas.",NA,NA,"(Hook.) Chiron & V.P.Castro","Viana, PL; Mota, NFO","Brasil","Minas Gerais","São Gonçalo do Rio Preto","-43.3908004760742","-18.0041999816895","26697","auto","1852","P.E. do Rio Preto, Próximo a Lapa do Anísio",NA,NA,"1400","1400","Southern America",NA,"BHCB001400","BHCB001400"
"26","2020-12-11 11:44:43-03","UFMG","BHCB","26351","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Hadrolaelia","pumila","Hadrolaelia pumila",NA,NA,NA,"1995","02","17",NA,"flores lilases com labelo vinho.",NA,NA,"(Hook.) Chiron & V.P.Castro","Teixeira, WA","Brasil","Minas Gerais","Itabirito","-43.801399230957","-20.2532997131348","20553","auto","s.n.","Pico do Itabirito",NA,NA,NA,NA,"Southern America",NA,NA,NA
"27","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","12332",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2000","03","30",NA,"Epifita a 2m na sombra. Sepalos e Petalos lilas com apice do Labelo roxo escuro. Base do labelo amarelo.","G.B. Bortolan/Jan.-2020",NA,"Hook.","L. Kollmann; et al","Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,NA,"2748","Estação Biológica de Santa Lúcia","40W31'49","19S58'17",NA,NA,NA,NA,"MBML012332","MBML012332"
"28","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","12421",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2000","04","11",NA,"Epifita,11m de alt., flores com sepalas e petalas lilases, labelo roxo, escuro no apice. Borda de mata secundaroa, beira de estrada, lado direito. CULTIVO.","G.B. Bortolan/Jan.-2020",NA,"Hook.","V. Demuner; et al","Brasil","Espírito Santo","Santa Teresa","-40.617778","-19.931111",NA,NA,"895","São Lourenço, Mata do Martinelli","40W37'4","19S55'52",NA,NA,NA,NA,"MBML012421","MBML012421"
"29","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","13009",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"1995","10","19",NA,"Mata Atlântica de encosta, próximo a Reserva de Duas Bocas. Flores lilás, labelo avensepto.","G.B. Bortolan/Jan.-2020",NA,"Hook.","C. N. de Fraga","Brasil","Espírito Santo","Cariacica","-40.534722","-20.280833",NA,NA,"380","Condomínio Rural Cantinho do Céu","40W32'5","20S16'51",NA,NA,NA,NA,"MBML013009","MBML013009"
"30","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","13020",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"1997","06","18",NA,"Mata Atlântica e lagoa. Epífita em mata, flor lilás, labelo com centro branco.","G.B. Bortolan/Jan.-2020",NA,"Hook.","C. N. de Fraga","Brasil","Espírito Santo","Cariacica","-40.534722","-20.280833",NA,NA,"369","Condomínio Rural Cantinho do Céu, próximo a Duas Bocas","40W32'5","20S16'51",NA,NA,NA,NA,"MBML013020","MBML013020"
"31","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","16332",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2002","03","12",NA,"Epífita na sombra. Sépalas e pétalas lilás. Labelo lilás com o ápice mas escuro.","G.B. Bortolan/Jan.-2020",NA,"Hook.","L. Kollmann; et al","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.9075",NA,NA,"5641","Reserva Biológica Augusto Ruschi - Nova Lombardia","40W33'11","19S54'27",NA,NA,NA,NA,"MBML016332","MBML016332"
"32","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","16787",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2002","04","11",NA,"Epífita, a 5m de altura do solo, em cipó, flores lilás, beira da estrada, trecho Goiapaboaçu, lado direito.","G.B. Bortolan/Jan.-2020",NA,"Hook.","R.R. Vervloet; et al","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.9075",NA,NA,"97","Reserva Biológica Augusto Ruschi - Nova Lombardia","40W33'11","19S54'27",NA,NA,NA,NA,"MBML016787","MBML016787"
"33","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","18670",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2002","03","30",NA,"Árvore caída, pétalas e sépalas lilás, epífita.","G.B. Bortolan/Jan.-2020",NA,"Hook.","R.R. Vervloet; et al","Brasil","Espírito Santo","Santa Teresa","-40.620556","-19.931111",NA,NA,"43","São Lourenço","40W37'14","19S55'52",NA,NA,NA,NA,"MBML018670","MBML018670"
"34","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","20165",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2003","03","26",NA,"Epífita, a 9m do solo, flores de cor vermelha, labelo laranja com estrias vermelhas. Topo de morro, dossel 20m.","G.B. Bortolan/Jan.-2020",NA,"Hook.","R.R. Vervloet; et al","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.9075",NA,NA,"2068","Reserva Biológica Augusto Ruschi - Nova Lombardia","40W33'11","19S54'27",NA,NA,NA,NA,"MBML020165","MBML020165"
"35","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","20171",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2003","03","26",NA,"Epífita, em galho caído, flor de cor lilás, borda do labelo com lilás mais escuro, baixada, capoeira, dossel 14m.","G.B. Bortolan/Jan.-2020",NA,"Hook.","R.R. Vervloet; et al","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.9075",NA,NA,"2061","Reserva Biológica Augusto Ruschi - Nova Lombardia","40W33'11","19S54'27",NA,NA,NA,NA,"MBML020171","MBML020171"
"36","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","20182",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2003","03","22",NA,"Epífita sobre galho caído, meia sombra, exemplar com flores e frutos. Flores com pétalas e sépalas lilases e labelo com extremidades com maguenta.","G.B. Bortolan/Jan.-2020",NA,"Hook.","M. V. S. Berger; et al","Brasil","Espírito Santo","Santa Maria de Jetibá","-40.924167","-20.176944",NA,NA,"72","Pedra do Garrafão","40W55'27","20S10'37",NA,NA,NA,NA,"MBML020182","MBML020182"
"37","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","20623",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2003","04","03",NA,"Epífita, meia sombra. Sépalas e pétalas lilás, labelo lilás ápice mais escuro.","G.B. Bortolan/Jan.-2020",NA,"Hook.","L. Kollmann; et al","Brasil","Espírito Santo","Santa Maria de Jetibá","-40.780556","-20.067222",NA,NA,"6083","Terreno de R. Berger","40W46'50","20S4'2",NA,NA,NA,NA,"MBML020623","MBML020623"
"38","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","20936",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2003","03","29",NA,"Epífita; flores com pétalas e sépalas laranjas, labelo amarelo com estrias laranjas.","G.B. Bortolan/Jan.-2020",NA,"Hook.","A. P. Fontana; et al","Brasil","Espírito Santo","Santa Teresa","-40.620556","-19.931111",NA,NA,"552","São Lourenço","40W37'14","19S55'52",NA,NA,NA,NA,"MBML020936","MBML020936"
"39","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","25124",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2005","04","05",NA,"Epífita, flores lilás.","G.B. Bortolan/Jan.-2020",NA,"Hook.","A. P. Fontana; et al","Brasil","Espírito Santo","Santa Teresa","-40.589167","-19.922222",NA,NA,"1259","Santo Antônio","40W35'21","19S55'20",NA,NA,NA,NA,"MBML025124","MBML025124"
"40","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","50416",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila",NA,NA,NA,"2015","04","11",NA,"Orquídea flor vistosa lilás, epífita no caule de árvore próximo ao solo",NA,NA,"Hook.","A.D. Ferreira; P.J. Coelho","Brasil","Espírito Santo","Santa Teresa","-40.533333","-19.95",NA,NA,"255","RPPN Vale do Sol, Floresta Ombrófila Densa, floresta topo do morro, no interior da mata do morro do eucalipto cachorro","40W32'0","19S57'0",NA,NA,NA,NA,"MBML050416","MBML050416"
"41","2019-06-10 10:11:22-03","FZB-BH","BHZB","2823","S","Plantae",NA,NA,"Orchidaceae","Sophronitis","pumila","Sophronitis pumila","2008","04",NA,"2004","03","03",NA,"Coleção viva nº . Coletada em Nova Lima em 21/05/2002, por Rubens Custódio.Cultivado","R.C. Mota",NA,NA,"Santos, F.M.G.","Brasil","MG","Belo Horizonte","-43.937801361084","-19.9207992553711","17082","auto","28","FZB/BH - Jardim Botânico - Coleção de Orquídeas",NA,NA,NA,NA,NA,NA,NA,NA
