"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-04-05 14:25:09-03","UNESC","CRI","14272","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","Gasper, AL de","2010","09","20","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","4877","2010","06","08","Brasil","Santa Catarina","Paulo Lopes","Espraiado/Parque Estadual da Serra do Tabuleiro. Espraiado/Parque Estadual da Serra do Tabuleiro.","-48.78","-27.99","48º46'48''W","27º59'24''S","329","329","Florística IFFSC 199 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Médio; interior do fragmento Habito: arbórea;","CRI013383","CRI013383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","356093","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner",NA,NA,NA,NA,"G. Gardner","5722","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00356093","NY00356093_01","Magnoliophyta","Oxalidales","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","777052","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","A. C. B. Lacerda",NA,NA,NA,"A. Lacerda","217","1998","12","18","Brazil","Paraná","Piraquara","Morro do Canal, Mananciais da Serra","-49.05","-25.43",NA,NA,"980","980","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276326' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777052","NY00777052_01","Magnoliophyta","Oxalidales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","533122","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","A. L. Bernardi",NA,NA,NA,"L. Riedel","1671","1833","11",NA,"Brazil","São Paulo",NA,"In sylv. montosis. p. Mugy.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276334' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533122","NY00533122_01","Magnoliophyta","Oxalidales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","533130","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","A. L. Bernardi",NA,NA,NA,"F. C. Hoehne","830","1917","11","03","Brazil","São Paulo","Ribeirao Pires","Alto da Serra, Mata da Estaçao Biologica","-46.4097","-23.71",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276331' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533130","NY00533130_01","Magnoliophyta","Oxalidales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","533129","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner",NA,NA,NA,NA,"K. Kubitzki","81-36","1981","02","21","Brazil","São Paulo","Cananéia","Ilha do Cardoso","-47.992538","-25.197304",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533129","NY00533129_01","Magnoliophyta","Oxalidales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","533127","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner",NA,NA,NA,NA,"K. Kubitzki","81-24","1981","02","13","Brazil","São Paulo","Cunha","Reserva Florestal Estadual de Cunha","-45.052474","-23.263965",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276336' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533127","NY00533127_01","Magnoliophyta","Oxalidales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","533125","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","A. L. Bernardi",NA,NA,NA,"P. K. H. Dusén","15147","1914","06","06","Brazil","Paraná",NA,"Jaguariahyva, ad rivulum","-49.713647","-24.340602",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276329' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533125","NY00533125_01","Magnoliophyta","Oxalidales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","720667","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner",NA,NA,NA,NA,"R. de Mello-Silva","3275","2010","01","27","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca. Rio do Salto, proximo ao Lago Negro.","-43.89411","-21.70617",NA,NA,"1372",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2519360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720667","NY00720667_01","Magnoliophyta","Oxalidales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","533124","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","J. Mattos",NA,NA,NA,"O. Handro","SP36581","1935","11",NA,"Brazil","São Paulo","Ribeirao Pires","Alto de Serra, Estaçao Biológica","-46.4097","-23.71",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276333' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533124","NY00533124_01","Magnoliophyta","Oxalidales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","533126","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","A. L. Bernardi",NA,NA,NA,"P. K. H. Dusén","10448","1910","10","25","Brazil","Paraná","Jaguariaíva","Jaguariahyva, in paludosis","-49.7056","-24.2511",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276330' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533126","NY00533126_01","Magnoliophyta","Oxalidales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","533131","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","A. L. Bernardi",NA,NA,NA,"F. C. Hoehne","830","1917","11","03","Brazil","São Paulo","Ribeirao Pires","Alto da Serra, Mata da Estaçao Biologica","-46.4097","-23.71",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276332' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533131","NY00533131_01","Magnoliophyta","Oxalidales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","533128","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner",NA,NA,NA,NA,"K. Kubitzki","81-24","1981","02","13","Brazil","São Paulo","Cunha","Reserva Florestal Estadual de Cunha","-45.052474","-23.263965",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533128","NY00533128_01","Magnoliophyta","Oxalidales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1019514","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner",NA,NA,NA,NA,"L. Schumm","69","2004","08",NA,"Brazil","Minas Gerais","Bocaina de Minas","Parque Nacional do Itatiaia (Alto dos Brejos)","-44.3947","-22.1675",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1285933' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019514","NY01019514_01","Magnoliophyta","Oxalidales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","533123","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","A. L. Bernardi",NA,NA,NA,"L. Riedel","1671","1833","11",NA,"Brazil","São Paulo",NA,"In sylv. mont. pr. Mugy",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276328' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533123","NY00533123_01","Magnoliophyta","Oxalidales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","533121","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","A. L. Bernardi",NA,NA,NA,"W. J. Burchell","4387","1827","03","06","Brazil","São Paulo",NA,"Morumbe Road NNW (=Morumbí now in NW part of the city of Sao Paulo)",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276327' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533121","NY00533121_01","Magnoliophyta","Oxalidales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
