"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","typeStatus","fieldNumber","preparationType","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount"
"1","2021-03-30 12:53:12-03","EAO","IAN","62374","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll","Chase, A","10641","1930","01","19","Southern America","Brasil","Minas Gerais","Poços de Caldas","-46.5614013671875","-21.7877998352051","23696","IAN062374","IAN062374 IAN062374_e IAN062374_e1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:18:55-03","UFV","VIC","25445","PreservedSpecimen","Plantae",NA,"Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll","Brügger, M.C.; et al.","335","1988","10","15",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"VIC025445","VIC025445",NA,"Clark, L.G.","2002","03","06","Parque Nacional da Serra do Caparaó, Na beira da mata, no riacho. Cachoeira Bonita.","Entre outras plantas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:42:26-03","UFJF","CESJ","22909","PreservedSpecimen","Plantae","Angiosperma","Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll","M.C. Brügger; et al.","FPNC335","1988","10","15","América do Sul","Brasil","Minas Gerais",NA,NA,NA,NA,"CESJ022909","CESJ022909",NA,"E.M. Pianissola","2016","06","07","Parque Nacional dom Caparaó - Cachoeira Bonita","Na beira da mata, no riacho, entre outras plantas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:20:25-03","UNICAMP","UEC","177045","S","Plantae","Liliopsida","Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll","Santos, AG; Matsemoto, K; Belinello, R","474","2002","03","08",NA,"Brazil","Rio de Janeiro","Macaé de Cima",NA,NA,NA,"UEC016905","UEC016905",NA,NA,NA,NA,NA,"Reserva Ecológica de Macaé de Clima. Sítio do Sr. David Miller.&nf;Estrada de acesso ao Sítio, Vegetiva 1159&nf;m22 º 22'6. 81''&nf;42º 28'9. 66''.","Bambu llignificado formando densas cortinas; floração gregária. atingindo até 7-8m de altura; frequente na área.; Reserva Ecológica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:20:25-03","UNICAMP","UEC","56096","S","Plantae","Liliopsida","Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll","Santos, AG; Elcio","460","2002","03","03",NA,"Brazil","Minas Gerais","Catas Altas","-43.4075012207031","-20.0746994018555","11966","UEC016890","UEC016890","auto","Santos, AG","2002","02",NA,"Parque Ecológico da Caraça. Pico do Sol.","Coletada no interior da mata no final da trilha; Alguns indivíduos com flor, comum no local.; Floresta mosofítica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:40:11-03","MBM","MBM","198501","PreservedSpecimen","Plantae",NA,"Poaceae","Chusquea","acuminata","Chusquea acuminata","Doell","Dombrowski, L.T.","14401",NA,NA,NA,"Southern America","Brazil","Paraná","Palmeira","-50.0064010620117","-25.4293994903564","35166","MBM198501",NA,"auto","Dombrowski, L.T.",NA,NA,NA,"Fazenda Santa Rita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:40:11-03","MBM","MBM","198505","PreservedSpecimen","Plantae",NA,"Poaceae","Chusquea","acuminata","Chusquea acuminata","Doell","Hatschbach, G.","4001",NA,NA,NA,"Southern America","Brazil","Paraná","Campina Grande do Sul","-49.0553016662598","-25.3055992126465","55154","MBM198505",NA,"auto","Swallen, J.R.",NA,NA,NA,"Rio do Corvo, Estrada da Graciosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:40:11-03","MBM","MBM","198504","PreservedSpecimen","Plantae",NA,"Poaceae","Chusquea","acuminata","Chusquea acuminata","Doell","Motta, J.T.","590",NA,NA,NA,"Southern America","Brazil","Paraná","Piraquara","-49.0633010864258","-25.4416999816895","12577","MBM198504",NA,"auto","Motta, J.T.",NA,NA,NA,"Mananciais da Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:40:11-03","MBM","MBM","198506","PreservedSpecimen","Plantae",NA,"Poaceae","Chusquea","acuminata","Chusquea acuminata","Doell","Straube, F.C.","s.n.",NA,NA,NA,"Southern America","Brazil","Paraná","Quatro Barras","-49.0769004821777","-25.3656005859375","17116","MBM198506",NA,"auto","Motta, J.T.",NA,NA,NA,"Taquari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:40:11-03","MBM","MBM","198503","PreservedSpecimen","Plantae",NA,"Poaceae","Chusquea","acuminata","Chusquea acuminata","Doell","Motta, J.T.","825",NA,NA,NA,"Southern America","Brazil","Paraná","Quatro Barras","-49.0769004821777","-25.3656005859375","17116","MBM198503",NA,"auto","Motta, J.T.",NA,NA,NA,"Taquari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
