"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","month","day","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","county","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","imagecode","order","individualCount","fieldNumber","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01524005","PreservedSpecimen","Plantae","Marchantiophyta","Trichocoleaceae","Trichocolea","brevifissa","Trichocolea brevifissa","Steph.","R. Hatcher","A. F. M. Glaziou","7098","1874","South America","Brazil","Rio de Janeiro","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1834030' target='other'> <mi>dwc_moreinfo</mi></a>","NY01524005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01524000","PreservedSpecimen","Plantae","Marchantiophyta","Trichocoleaceae","Trichocolea","brevifissa","Trichocolea brevifissa","Steph.","R. Hatcher","E. G. Britton","1483","1920","South America","Trinidad and Tobago",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1833849' target='other'> <mi>dwc_moreinfo</mi></a>","NY01524000","04","03","Trinidad, Mount Tocuche","-61.409","10.739203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01524002","PreservedSpecimen","Plantae","Marchantiophyta","Trichocoleaceae","Trichocolea","brevifissa","Trichocolea brevifissa","Steph.","R. Hatcher","E. G. Britton","1475","1920","South America","Trinidad and Tobago",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1833890' target='other'> <mi>dwc_moreinfo</mi></a>","NY01524002","04","03","Trinidad, Mount Tocuche","-61.409","10.739203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01524003","PreservedSpecimen","Plantae","Marchantiophyta","Trichocoleaceae","Trichocolea","brevifissa","Trichocolea brevifissa","Steph.","R. Hatcher","E. G. Britton","1475","1920","South America","Trinidad and Tobago",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1833892' target='other'> <mi>dwc_moreinfo</mi></a>","NY01524003","04","03","Trinidad, Mount Tocuche","-61.409","10.739203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01524004","PreservedSpecimen","Plantae","Marchantiophyta","Trichocoleaceae","Trichocolea","brevifissa","Trichocolea brevifissa","Steph.","R. Hatcher","P. K. H. Dusén","367","1902","South America","Brazil",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1834027' target='other'> <mi>dwc_moreinfo</mi></a>","NY01524004","05","15","Serra do Itatiaia","-44.610136","-22.371691","2200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:06:02-03","UFBA","ALCB","72048","PreservedSpecimen","Plantae",NA,"Trichocoleaceae","Trichocolea","brevifissa","Trichocolea brevifissa","Steph.",NA,"Santos, M","658","2006","Southern America","Brasil","Bahia",NA,"epíxilo",NA,"07","22","Piemonte da Diamantina, Capão Grande","-40.583333","-11.416667","1000","Miguel Calmon","-40.583333","-11.416667","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:06:02-03","UFBA","ALCB","72049","PreservedSpecimen","Plantae",NA,"Trichocoleaceae","Trichocolea","brevifissa","Trichocolea brevifissa","Steph.",NA,"Santos, M","669","2006","Southern America","Brasil","Bahia",NA,"epíxilo",NA,"07","22","Piemonte da Diamantina, Capão Grande","-40.583333","-11.416667","1000","Miguel Calmon","-40.583333","-11.416667","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:06:02-03","UFBA","ALCB","72050","PreservedSpecimen","Plantae",NA,"Trichocoleaceae","Trichocolea","brevifissa","Trichocolea brevifissa","Steph.",NA,"Santos, M","654","2006","Southern America","Brasil","Bahia",NA,"Corticícolo",NA,"07","22","Piemonte da Diamantina, Capão Grande","-40.583333","-11.416667","1000","Miguel Calmon","-40.583333","-11.416667","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-09 17:05:19-03","IAP","PACA-BRYOPHYTES","106402","PreservedSpecimen","Plantae",NA,"Trichocoleaceae","Trichocolea","brevifissa","Trichocolea brevifissa","Steph.","O. Yano","Sehnem, A.","4562","1949",NA,"Brasil","RS",NA,"Habitat: In humo in silva.","PACA106402","12","19",NA,"-50.5835990905762","-29.4480991363525",NA,"São Francisco de Paula",NA,NA,NA,"2010","06","76715","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-09 17:05:19-03","IAP","PACA-BRYOPHYTES","106411","PreservedSpecimen","Plantae",NA,"Trichocoleaceae","Trichocolea","brevifissa","Trichocolea brevifissa","Steph.","O. Yano","Sehnem, A.","6981","1957",NA,"Brasil","SC",NA,"Habitat: Ad humum.","PACA106411","01","16","Campo dos Padres","-49.489200592041","-27.7971992492676",NA,"Bom Retiro",NA,NA,NA,"2010","06","35974","auto",NA,NA,NA,NA,NA,NA,NA
