"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","individualCount","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","505129","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pelexia","maculata","Pelexia maculata","Rolfe","G. F. J. Pabst","G. T. Prance","1893","1965","11","01","South America","Brazil","Pará","Road BR 22, Capanema to Maranhao.km 94","-46.551918","-1.754794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232144' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505129","NY00505129_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:46:38-03","NBC","NL-BOTANY","U.1462358","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Pelexia","laxa","Pelexia laxa","(Poepp. & Endl.) Lindl.","Maas PJM","Maas PJM; Maas-van de Kamer H",NA,"1995","03","07","Southern America","Venezuela","Nueva Esparta","Cerro Copey",NA,NA,NA,"Low forest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1462358 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1462358","NL-U1462358","Magnoliopsidae","U 0257378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:41:13-03","MN","R","221992","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","lindmaniana&nf;(kraenzl.","Pelexia lindmaniana&nf;(kraenzl.","(Kraenzl.) Schltr.",NA,"Emmerich, M.","3177","1968","03","31",NA,"Brasil","Minas Gerais",NA,"-46.5614013671875","-21.7877998352051",NA,NA,NA,NA,NA,NA,"Poços de Caldas","23696","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:26:38-03","IAP","PACA-AGP","97529","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Pelexia","lindmaniana","Pelexia lindmaniana","(Kraenzl.) Schltr.","Bauer, D.","Bauer,D.",NA,"2001","07","07",NA,"Brasil","RS","Fazenda Padre Eterno","-51.0807991027832","-29.5380992889404",NA,"Sem n° de HASU Habitat: Sobre substrato (Húmus) borda rocha Hábito: erva","PACA097529",NA,"Liliatae",NA,"Morro Reuter","12924","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:26:38-03","IAP","PACA-AGP","4327","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Pelexia","lindmaniana","Pelexia lindmaniana","(Kraenzl.) Schltr.","G. Pabst","Rambo, B.",NA,"1941","02","07",NA,"Brasil","RS","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,"Confirmada por C.R. Buzatto em 04.2014 Habitat: In campestribus turfosis dumetosis Fenofase: flor","PACA004327",NA,"Liliatae",NA,"São Francisco de Paula","76715","auto","1954","09","03",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:26:38-03","IAP","PACA-AGP","36567","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Pelexia","lindmaniana","Pelexia lindmaniana","(Kraenzl.) Schltr.","G. Pabst","Rambo, B.",NA,"1948","02",NA,NA,"Brasil","RS","Cambará","-50.5835990905762","-29.4480991363525",NA,"Confirmada por C.R. Buzatto em 04.2014. Habitat: In paludosis dumetosis Fenofase: flor","PACA036567",NA,"Liliatae",NA,"São Francisco de Paula","76715","auto","1954","09","03",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:26:38-03","IAP","PACA-AGP","4730","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Pelexia","lindmaniana","Pelexia lindmaniana","(Kraenzl.) Schltr.","G. Pabst","Rambo, B.",NA,"1941","02","10",NA,"Brasil","RS","Toca","-50.5835990905762","-29.4480991363525",NA,"Confirmada por C.R. Buzatto em 04.2014. Habitat: In campestribus subpaludosis Fenofase: flor","PACA004730",NA,"Liliatae",NA,"São Francisco de Paula","76715","auto","1954","09","03",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:38:42-03","MBM","MBM","68770","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","lindmaniana","Pelexia lindmaniana","(Krzl.) Schltr.","Smidt, E.C.","Hatschbach, G.","43373","1980","11","24","Southern America","Brazil","Paraná","Arredores","-49.7057991027832","-24.2511005401611",NA,"Flor alvecente. Campo úmido","MBM068770","MBM068770",NA,NA,"Jaguariaíva","44368","auto","2004","07","12",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:38:42-03","MBM","MBM","27608","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","lindmaniana","Pelexia lindmaniana","(Krzl.) Schltr.","Pabst, G.","Hatschbach, G.","31831","1973","04","18","Southern America","Brazil","Paraná","Rio Passa Dois","-49.7158012390137","-25.7696990966797",NA,"Campo pedregoso. Flor esverdeada. Unicata","MBM027608","MBM027608",NA,NA,"Lapa","49965","auto","1974","02","05",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-02-12 12:18:00-02","MO","MOBOT","101100701","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa","(Poepp. & Endl.) Lindl.",NA,"Eduard F. Poeppig","Poeppig s.n.",NA,"7",NA,"South America","Peru",NA,"Ad missionem Tocache.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type","1",NA,NA,NA,NA,NA,NA
