"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","478267","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","calvescens","Leandra calvescens","(O.Berg ex Triana) Cogn.","A. C. Brade","A. C. Brade","20722","1951","04","24","South America","Brazil","São Paulo","Sao José do Barreiro","Serra da Bocaina","-44.678829","-22.840477","1650","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286846' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478267","NY00478267_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02736801","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","calvescens","Leandra calvescens","(O.Berg ex Triana) Cogn.",NA,"C. N. Fraga","3473","2012","11","07","South America","Brazil","Rio de Janeiro",NA,"Subida para as Prateleiras; Resende","-44.6703","-22.3989","2474","2474","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3252726' target='other'> <mi>dwc_moreinfo</mi></a>","NY02736801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02098952","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","calvescens","Leandra calvescens","(O.Berg ex Triana) Cogn.","M. Reginato","F. Almeda","9832","2009","03","16","South America","Brazil","São Paulo","São José do Barreiro","Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.","-44.61657","-22.73318","1439","1509","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500281' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098952","NY02098952_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01874759","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","calvescens","Leandra calvescens","(O.Berg ex Triana) Cogn.","M. Reginato","M. Reginato","1463","2014","01","19","South America","Brazil","Santa Catarina","Urubici","Morro da Igreja, topo do morro no campo.","-49.474831","-28.125881",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704510' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874759","NY01874759_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","478266","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","calvescens","Leandra calvescens","(O.Berg ex Triana) Cogn.","A. C. Brade","A. C. Brade","20722","1951","04","24","South America","Brazil","São Paulo","Sao José do Barreiro","Serra da Bocaina","-44.678829","-22.840477","1650","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286845' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478266","NY00478266_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02098967","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","calvescens","Leandra calvescens","(O.Berg ex Triana) Cogn.","M. Reginato","F. Almeda","9839","2009","03","16","South America","Brazil","São Paulo","São José do Barreiro","Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.","-44.61657","-22.73318","1439","1509","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500322' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098967","NY02098967_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01874752","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","calvescens","Leandra calvescens","(O.Berg ex Triana) Cogn.","M. Reginato","M. Reginato","1462","2014","01","19","South America","Brazil","Santa Catarina","Urubici","Morro da Igreja, topo do morro no campo.","-49.474831","-28.125881",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704502' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874752","NY01874752_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01874463","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","calvescens","Leandra calvescens","(O.Berg ex Triana) Cogn.","M. Reginato","M. Reginato","1436","2013","02","08","South America","Brazil","São Paulo","São José do Barreiro","P.N. da Bocaina.","-44.684548","-23.029725",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085247' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874463","NY01874463_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:02:56-03","NBC","NL-BOTANY","U.1394726","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Leandra","calvescens","Leandra calvescens","Cogn.",NA,"Markgraf F; Aparicio",NA,"1952","12","07","Southern America","Brazil",NA,NA,"State of Rio: Serra da Bocaina (S. of the Itatiaia); Lageado.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1394726 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1394726","NL-U1394726","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:31:06-03","IAP","PACA-AGP","59246","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","calvescens","Leandra calvescens","(Triana) Cogn.","Emrich-Rambo","Rambo, B.",NA,"1956","02","12",NA,"Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,NA,NA,"sem material Habitat: in araucarieto Fenofase: fruto","PACA059246",NA,"Magnoliatae","1957","05","17","76715","auto",NA,NA,NA,NA
"11","2021-03-01 16:34:12-03","UNICAMP","UEC","25037","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Leandra","calvescens","Leandra calvescens","Cogn.","Souza, MLDR","Shepherd, GJ","12884","1981","01","02",NA,"Brazil","São Paulo","Serra da Bocaina","estr. p/ S.J. doBarreiro p/ Silveiras, km 24",NA,NA,"1600","1600",NA,"Subarbusto de 30cms, pétalas brancas anteras amarealas","UEC022686","UEC022686",NA,"2005",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-24 16:38:37-03","FURB","FURB","67213","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","calvescens","Leandra calvescens","(Triana) Cogn.",NA,"Funez, L.A.; Fiaschi, P., Trevisan, R., Comin, M., Cabral, F.S., Conti, I.","9619","2019","12","07",NA,"Brasil","Santa Catarina","Alfredo Wagner","Alto da Boa Vista.","-49.1522222","-27.6875","1333","1333",NA,"Flores alvas Habitat: Borda da floresta nebular Habito: Subarbusto","FURB67213","FURB67213",NA,NA,NA,NA,NA,NA,"-49.1522222","-27.6875000",NA,NA
"13","2020-12-21 16:34:12-03","MBM","MBM","264339","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","calvescens","Leandra calvescens","(Triana) Cogn.","Goldenberg, R.","Roderjan, C.V.","1359","1997","02","27","Southern America","Brazil","Paraná","Campina Grande do Sul","Morro Itapiroca","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"MBM264339","MBM264339",NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA
"14","2020-12-21 16:34:12-03","MBM","MBM","155322","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","calvescens","Leandra calvescens","(Triana) Cogn.","Wurdack, J.J.","Cordeiro, J.; Barboza, E.; Barboza, E.","916",NA,NA,NA,"Southern America","Brazil","Santa Catarina","Campo Alegre","Serra do Iquererim","-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,"MBM155322","MBM155322",NA,NA,NA,NA,"37493","auto",NA,NA,NA,NA
