"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","month","day","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","565798","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Terminalia","januarensis","Terminalia januarensis","DC.","C. A. Stace","B. Luschnath","s.n.","1835","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Corcovado","-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73529' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565798","NY00565798_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","565767","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Terminalia","januarensis","Terminalia januarensis","DC.","A. A. Alwan; C. A. Stace","Y. E. J. Mexia","53348","1930","South America","Brazil","Minas Gerais","Viçosa","Viçosa, Agricultural College lands. At gate of eastern boundary","-42.8819007873535","-20.7539005279541","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=245113' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565767","NY00565767_01 NY00565767_02","11","24","13937","700","700","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01198496","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Terminalia","januarensis","Terminalia januarensis","DC.","C. A. Stace","W. W. Thomas","14275","2004","South America","Brazil","Bahia","Mun. Guaratinga","Forest to the south of Pedra Cruzeiro do Sul, 8.7 km SE of São João do Sul (first on road to Cabeceira do Sul and then on fazenda road that goes around east side of Pedia Cruzeiro do Sul).","-39.9136111","-16.5986111","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=828410' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198496","NY01198496_01","09","25",NA,"300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","565766","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Terminalia","januarensis","Terminalia januarensis","DC.","N. M. F. da Silva","G. Martinelli","9979","1984","South America","Brazil","Rio de Janeiro","Magé","III° Distrito, Paraiso, Centro de Primatologia do RJ-FEEMA","-43.0406","-22.6531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=245114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565766","NY00565766_01","10","10",NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:19:22-03","UFRJ","RFA","26894","PreservedSpecimen","Plantae",NA,NA,"Combretaceae","Terminalia","januariensis","Terminalia januariensis","DC.","A. Quinet","A. Quinet","33/73","2001",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Lumiar, Sítio dos Lírios Brancos.","-42.3825","-22.373333",NA,"Árvore, 7m de altura, 40cm de DAP, folha discolor verde, comum no local.","RFA35681",NA,"02","18",NA,"700","700",NA,"2001","09","06","42º22'57''W","22º22'24''S",NA,NA,NA,NA,NA
"6","2021-03-30 12:37:24-03","EAO","IAN","57329","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Terminalia","grandialata","Terminalia grandialata","Eichler",NA,"Martins-da-Silva, RCV","453",NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN057329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:01:35-03","NBC","NL-BOTANY","U.1217125","PreservedSpecimen","Plantae",NA,"Myrtales","Combretaceae","Terminalia","januarensis","Terminalia januarensis","DC.",NA,"Mexia YEJ",NA,"1930","Southern America","Brazil",NA,NA,"Plants of Brazil, Vicosa, Agricultural, college lands, at gate of eastern boundary, on evergrown slope in remmant of woods.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1217125 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1217125","NL-U1217125","11","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"8","2020-11-04 11:04:59-03","ESALQ","ESA","128759","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Combretaceae","Terminalia","januariensis","Terminalia januariensis",NA,"Franco, G.A.D.C.","Virillo, C.B.","207.0","2013",NA,"Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE Serraria - Trilha da Igrejinha","-47.5","-23.9599990844727",NA,"sem látex","ESA128759",NA,"04","02","41034","463","463","auto","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 10:55:24-03","ESALQ","ESA","132719","PreservedSpecimen","Plantae",NA,NA,"Combretaceae","Terminalia","januariensis","Terminalia januariensis",NA,NA,"Souza, V.C.",NA,"2013",NA,"Brasil","São Paulo","Nova Odessa","Canteiro Central da Avenida Brasil, próximo ao Instituto Plantarum.","-47.2900009155273","-22.7700004577637",NA,"Árvore, ca. 8 m alt. Vegetativo.","ESA132719",NA,"07","02","8440",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:27:02-03","MN","R","8867","PreservedSpecimen","Plantae",NA,NA,"Combretaceae","Terminalia","januarensis","Terminalia januarensis","DC.","Silva, N.M.F.","Glaziou, A.F.M.","8668","1876",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000008867","R000008867_001","11","08",NA,NA,NA,NA,"1981","01",NA,NA,NA,NA,NA,NA,NA,NA
"11","2015-07-02 14:01:28-03","JBP","HPL","2387","S","Plantae",NA,NA,"Combretaceae","Terminalia","cf. januarensis","Terminalia cf. januarensis","DC.","H. Lorenzi","H. Lorenzi","1932","1998",NA,"Brasil","ES","São Gabriel","Coletado na Fazenda Lorenzoni.",NA,NA,NA,NA,NA,NA,"01","28",NA,NA,NA,NA,"1998","01","28",NA,NA,NA,NA,NA,NA,NA
"12","2015-07-02 14:01:28-03","JBP","HPL","12109","S","Plantae",NA,NA,"Combretaceae","Terminalia","januarensis","Terminalia januarensis",NA,"E. Franco","E. Franco","71","2009",NA,"Brasil","SP","Campinas","Coletado e cultivado no Instituto Agronômico de Campinas (IAC, Fazenda Santa Elisa).","-47.06","-22.9",NA,NA,NA,NA,"09","01","23900",NA,NA,"auto","2009","09","01",NA,NA,NA,NA,NA,NA,NA
"13","2015-07-02 14:01:28-03","JBP","HPL","2385","S","Plantae",NA,NA,"Combretaceae","Terminalia","januarensis","Terminalia januarensis","DC.","Jomar","H. Lorenzi","1905","1998",NA,"Brasil","BA","Arataca","Coletada na fazenda de Café do Sr. Wanderlino.","-39.4144","-15.2633",NA,NA,NA,NA,"04","22","19859",NA,NA,"auto","1998","04","22",NA,NA,NA,NA,NA,NA,NA
