"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01112521","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Menispermaceae","Ungulipetalum","filipendulum","Ungulipetalum filipendulum","(Mart.) Moldenke","J. M. A. Braga","G. G. Hatschbach","55595","1991","06","17","South America","Brazil","Espírito Santo","Afonso Cláudio","Empossado","-41.1239","-20.0744","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1210888' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112521","NY01112521_01",NA,NA,NA,NA,NA,NA
"2","2020-04-27 16:10:38-03","UFES","VIES","11373","S","Plantae",NA,NA,"Menispermaceae","Ungulipetalum","filipendulum","Ungulipetalum filipendulum","(Mart.) Moldenke","Feliz, P.","Borgo, J.H.","14","2000","01","19",NA,"Brasil","Espírito Santo","Serra","Nova Almeida.","-40.3078002929688","-20.1285991668701",NA,NA,NA,NA,"VIES011373","VIES011373","2016","09","27","16451","auto",NA
"3","2020-04-27 16:10:38-03","UFES","VIES","827","S","Plantae",NA,NA,"Menispermaceae","Ungulipetalum","filipendulum","Ungulipetalum filipendulum","(Mart.) Moldenke","P. Feliz","Pereira, O.J.","454","1985","10","21",NA,"Brasil","Espírito Santo","Vitória","Campus da UFES.","-40.3377990722656","-20.3194007873535",NA,NA,NA,NA,"VIES000827","VIES000827","2016","09","27","15291","auto",NA
"4","2020-04-27 16:10:38-03","UFES","VIES","19845","S","Plantae",NA,NA,"Menispermaceae","Ungulipetalum","filipendulum","Ungulipetalum filipendulum","(Mart.) Moldenke","Feliz, P.","Pereira, O.J.","7129","2003","04","10",NA,"Brasil","Espírito Santo","Vitória","Parque Estadual da Fonte Grande.","-40.3377990722656","-20.3194007873535",NA,NA,NA,NA,"VIES019845","VIES019845","2016","09","27","15291","auto",NA
"5","2020-04-27 16:10:38-03","UFES","VIES","19990","S","Plantae",NA,NA,"Menispermaceae","Ungulipetalum","filipendulum","Ungulipetalum filipendulum","(Mart.) Moldenke","P. Feliz","Pereira, O.J.","7029","2002","12","19",NA,"Brasil","Espírito Santo","Vitória","Parque Estadual da Fonte Grande.","-40.3377990722656","-20.3194007873535",NA,NA,NA,NA,"VIES019990","VIES019990","2016","09","27","15291","auto",NA
"6","2015-09-04 01:15:38-03","MNHN","RECOLNAT_MNHN_P","P02373845","PreservedSpecimen",NA,NA,NA,"Menispermaceae","Ungulipetalum","filipendulum","Ungulipetalum filipendulum","(Mart.) Moldenke",NA,"Glaziou, A.",NA,"1882","11","1",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Brésil (Rio Janeiro) São Cristóvão. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.2075004577637","-22.9027996063232",NA,NA,"hb","Prélèvement de feuille pour Wang W., Beijing, chine, 06/2017, demande n° 86170 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02373845' target='other'> <mi>dwc_moreinfo</mi></a>","P02373845","P02373845_01",NA,NA,NA,"57442","auto","13420"
"7","2015-09-04 01:24:13-03","MNHN","RECOLNAT_MNHN_P","P02373844","PreservedSpecimen",NA,NA,NA,"Menispermaceae","Ungulipetalum","filipendulum","Ungulipetalum filipendulum","(Mart.) Moldenke",NA,"Glaziou, A.",NA,"1882","11","1",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Brèsil, São Cristóvão. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.2075004577637","-22.9027996063232",NA,NA,"hb","Prélèvement de feuille pour Wang W., Beijing, chine, 06/2017, demande n° 86170 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02373844' target='other'> <mi>dwc_moreinfo</mi></a>","P02373844","P02373844_01",NA,NA,NA,"57442","auto","13520"
"8","2015-09-04 01:15:38-03","MNHN","RECOLNAT_MNHN_P","P02373846","PreservedSpecimen",NA,NA,NA,"Menispermaceae","Ungulipetalum","filipendulum","Ungulipetalum filipendulum","(Mart.) Moldenke",NA,"Schreiner",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Cantagallo. Brésil. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.2075004577637","-22.9027996063232",NA,NA,"hb","Prélèvement de feuille pour Wang W., Beijing, chine, 06/2017, demande n° 86170 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02373846' target='other'> <mi>dwc_moreinfo</mi></a>","P02373846","P02373846_01",NA,NA,NA,"57442","auto",NA
