"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","38478","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","hatschbachii","Myrciaria hatschbachii","Mattos","isotype","G. G. Hatschbach","HH-7662","1961","01","22","South America","Brazil","Paraná","Campina","Gde. do Suo, rio pardinho","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00038478","NY00038478_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","616926","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","hatschbachii","Plinia hatschbachii","(Mattos) Sobral",NA,"G. G. Hatschbach","20962","1969","01","30","South America","Brazil","Paraná","Campina Grande do Sul","Serra Virgem Maria","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649080' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616926","NY00616926_01","M. Sobral","-49.0553","-25.3058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","616925","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Plinia","hatschbachii","Plinia hatschbachii","(Mattos) Sobral",NA,"G. G. Hatschbach","21695","1969","07","03","South America","Brazil","Paraná","Antonina","Sao Sebastiao","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649079' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616925","NY00616925_01","M. Sobral","-48.7117","-25.4286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:27-03","UFRJ","RFA","12346","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrciaria","hatschbachii","Myrciaria hatschbachii","Mattos",NA,"G.G. Hatschbach","20962","1969","01","30",NA,"Brasil","Paraná","Campina Grande do Sul","Serra Virgem Maria",NA,"Arvoreta 4 m, tronco 10 cm diâmetro, flor alva. Mata pluvial sombria, solo úmido base oriental da serra","RFA11609",NA,"G.G. Hatschbach","-49.0553016662598","-25.3055992126465","55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:27-03","UFRJ","RFA","8360","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrciaria","hatschbachii","Myrciaria hatschbachii","Mattos","Isotipo","G.G. Hatschbach","7662","1961","01","22",NA,"Brasil","Paraná","Campina Grande do Sul","Rio Pardinho",NA,"Arvoreta da mata pluvial","RFA34445",NA,"J.R. Mattos","-49.0553016662598","-25.3055992126465","55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:27-03","UFRJ","RFA","Foto 43281","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrciaria","hatschbachii","Myrciaria hatschbachii","Mattos",NA,"G.G. Hatschbach","7662","1961","01","22",NA,"Brasil","Paraná","Campina Grande do Sul","Rio Pardinho",NA,"Arvoreta da mata pluvial","RFA-Foto45312",NA,"J.R. Mattos","-49.0553016662598","-25.3055992126465","55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:20:27-03","UFRJ","RFA","13264","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrciaria","hatschbachii","Myrciaria hatschbachii","Mattos",NA,"G.G. Hatschbach","21695","1969","07","03",NA,"Brasil","Paraná","Antonina","São Sebastião",NA,"Arbusto 2 m, mata pluvial sombria (úmida vertente atlântica)","RFA12111",NA,"G.G. Hatschbach","-48.7118988037109","-25.4286003112793","38300","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-24 17:10:54-03","UTFPR","DVPR","3165","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Plinia","hatschbachii","Plinia hatschbachii","(Mattos) Sobral",NA,"Brotto, ML; Silva, JM; Mello, MCH","1771","2014","08","27",NA,"Brasil","Paraná","Adrianópolis","Parque Estadual das Lauráceas",NA,"Árvore 5 m, flores brancas e frutos.; Floresta Ombrófila Densa Montana","DVPR003165",NA,"Barboza, E","-48.4301","-24.5137",NA,NA,"2014","09","09","-48.4301","-24.5137","950","950",NA,NA,NA
"9","2020-02-08 10:07:23-03","NBC","NL-BOTANY","L.2528105","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrciaria","hatschbachii","Myrciaria hatschbachii","Mattos",NA,"Hatschbach GG",NA,"1969","01","30","Southern America","Brazil",NA,NA,"Paraná ( Brasil ). Mun. Campina Grande Sul. Serra Virgem Maria.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2528105 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2528105","NL-L2528105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"10","2020-02-08 10:07:23-03","NBC","NL-BOTANY","U.1452494","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrciaria","hatschbachii","Myrciaria hatschbachii","Mattos",NA,"Hatschbach GG",NA,"1964","02","10","Southern America","Brazil",NA,NA,"Paraná, mun. Campina Gde. do Sul. Rod. BR-2. Rio Trindade.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1452494 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1452494","NL-U1452494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
