"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","county","locality","individualCount","occurrenceRemarks","recordNumber","year","month","day","barcode","imagecode","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag"
"1","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","31","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","bocainense","Nidularium bocainense","Leme","Elton. C. M. Leme","2011","08","Luiz Carlos Gurken;","Brasil","Rio de Janeiro","São José do Barreto","Parque Nacional da Bocaína","2","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 10:02:40-03","IBt","SP","374434","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","bocainense","Nidularium bocainense","Leme","Moreira, BA","2005","02","Moreira, BA","Brasil","São Paulo",NA,"Parque Nacional da Bocaina, Cultivado no Instituto de Botânica.",NA,NA,"s.n.","2005","02","02","SP052046","SP052046",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 10:02:40-03","IBt","SP","402702","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","bocainense","Nidularium bocainense","Leme","Trindade Lima, T","2006","12","Trindade Lima, T; et al.","Brasil","São Paulo","Bananal","Serra da Bocaina, Trilha para a Cachoeira do Bracuí.",NA,NA,"168","2006","12","16","SP052044","SP052044","-44.433333","-22.8","-44.433333","-22.8","1200","1200",NA,NA
"4","2019-11-21 10:02:40-03","IBt","SP","402707","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","bocainense","Nidularium bocainense","Leme","Trindade Lima, T","2006","12","Trindade Lima, T; et al.","Brasil","São Paulo","Bananal","Serra da Bocaina, Trilha para a Cachoeira do Bracuí.",NA,NA,"164","2006","12","16","SP052043","SP052043","-44.433333","-22.8","-44.433333","-22.8","1200","1200",NA,NA
"5","2019-11-21 10:02:40-03","IBt","SP","367801","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","bocainense","Nidularium bocainense","Leme","Moreira, BA","2000","01","Catharino, ELM","Brasil","São Paulo","Bananal","Vale do Rio Paca.",NA,NA,"s.n.","1994","09","29","SP052045","SP052045","-44.3199996948242","-22.6800003051758",NA,NA,NA,NA,"26795","auto"
