"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","coordinatePrecision","geoFlag","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","886096","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Adiantum","discolor","Adiantum discolor","E.J.Prado","P. H. Labiak E.","P. H. Labiak E.","3702","2006","08","09","South America","Brazil","Bahia","Buerarema","Rodovia Buerarema - São José da Vitória (BR101), ramal à esquerda, ca. 15 km de Buerarema. Entrada à direita, ca. 10 km da BR. Fazenda Santa Rosa, entrada ca. 500 m à direita.","-39.2994","-14.9594","150","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886096","NY00886096_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","335406","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Adiantum","discolor","Adiantum discolor","E.J.Prado",NA,"C. Kameyama","82","1993","05","22","South America","Brazil","Bahia","Una","Estrada Sao José da Vitória-Una, ca. 7.5 km. da BR 101. Fazenda Santa Maria e arredores","-39.0753","-15.2933",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337616' target='other'> <mi>dwc_moreinfo</mi></a>","NY00335406","NY00335406_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","886095","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Adiantum","discolor","Adiantum discolor","E.J.Prado","P. H. Labiak E.","P. H. Labiak E.","3700","2006","08","09","South America","Brazil","Bahia","Buerarema","Rodovia Buerarema - São José da Vitória (BR101), ramal à esquerda, ca. 15 km de Buerarema. Entrada à direita, ca. 10 km da BR. Fazenda Santa Rosa, entrada ca. 500 m à direita.","-39.2994","-14.9594","150","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886095","NY00886095_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01091254","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Adiantum","discolor","Adiantum discolor","E.J.Prado","J. Prado","P. Fiaschi","1289","2003","02","05","South America","Brazil","Bahia","Buerarema","Rodovia Buerarema - São José da Vitória (Br 101), ramal à esq., ca. 15 km de Buerarema. Entrada à direita, ca. 9.5 km da BR. Fazenda Sta. Rosa, entrada ca. 500 m. á dir. Proprietário: José Elias.","-39.2888889","-15.1052778","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1229691' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091254","NY01091254_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:26:10-03","UFBA","ALCB","86762","PreservedSpecimen","Plantae","Fern",NA,"Pteridaceae","Adiantum","discolor","Adiantum discolor","J. Prado","Prado, J","Ramos, C.H.A.; Guedes, ML; et al.","444","2008","10","27","Southern America","Brasil","Bahia","Itacaré","Litoral Sul, Mata do Cacau.","-39.722222","-14.167222",NA,NA,NA,"Terrestre, rizoma rastejante, estipite com escamas amarronzadas. Lâminas 1,2-pinadas, cartáceas, Aparelho esporífero na margem reflexa da pina.",NA,NA,NA,"2009","07","16","-39.722222","-14.167222",NA,NA,NA,NA,NA
"6","2020-09-29 14:53:44-03","UFPR","UPCB","63414","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Pteridaceae","Adiantum","discolor","Adiantum discolor","J.Prado","Labiak, P.H.","Labiak, P.H.","3700","2006","08","09",NA,"Brasil","Bahia","Buerarema","Rodovia Buerarema - São José da Vitória (BR 101), ramal à esquerda, ca. 15km de Buerarema, entrada à direita, ca. 10km da BR. Fazenda Santa Rosa, entrada ca. 500m à direita.","-39.288889","-15.105278","150","150",NA,"Terrestre no interior da mata de encosta. Rizoma ramificado. Floresta ombrófila densa submontana..","UPCB0000317","UPCB0000317",NA,"2006","08",NA,"-39.288889","-15.105278",NA,NA,NA,NA,NA
"7","2020-09-29 14:53:44-03","UFPR","UPCB","63417","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Pteridaceae","Adiantum","discolor","Adiantum discolor","J.Prado","Labiak, P.H.","Labiak, P.H.","3702","2006","08","09",NA,"Brasil","Bahia","Buerarema","Rodovia Buerarema - São José da Vitória (BR 101), ramal à esquerda, ca. 15km de Buerarema, entrada à direita, ca. 10km da BR. Fazenda Santa Rosa, entrada ca. 500m à direita.","-39.288889","-15.105278","150","150",NA,"Terrestre no interior da mata de encosta. Floresta ombrófila densa submontana..","UPCB0000316","UPCB0000316",NA,"2006","08",NA,"-39.288889","-15.105278",NA,NA,NA,NA,NA
"8","2009-11-02 15:01:00-02","MO","MOBOT","100224919","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","discolor","Adiantum discolor","J. Prado","J. Prado","Pedro Fiaschi","Fiaschi 1289","2003","2","5","South America","Brazil","Bahia","Buerarema","Rodovia Buerarema - São José da Vitória (BR 101), ramal à esq., ca. 15 km de Buerarema. Entrada à direita, ca. 9,5 km da BR. Fazenda Sta. Rosa, entra ca. 500 m á dir. Proprietário: José Elias.","-39.2888889","-15.1052778","600.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"9","2019-11-13 11:29:36-03","USP","SPF","80079","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","discolor","Adiantum discolor","J.Prado","Prado, J","Kameyama, C; Esteves, GL","82","1993","05","22",NA,"Brasil","Bahia","Una","Estrada São José da Vitória - Una, ca. 7,5 km da BR 101.&nf;Fazenda Santa Maria e arredores. Mata higrófila sul-baiana.","-39.0752983093262","-15.2932996749878",NA,NA,NA,"Terrestre. Interior da mata.","SPF00080079","SPF00080079","isotype","2000","08","18",NA,NA,NA,"36070","auto",NA,NA
"10","2019-10-07 09:38:49-03","UEFS","HUEFS","114219","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Adiantum","discolor","Adiantum discolor","J.Prado",NA,"Amorim, A.M.","3700","2006","08","09",NA,"Brasil","Bahia","Buerarema","Rodovia Buerarema - São José da Vitória (BR 101), ramal à direita, ca. 10 km da BR. Faz. Santa Rosa, entrada ca. 500 m à direita.","-39.288889","-15.105278","150","150",NA,"Floresta Ombrófila Densa Sub-montana.","HUEFS0114219","HUEFS0114219 HUEFS0114219_01",NA,NA,NA,NA,"39W17'20''","15S6'19''",NA,NA,NA,"Polypodiopsida",NA
