"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1033321","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Phytolaccaceae","Microtea","bahiensis","Microtea bahiensis","Marchior. & J.C.Siqueira","J. R. Abbott","isotype","A. M. V. de Carvalho","706","1981","05","23","South America","Brazil","Bahia","Salvador","Ca. 30 km a N do centro de Salvador. Estrada para o aeroporto. Arredores de Itapuã.","-38.5106","-12.9711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1217712' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033321","NY01033321_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-19 15:44:49-03","UNEB","HUNEB","1366","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Phytolaccaceae","Microtea","bahiensis","Microtea bahiensis","Marquioretto et J.C.Siqueira",NA,NA,"Queiroz, L.P.de","23438","1996","08","30",NA,"Brasil","Bahia","Salvador","Itapuã. Atrás do Condomínio Stella Maris.","-38.510799407959","-12.9710998535156",NA,NA,"HUNEB0001366",NA,"Dicotyledoneae","26018","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:22:34-03","UFBA","ALCB","028761","PreservedSpecimen","Plantae","Dicotyledon",NA,"Phytolaccaceae","Microtea","bahiensis","Microtea bahiensis","Marchior. & Siqueira",NA,NA,"Guedes, ML; Reitermajer, D; Viana, JC","4012","1996","09","21","Southern America","Brasil","Bahia","Mata de São João","Litoral Norte, Santo Antônio","-37.883333","-12.383333",NA,"ca. 10cm de altura. Folhas carnosas, crassas, concolor. Inflorescência com flores amarelas.; Arbórea, com presença de áreas úmidas. Presença de dunas de ca. 10m. Substrato arenoso.",NA,NA,NA,NA,NA,"-37.883333","-12.383333",NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:22:34-03","UFBA","ALCB","10244","PreservedSpecimen","Plantae","Dicotyledon",NA,"Phytolaccaceae","Microtea","bahiensis","Microtea bahiensis","Marchior. & Siqueira","Marchioretto, MS; Siqueira",NA,"Queiroz, LP de","496","1983","02","27","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Dunas de Itapuã","-38.5","-12.966667",NA,"Rasteira. Folhas apenas na base, membranáceas, concolor. Flores singelas, inconspícuas, esverdeadas.",NA,NA,NA,NA,NA,"-38.5","-12.966667","1995","07",NA,NA,NA,NA
"5","2019-08-27 13:28:43-03","IAP","PACA-AGP","76854","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Microteaceae","Microtea","bahiensis","Microtea bahiensis","Marchioretto & J.C. Siqueira","M.S. Marchioretto","Paratipo","L. Paganucci de Queiroz","544","1983","04","20",NA,"Brasil","BA","Salvador","Itapuã","-38.510799407959","-12.9710998535156",NA,"planta herbácea rasteira, toda verde, folhas verdes um pouco carnosas, inflorescências eretas, flores inconspícuas verdes;&nf;PARATYPUS. Habitat: dunas Fenofase: flor","PACA076854","PACA076854","Magnoliatae","26018","auto",NA,NA,"1996","05","07",NA,NA,NA
"6","2019-11-01 13:57:51-03","IAP","PACA-AGP","76857","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Microteaceae","Microtea","bahiensis","Microtea bahiensis","Marchioretto & J.C. Siqueira","M.S. Marchiooretto","Paratipo","L. Paganucci de Queiroz","3211","1993","06","08",NA,"Brasil","BA","Salvador","Itapuã, atrás do Hotel Stella Maris, N do Condomínio Alamedas da Praia","-38.349722","-12.933611",NA,"PARATYPUS.&nf;Dunas arenosas com thickets espessos nos vales separados por áreas quase desnudas nos altos; erva prostada a decumbente com xilopódio, folhas ligeiramente suculentas, flores verdes, anteras amarelas; comum nas áreas aber","PACA076857","PACA076857","Magnoliatae",NA,NA,"38º20'59W","12º56'01S","1996","05","07",NA,NA,NA
"7","2021-02-11 17:21:11-03","UFPR","UPCB","55248","PreservedSpecimen","Plantae",NA,NA,"Phytolaccaceae","Microtea","bahiensis","Microtea bahiensis","M.S.Marchioretto & J.C.de Siqueira",NA,NA,"Carneiro-Torres, D.S","394","2005","07","28",NA,"Brasil","Bahia","Jaguarari","Juacema. Fazenda Pé de Serra. Vertente da Serra, trilha do corisco''.","-40.238889","-10.184444",NA,"Subarbustos de ramos ascendentes 30-70cm alt. Folha herbácea, inflorescência com eixo verde, flor creme. Vegetação arbustiva, densa, com licuri..",NA,NA,NA,NA,NA,"-40.238889","-10.184444",NA,NA,NA,"806","806",NA
"8","2021-02-04 10:29:23-03","UFRPE","HST","10982","PreservedSpecimen","Plantae",NA,NA,"Microteaceae","Microtea","bahiensis","Microtea bahiensis","Marquior. & J.C.Siqueira","J.Siqueira",NA,"L.P. de Queiroz","4681","1996","08","30",NA,"Brasil","Bahia","Salvador","Dunas de Itapuã","-38.510799407959","-12.9710998535156",NA,"Erva prostada com sistema subterrâneo bem desenvolvido, parte área congesta formando #?#almofada#?# de onde partem ramos alongados que portam ramos inflorescência. Folhas suculentas. Flores com tépalas verdes. Flores com androceu e gineceu","HST010982",NA,NA,"26018","auto",NA,NA,"1996","10",NA,NA,NA,NA
"9","2019-11-13 11:28:09-03","USP","SPF","184249","PreservedSpecimen","Plantae",NA,NA,"Phytolaccaceae","Microtea","bahiensis","Microtea bahiensis","Marchior. & J.C.Siqueira","Costa, J",NA,"Costa, J","261","1999","07","02",NA,"Brasil","Minas Gerais","Abaeté","Stella Maris, APA do Abaeté, condomínio Petromar.","-38.358333","-12.941667",NA,NA,"SPF00184249",NA,NA,NA,NA,"-38.358333","-12.941667","1999","07",NA,NA,NA,NA
"10","2019-10-07 09:18:49-03","UEFS","HUEFS","98306","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Microteaceae","Microtea","bahiensis","Microtea bahiensis","Marchior. & J.C.Siqueira",NA,NA,"Carneiro-Torres, D.S.","394","2005","07","28",NA,"Brasil","Bahia","Jaguarari","Juacema. Fazenda Pé de Serra. Vertente da Serra, trilha do corisco.","-40.238889","-10.184444",NA,"Vegetação arbustiva, densa, com licuri.","HUEFS0098306","HUEFS0098306","Caryophyllanae",NA,NA,"40W14'20''","10S11'4''",NA,NA,NA,"806","806",NA
