"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","recordedBy","recordNumber","year","month","day","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","typeStatus","dayIdentified","class","fieldNumber","individualCount"
"1","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","3464","S","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","macrocarpa","Lavoisiera macrocarpa","Naudin","Luiz Gluck","2014","08","Brasil","Minas Gerais","Presidente Kubitschek","Distrito de Andrequicé, Comunidade Andrequicé.","-43.562198638916","-18.6144008636475","79390552","6441397","13347","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1018002","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","macrocarpa","Lavoisiera macrocarpa","Naudin",NA,NA,NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó. 20 km beyond turnoff to Serra Morena off the road from lagoa Santa to Conceição to Mato Dentro. Parque Nacional Serra do Cipó at the Vellozia Gigante site ca. 0.5 km from main road.","-43.51","-19.2483",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238465' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"F. Almeda","8579","2001","10","22","South America","1276","1276","sheet","NY01018002","NY01018002_01",NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","228693","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","serrulata","Lavoisiera serrulata","Cogn.",NA,NA,NA,"Brazil",NA,NA,"In Tejuco",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646477' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"L. Riedel",NA,"1824",NA,NA,"South America",NA,NA,"sheet","NY00228693",NA,"syntype",NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","228694","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","serrulata","Lavoisiera serrulata","Cogn.",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646479' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"G. Gardner","4579","1836",NA,NA,"South America",NA,NA,"sheet","NY00228694",NA,"isosyntype",NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","228675","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","serrulata","Lavoisiera serrulata","Cogn.",NA,NA,NA,"Brazil","Mato Grosso",NA,"In humidis graminibus prope Tejuco",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646478' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"L. Riedel","12269","1824","12",NA,"South America",NA,NA,"sheet","NY00228675",NA,"syntype",NA,NA,NA,NA
"6","2020-11-13 09:20:13-03","UFRJ","RFA","11441","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lavoisiera","macrocarpa","Lavoisiera macrocarpa","Naudin","J.J. Wurdack","1975",NA,"Brasil","Minas Gerais","Jaboticatubas",NA,"-43.7449989318848","-19.513599395752",NA,NA,"31264",NA,"auto","P. Occhioni; E.M. Occhioni & Carmem",NA,"1970","05","28",NA,NA,NA,NA,"RFA11116",NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:31:22-03","UFRJ","RFA","4777","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lavoisiera","serrulata","Lavoisiera serrulata","Cogn.","J. J. Wurdack","1975",NA,"Brasil","Rio de Janeiro","Itatiaia","Km 17","-44.5633010864258","-22.4960994720459",NA,NA,"19648","Arbusto, flor roxa Habito: Arbusto","auto","P. Occhioni","904","1947","03","12",NA,NA,NA,NA,"RFA25263",NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:13-03","UFRJ","RFA","23116","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lavoisiera","serrulata","Lavoisiera serrulata","Cogn.","F. Segadas-Vianna","1945","07","Brasil","Rio de Janeiro","Itatiaia","km 16, Planalto","-44.5633010864258","-22.4960994720459",NA,NA,"19648",NA,"auto","F. Segadas-Vianna",NA,"1945","03","07",NA,NA,NA,NA,"RFA18870",NA,NA,"25",NA,NA,NA
"9","2021-03-30 12:44:23-03","EAO","IAN","94660","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Lavoisiera","serrulata","Lavoisiera serrulata","Cogn.",NA,NA,NA,"Brasil","Rio de Janeiro","Itatiaia","Rio D'Ouro.","-44.5633010864258","-22.4960994720459",NA,NA,"19648",NA,"auto","Porto, PC","2752","1935","02","01","Southern America",NA,NA,NA,"IAN094660",NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:44:23-03","EAO","IAN","94664","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Lavoisiera","serrulata","Lavoisiera serrulata","Cogn.",NA,NA,NA,"Brasil","São Paulo","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,"21048",NA,"auto","Porto, PC","3149","1937","02","20","Southern America",NA,NA,NA,"IAN094664",NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:02:56-03","NBC","NL-BOTANY","L.2534500","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lavoisiera","serrulata","Lavoisiera serrulata","Cogn.",NA,NA,NA,"Brazil",NA,NA,"Proced. S. Paulo, Campes do Jordão.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2534500 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lanstyack D",NA,"1937","04","01","Southern America",NA,NA,NA,"NL-L2534500","NL-L2534500",NA,NA,"Magnoliopsidae",NA,NA
"12","2020-02-08 10:02:56-03","NBC","NL-BOTANY","L.2534501","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lavoisiera","serrulata","Lavoisiera serrulata","Cogn.",NA,NA,NA,"Brazil",NA,NA,"Brasilia.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2534501 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Riedel L",NA,NA,NA,NA,"Southern America",NA,NA,NA,"NL-L2534501","NL-L2534501",NA,NA,"Magnoliopsidae",NA,NA
"13","2020-02-08 10:02:56-03","NBC","NL-BOTANY","U.1394766","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lavoisiera","serrulata","Lavoisiera serrulata","Cogn.",NA,NA,NA,"Brazil",NA,NA,"Estado de São Paulo-Campos de Jordão.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1394766 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Porto C",NA,"1937","02","05","Southern America",NA,NA,NA,"NL-U1394766","NL-U1394766",NA,NA,"Magnoliopsidae",NA,NA
"14","2020-02-08 10:02:56-03","NBC","NL-BOTANY","U.1394767","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lavoisiera","serrulata","Lavoisiera serrulata","Cogn.",NA,NA,NA,"Brazil",NA,NA,"Estado de São Paulo-Campos de Jordão.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1394767 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Porto C",NA,"1937","02","05","Southern America",NA,NA,NA,"NL-U1394767","NL-U1394767",NA,NA,"Magnoliopsidae",NA,NA
"15","2020-02-08 10:02:56-03","NBC","NL-BOTANY","U.1394768","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lavoisiera","serrulata","Lavoisiera serrulata","Cogn.",NA,NA,NA,"Brazil",NA,NA,"Estado do Rio - Itatiaia- Rio D'ouro.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1394768 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Porto PC",NA,"1935","02","01","Southern America",NA,NA,NA,"NL-U1394768","NL-U1394768",NA,NA,"Magnoliopsidae",NA,NA
"16","2020-02-08 10:02:56-03","NBC","NL-BOTANY","U.1394769","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lavoisiera","serrulata","Lavoisiera serrulata","Cogn.",NA,NA,NA,"Brazil",NA,NA,"Estado do Rio - Itatiaia- Rio D'ouro.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1394769 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Porto PC",NA,"1935","02","01","Southern America",NA,NA,NA,"NL-U1394769","NL-U1394769",NA,NA,"Magnoliopsidae",NA,NA
"17","2020-02-08 10:02:56-03","NBC","NL-BOTANY","U.1394770","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lavoisiera","serrulata","Lavoisiera serrulata","Cogn.",NA,NA,NA,"Brazil",NA,NA,"Est. de São Paulo - Campos de Jordão.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1394770 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lanstyack D",NA,"1937","04","01","Southern America",NA,NA,NA,"NL-U1394770","NL-U1394770",NA,NA,"Magnoliopsidae",NA,NA
