"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","relationshipType","previousCatalogNumber","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:34:14-03","UNESC","CRI","3609","PreservedSpecimen","Plantae","Urticaceae","Cecropia","glaziovii","Cecropia glaziovii","Snethl.","F.S. Cabral","2017","04","11","Vanilde Citadini Zanette; et al.","2007","1995","01","16","Brasil","Santa Catarina","Morro Grande","Pingador, Três Barras.","-49.721667","-28.800833","49º43'18''W","28º48'3''S","85","85","CRI007782","CRI007782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:11-03","UNESC","CRI","12232","PreservedSpecimen","Plantae","Urticaceae","Cecropia","glaziovii","Cecropia glaziovii","Snethl.","Verdi, M","2010","01","25","Verdi, M; Tomazi, AL & Klemz, G","3338","2009","12","02","Brasil","Santa Catarina","Morro da Fumaça","Estação Cocal","-49.232222","-28.619167","49º13'56''W","28º37'9''S","50","50","CRI010413",NA,"Doação Herbário FURB (18481) Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:11-03","UNESC","CRI","1438","PreservedSpecimen","Plantae","Urticaceae","Cecropia","glaziovii","Cecropia glaziovii","Snethl.","Jorge Pedro Pereira Carauta",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1521","1993","01","14","Brasil","Santa Catarina","Orleans","Rio Novo - Coletada na mata do Sr. Sufinsk.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI007780","CRI007780","Habitat: beira de mata atlântica secundária de encosta Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:11-03","UNESC","CRI","7885","PreservedSpecimen","Plantae","Urticaceae","Cecropia","glaziovii","Cecropia glaziovii","Snethl.","Vanilde Citadini- Zanette","2008","04","20","Jean Gabriel Cemin",NA,"2008","02","22","Brasil","Paraná","Turvo",NA,"-51.53","-25.043333","51º31'48''W","25º2'36''S",NA,NA,"CRI007779","CRI007779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:14-03","UNESC","CRI","3580","PreservedSpecimen","Plantae","Urticaceae","Cecropia","glaziovii","Cecropia glaziovii","Snethl.","F.S. Cabral","2017","04","11","Vanilde Citadini Zanette",NA,"1995","01","16","Brasil","Santa Catarina","Morro Grande","Pingador, Três Barras.","-49.721111","-28.801111","49º43'16''W","28º48'4''S","300","300","CRI007781","CRI007781","Interior da mata, em Mata Atlântica de encosta.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:26:11-03","UNESC","CRI","13698","PreservedSpecimen","Plantae","Urticaceae","Cecropia","glaziovii","Cecropia glaziovii","Snethl.","Alexandre Medeiros","2017","11","13","Alexandre Medeiros",NA,"2017","11","13","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"CRI012305",NA,"Coleta 778 Habitat: Terrestre Habito: Arbóreo","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","634119","PreservedSpecimen","Plantae","Urticaceae","Cecropia","glaziovii","Cecropia glaziovii","Snethl.","C. C. Berg",NA,NA,NA,"P. K. H. Dusén","14043","1912","03","31","Brazil","Paraná",NA,"Volta Grande, ad marg. silv. prim",NA,NA,NA,NA,NA,NA,"NY00634119","NY00634119_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649436' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Rosales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","634113","PreservedSpecimen","Plantae","Urticaceae","Cecropia","glaziovii","Cecropia glaziovii","Snethl.","C. C. Berg",NA,NA,NA,"W. W. Benson",NA,"1979","12","18","Brazil","São Paulo","Ubatuba","Estrada da Fazenda Velha, km 6","-45.0697","-23.4303",NA,NA,NA,NA,"NY00634113","NY00634113_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649438' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Rosales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","634120","PreservedSpecimen","Plantae","Urticaceae","Cecropia","glaziovii","Cecropia glaziovii","Snethl.","W. W. Thomas",NA,NA,NA,"W. W. Thomas","7097","1991","07","01","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on road to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231",NA,NA,NA,NA,"NY00634120","NY00634120_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649428' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Rosales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","634125","PreservedSpecimen","Plantae","Urticaceae","Cecropia","glaziovii","Cecropia glaziovii","Snethl.","C. C. Berg",NA,NA,NA,"W. W. Benson",NA,"1979","12","17","Brazil","São Paulo","Ubatuba","Rio Escuro, Praia Dura","-45.0697","-23.4303",NA,NA,NA,NA,"NY00634125","NY00634125_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649439' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Rosales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","634122","PreservedSpecimen","Plantae","Urticaceae","Cecropia","glaziovii","Cecropia glaziovii","Snethl.","C. C. Berg",NA,NA,NA,"C. C. Berg","1146","1980","04","01","Brazil","Bahia","Sao José","Road from Rod. Sao José-Buerarema to Una, km 29",NA,NA,NA,NA,NA,NA,"NY00634122","NY00634122_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649426' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Rosales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","634124","PreservedSpecimen","Plantae","Urticaceae","Cecropia","glaziovii","Cecropia glaziovii","Snethl.","C. C. Berg",NA,NA,NA,"J. P. P. Carauta","20","1960","03","08","Brazil","Rio de Janeiro",NA,"Tijuca, Estrada da Vista Chinesa em frente ao Centro de Pesquisas",NA,NA,NA,NA,NA,NA,"NY00634124","NY00634124_01 NY00634124_02","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649434' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Rosales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","634112","PreservedSpecimen","Plantae","Urticaceae","Cecropia","glaziovii","Cecropia glaziovii","Snethl.","C. C. Berg; P. Franco Rosselli",NA,NA,NA,"L. Riedel","74",NA,NA,NA,"Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,NA,NA,"NY00634112","NY00634112_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649442' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Rosales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","634108","PreservedSpecimen","Plantae","Urticaceae","Cecropia","glaziovii","Cecropia glaziovii","Snethl.","R. W. A. P. Akkermans",NA,NA,NA,"S. A. Mori","11357","1979","02","05","Brazil","Bahia","Maraú","Rod. BR 030, trecho Ubaitaba/Maraú, km 33","-39.093411","-14.2248098",NA,NA,NA,NA,"NY00634108","NY00634108_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649424' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Rosales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","634114","PreservedSpecimen","Plantae","Urticaceae","Cecropia","glaziovii","Cecropia glaziovii","Snethl.","C. C. Berg",NA,NA,NA,"R. Reitz","2902","1956","03","29","Brazil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6617","-26.9081",NA,NA,"20","20","NY00634114","NY00634114_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649437' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Rosales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
