"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","222489","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Ottonia","villosa","Ottonia villosa","Yunck.","isotype","A. P. Duarte","4012","1953","11","25","South America","Brazil","Espírito Santo","Arredores de Santa Thereza","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=135115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00222489","NY00222489_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:41:44-03","UFJF","CESJ","52349","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Piper","duartei","Piper duartei","E.F.Guim. et M.Carvalho-Silva",NA,"D. Monteiro; J.A. Oliveira; F.S. Souza; A.C. Mezzonato; J.H.C. Ribeiro","379","2008","10","25","América do Sul","Brasil","Minas Gerais","Serra Negra, RPPN Fazenda Serra Negra. Cachoeirinha da Borboleta Azul.",NA,"Arbusto ca. 2m de altura, semi-ciófilo, lâmina discolor. Inflorescência ereta branca.","CESJ052349",NA,"D. Monteiro","2010","Lima Duarte","-43.793098449707","-21.8425006866455","30417","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:39:41-03","MBM","MBM","392876","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","duartei","Piper duartei","E.F. Guim. & M. Carvalho-Silva",NA,"Fraga, C.N.; Fontana, A.P.; Goldenberg, R.; Kollmann, L.; Amorim, A.M.; Daneu, L; Fontana, A.P.; Goldenberg, R.; Kollmann, L.; Amorim, A.M.; Daneu, L.","2494","2009","04","12","Southern America","Brazil","Espírito Santo","Reserva Biológica de Duas Bocas, Pau amarelo, ex-condomínio rural Cantinho do Céu",NA,"Arbusto ca. 50cm. Folhas verdes com centro prateado. Frutos verdes.; Floresta Ombrófila Densa Montana.","MBM392876","MBM392876","Carvalho-Silva, M.","2014","Cariacica","-40.540556","-20.278333",NA,NA,"02","-40.540556","-20.278333","619","619",NA,NA
"4","2020-12-11 11:40:06-03","UFMG","BHCB","11494","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Ottonia","villosa","Ottonia villosa minensis","E.F.Guim.",NA,"Mosqueira, VCF","s.n.","1987","11","15","Southern America","Brasil","Minas Gerais","Serra da Moeda",NA,"Arbusto com espigas descontínuas, flores brancas.; Mata ciliar.","BHCB052472",NA,NA,"1998","Moeda","-43.966667","-20.3",NA,NA,"12","-43.966667","-20.3","1500","1500","minensis",NA
"5","2020-12-11 11:40:06-03","UFMG","BHCB","11494","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Ottonia","villosa","Ottonia villosa minensis","E.F.Guim.",NA,"Mosqueira, VCF","s.n.","1987","11","15","Southern America","Brasil","Minas Gerais","Serra da Moeda",NA,"Arbusto com espigas descontínuas, flores brancas.; Mata ciliar.","BHCB052472",NA,NA,"1998","Moeda","-43.966667","-20.3",NA,NA,"12","-43.966667","-20.3","1500","1500","minensis",NA
"6","2020-12-11 11:40:13-03","UFMG","BHCB","7734","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Piper","duartei","Piper duartei","E.F.Guim. & Carv.-Silva",NA,"Andrade, PM de; Lopes, MA","338","1984","09","22","Southern America","Brasil","Minas Gerais","Estação Biológica de Caratinga",NA,"Herbáceo. Flores brancas.; Mata Atlântica.","BHCB052594",NA,NA,"2019","Caratinga","-42.1391983032227","-19.7896995544434","49886","auto","10",NA,NA,NA,NA,NA,NA
"7","2021-02-11 17:21:14-03","UFPR","UPCB","66160","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","duartei","Piper duartei","E.F.Guim. & Carv.-Silva",NA,"Fraga, C.N. et al.","2494","2009","04","12",NA,"Brasil","Espírito Santo","Reserva Biológica Duas Bocas, Pau Amarelo, ex-Condomínio Rural Cantinho do Céu. Floresta Ombrófila Densa Montana.",NA,"Arbusto ca. 50cm. Folhas verde com centro prateado. Frutos verde..",NA,NA,"Silva, T.M.","2016","Cariacica","-40.540556","-20.278333",NA,NA,"08","-40.540556","-20.278333","619","619",NA,NA
"8","2019-11-07 08:46:00-03","MO","MOBOT","100895018","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Ottonia","villosa","Ottonia villosa","Yunck.",NA,"M. Alejandra Jaramillo|Ludovic Kollmann","Jaramillo 956","2005","6","11","South America","Brazil","Espírito Santo","Camino para Alto de Limoeiro.",NA,NA,NA,NA,"M.A. Jaramillo",NA,"Itarana","-40.875301361084","-19.8738994598389","23320","auto",NA,NA,NA,"400.00000000","930.00000000",NA,"1"
"9","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","29054",NA,"Plantae",NA,NA,"Piperaceae","Piper","duartei","Piper duartei","E.F.Guim. & Carv.-Silva",NA,"M. A. Jaramillo","928","2005","06","10",NA,"Brasil","Espírito Santo","São Lourenço, Mata Fria",NA,"Sufritice hasta 1m de alto. Común. Hojas verde intenso en el haz y pálidas en el envés. Vena central con cinta plateada. Inflorescencias erectas, verde en fruto.","MBML029054",NA,"D. Monteiro/20-06-2012",NA,"Santa Teresa","-40.683611","-19.931111",NA,NA,NA,"40W41'1","19S55'52",NA,NA,NA,NA
"10","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","29072",NA,"Plantae",NA,NA,"Piperaceae","Piper","duartei","Piper duartei","E.F.Guim. & Carv.-Silva",NA,"L. Kollmann","9453","2007","01","10",NA,"Brasil","Espírito Santo","Reserva Biológica de Duas Bocas",NA,"Arbusto 1m na sombra, espiga verde, folhas verde escuras com nervuras mais claras.","MBML029072",NA,"D. Monteiro/20-06-2012",NA,"Cariacica","-40.479167","-20.272778",NA,NA,NA,"40W28'45","20S16'22",NA,NA,NA,NA
