"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","2423264","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia","Sleumer","G. O. Romão","G. O. Romão","2527","2010","07","04","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipo. Rodovia MG-10, Cardeal Mota-Conceicao do Mato Dentro, bifurcacao para o Morro do Pilar","-43.49947","-19.22036","1338","1338","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685638' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423264","NY02423264_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:01:29-03","NBC","NL-BOTANY","L 0007184","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia","Sleumer","Romao GO","Saint-Hilaire AFCP de",NA,"1816","01","01","Southern America","Brazil","Minas Gerais",NA,"Brasil Minas GeraisSerra da Lapa",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200007184 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0007184","NL-L0007184","Magnoliopsidae","2009","06","01","holotype",NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:06:42-03","ESALQ","ESA","120713","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia",NA,"Romão, G.O.","Delfini, C.","285.0","2012","05","01",NA,"Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó, rodovia MG 10, km 131, bifurcação para o Morro do Pilar.","-43.49884","-19.2236","1337","1337",NA,"Subarbusto, ca. 15cm alt.","ESA120713","ESA120713",NA,NA,NA,NA,NA,"-43.49884","-19.2236",NA,NA,NA,NA
"4","2020-11-04 11:06:42-03","ESALQ","ESA","92074","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia",NA,NA,"Semir, J. ; Sazima, M.",NA,"1971","12","14",NA,"Brasil","Minas Gerais","Jaboticatubas",NA,"-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"ESA092074","ESA092074",NA,NA,NA,NA,NA,NA,NA,"31264","auto",NA,NA
"5","2020-11-04 11:06:42-03","ESALQ","ESA","79982","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia",NA,NA,"Romão, G.O. et al.","862.0","2002","02","28",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA079982","ESA079982",NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA
"6","2020-11-04 11:06:42-03","ESALQ","ESA","92075","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia",NA,NA,"Romão, G.O.","883.0","2003","01","10",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA092075","ESA092075",NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA
"7","2020-11-04 11:06:42-03","ESALQ","ESA","92078","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia",NA,NA,"Romão, G.O.","909.0","2003","01","10",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA092078","ESA092078",NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA
"8","2020-11-04 11:06:42-03","ESALQ","ESA","92076","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia",NA,NA,"Romão, G.O.","882.0","2003","01","10",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA092076","ESA092076",NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA
"9","2020-11-04 11:06:42-03","ESALQ","ESA","92080","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia",NA,NA,"Romão, G.O.","910.0","2003","01","10",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA092080","ESA092080",NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA
"10","2020-11-04 11:06:42-03","ESALQ","ESA","79983","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia",NA,NA,"Romão, G.O. et al.","863.0","2002","02","28",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA079983","ESA079983",NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA
