"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","identifiedBy","locality","phylum","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","coordinatePrecision","geoFlag","class","order","typeStatus","continentOcean","imagecode"
"1","2021-02-08 11:10:28-03","UNESP-IBB","BOTU","14519","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Bicudo, L.R.H.","310","1986","01","15","Brasil","São Paulo","Botucatu","-48.738611","-22.9","48°44'19w","22°54's","Planta de 30 cm de altura, inflorescência com botões vermelhos aveludados, sem odor","BOTU014519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-08 11:10:28-03","UNESP-IBB","BOTU","14514","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Bicudo, L.R.H.","1648","1986","11","01","Brasil","São Paulo","Botucatu","-48.284722","-22.8","48°17'5w","22°48's","Trepadeira, botões vermelho-abóbora","BOTU014514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-08 11:10:28-03","UNESP-IBB","BOTU","27966","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Ishara, K.L.","77","2008","03","19","Brasil","São Paulo","Pratânia","-48.733333","-22.8","48°44'w","22°48's","Trepadeira,flores amarelas, frutos verdes e amarelos","BOTU027966","Ishara, K.L.","Fazenda Palmeira da Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 11:10:28-03","UNESP-IBB","BOTU","23762","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Campos, C.J.","176","2003","01","08","Brasil","São Paulo","Pratânia","-48.743278","-22.813944","48°44'35,8w","22°48'50,2s","Cerrado; 0,60m de altura; flores e botões vermelhos, frutos verdes.; Coleção: Biota - Cerrado Pratânia","BOTU023762",NA,"Reserva Particular Palmeira da Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 11:10:28-03","UNESP-IBB","BOTU","27967","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Ishara, K.L.","39","2008","01","09","Brasil","São Paulo","Pratânia","-48.733333","-22.8","48°44'w","22°48's","Trepadeira, frutos verdes, pedúnculo floral vermelho","BOTU027967","Ishara, K.L.","Fazenda Palmeira da Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:30:50-03","UNESP-IBB","BOTU","20135","PreservedSpecimen","Plantae","Verbenaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Bertoncini, A.P.","536",NA,NA,NA,NA,NA,NA,NA,NA,"9999","9999",NA,"BOTU020135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-08 11:10:28-03","UNESP-IBB","BOTU","30911","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Bicudo, L.R.H.","1795","1996","03","27","Brasil","São Paulo","Botucatu","-48.916667","-22.916667","48°55'w","22°55's",NA,"BOTU030911",NA,"Mata do Moro da Igreja de Santo Antonio Rubião, distrito de Rubião Júnior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:42:49-03","UNICAMP","UEC","54503","S","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Cordeiro, I; Pirani, JR; Rossi, L; Furlan, A; Amaral, MCE","797","1981","04","13","Brazil","Minas Gerais","Grão Mogol","-42.583333","-16.416667","-42.583333","-16.416667","Trepadeira entre pedras. Flores amarelo-rosadas. Frutos cor de vinho.",NA,"Lombardi, JA","Campo rupestre atrás da cidade.","Magnoliopsida","1993","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:42:49-03","UNICAMP","UEC","54505","S","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Kameyama, C; Pirani, JR; Mello-Silva, R; Cordeiro, I; Meguro, M","9005","1986","01","07","Brazil","Minas Gerais","Grão Mogol","-42.583333","-16.416667","-42.583333","-16.416667","Trepadeira no campo entre arbustos, no solo arenoso, ca. 950m alt. Frutos verde-avermelhados.",NA,"Lombardi, JA","Próximo à saída na estrada para Francisco Sá","Magnoliopsida","1993","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:42:49-03","UNICAMP","UEC","54504","S","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Pirani, JR; Sano, PT; Freire-Fierro, A; Silva, TRS","12488","1989","12","11","Brazil","Minas Gerais","Grão Mogol","-42.583333","-16.416667","-42.583333","-16.416667","Trepadeira lenhosa, próximo da orla de mata ciliar. Ramos jovens e gavinhas vináceas, flores creme-vináceas e frutos imaturos verdes.",NA,"Lombardi, JA","Trilha da Tropa, no alto da Serra","Magnoliopsida","1993","12","1000","1200",NA,NA,NA,NA,NA,NA,NA,NA
