"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","relatedCatalogItem","previousCatalogNumber","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","418317","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","moirianum","Epidendrum moirianum","A.D.Hawkes","E. A. Christenson","F. C. Hoehne","3903","1920","04","21","South America","Brazil","São Paulo","Ribeirao Pires","Alto da Serra, Estaçao Biológica, Sao Paulo","-46.4097","-23.71","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452327' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418317","NY00418317_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:28-03","UFRJ","RFA","37725","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","ecostatum","Epidendrum ecostatum","Pabst","M. S. Wängler","M. S. Wängler; D. F. Massunaga; G. F. Mazzoni; N. Fortuna","445","2011","04","16",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Corina","-43.376389","-22.4475",NA,"Erva epífita de 37 cm; em 1,5 m no forófito; raízes brancas, espessas, cauloma ramificado, folhas dísticas, membranáceas; inflorescência em racemo, apical, brácteas florais, sépalas verde claro, ligeiramente côncavas, labelo verde claro","RFA38840",NA,"2012","04","06","43º22'35''W","22º26'51''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:46:13-03","NBC","NL-BOTANY","L.1508614","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Epidendrum","corymbosum","Epidendrum corymbosum","Ruiz & Pav.",NA,"Herzog T",NA,"1911","02","01","Southern America","Bolivia",NA,NA,"in itinere secundo per Boliviam lectae, Epiphyt an der Baumfrenje bei Tres Crures.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1508614 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1508614","NL-L1508614",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:17:30-03","ESALQ","ESA","22898","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Epidendrum","parahybunense","Epidendrum parahybunense","Barb. Rodr.","Forster, W.","Atkins, S. et al.",NA,"1994","03","01",NA,"Brasil","Bahia","Rio de Contas",NA,"-41.8114013671875","-13.5789003372192",NA,NA,"ESA022898",NA,NA,NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:17:30-03","ESALQ","ESA","84890","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Epidendrum","parahybunense","Epidendrum parahybunense","Barb. Rodr.","Forster, W.","Aguiar, A.C.; Silva, R.R.; Pereira, Z.V.; Cerqueira, R.M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Paula-Souza, J.; Muniz, M.","123.0","2003","04","15",NA,"Brasil","São Paulo","Ribeirão Grande","BLOQUEADO","-48.3600006103516","-24.0900001525879",NA,"Epífita. Flores verdes, labelo verde com ápice da coluna lilás claro","ESA084890","ESA084890","2003","01","01",NA,NA,NA,"25028","auto","810","810",NA,NA,NA,NA,NA,NA
"6","2021-01-28 09:15:00-03","MN","R","2846","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","corymbosum","Epidendrum corymbosum","Ruiz & Pav.",NA,"Freire Allemão, F.","1482",NA,NA,NA,NA,"Brasil","Ceará",NA,NA,NA,NA,NA,NA,"R000002846","R000002846_001 R000002846_002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:40:45-03","UFJF","CESJ","49331","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Epidendrum","parahybunense","Epidendrum parahybunense","Barb. Rodr.","N.L. Abreu","F.S. Souza; O.J. Bastos Neto; L.S.Abade; S.C.Gomides","277","2007","04",NA,"América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Ninho da Égua.","-43.8278007507324","-22.0891990661621",NA,"Epífita em interior de mata, flores verdes.","CESJ049331",NA,"2007","08","27",NA,NA,NA,"20815","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:40:45-03","UFJF","CESJ","60799","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Epidendrum","parahybunense","Epidendrum parahybunense","Barb. Rodr.","L. Menini Neto","F.E.Alves","s.n.","2011",NA,NA,"América do Sul","Brasil","Minas Gerais","Olaria","Serra do Cruz","-44.078333","-21.890278",NA,"Epífita, em floresta nebular. Flores verdes. Floresceu em cultivo em X.2010","CESJ060799",NA,"2010",NA,NA,"-44.078333","-21.890278",NA,NA,NA,"1400","1400",NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:20:10-03","UNICAMP","UEC","206759","S","Plantae","Liliopsida",NA,"Orchidaceae","Epidendrum","parahybunense","Epidendrum parahybunense","Barb.Rodr.","Forster, W","Nunes, CEP","2012/38","2012","12","20",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Trilha do Ipiranga, Núcleo Santa Virgínia, Parque Estadual da Serra do Mar","-45.133333","-23.316667",NA,"Erva epífita.; Áreas úmidas em beira de estrada e borda de mata em área de Floresta Ombrófila Densa Sub-Montana.","UEC098834","UEC098834","2018","06",NA,"-45.133333","-23.316667",NA,NA,NA,"80","1200",NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:00:42-03","UNICAMP","UEC","140051","S","Plantae","Liliopsida",NA,"Orchidaceae","Epidendrum","parahybunense","Epidendrum parahybunense","Barb.Rodr.","Pessoa, E","Gonçalves, RS","10",NA,NA,NA,NA,"Brazil","São Paulo","Apiaí","Sítio São Lucas","-49.077222","-24.335278",NA,"Data de floração: 08/III/05.","UEC037760","UEC037760","2013","08","22","-49.077222","-24.335278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-10-01 14:26:00-03","JBB","HEPH","30630","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Epidendrum","ecostatum","Epidendrum ecostatum","Pabst","Mancinelli, WS","Meyer, FS","s.n.","2004","04","16","Southern America","Brasil","Santa Catarina","São Bento do Sul","CEPA Rugendas","-49.3786010742188","-26.2502994537354",NA,NA,NA,NA,"2005","12","09",NA,NA,NA,"23090","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:44:30-03","UFMG","BHCB","113820","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","parahybunense","Epidendrum parahybunense","Barb.Rodr.",NA,"Batista, JAN; Mota, RC da; El Bizri, HR","1750","2006","12","10","Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Cerca de 36.6 km após a ponte sobre o córrego Soberbo em Cardeal Mota, campo a esquerda da pista MG 010, en direção a Conceição do Mato Dentro, morro com uma cruz, entrada para a parte de cima da Cachoeira do Tabuleiro","-43.519111","-19.157333",NA,"Erva epífita, em mata mesofítica. Flores verde-amarronzadas.",NA,NA,NA,NA,NA,"-43.519111","-19.157333",NA,NA,NA,"1357","1357",NA,NA,NA,NA,NA,NA
"13","2020-12-11 11:44:30-03","UFMG","BHCB","116343","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","parahybunense","Epidendrum parahybunense","Barb.Rodr.",NA,"Carmo, FF","1412","2007","11","13","Southern America","Brasil","Minas Gerais","Rio Acima","Serra de Gandarela/C1","-43.683111","-20.093806",NA,"Coletado em capão. Epífita. Afloramento de canga.",NA,NA,NA,NA,NA,"-43.683111","-20.093806",NA,NA,NA,"1624","1624",NA,NA,NA,NA,NA,NA
"14","2020-12-11 11:44:30-03","UFMG","BHCB","164367","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","parahybunense","Epidendrum parahybunense","Barb.Rodr.",NA,"Vidal, CV; Paula, RL de","1179","2011","12","12","Southern America","Brasil","Minas Gerais","Santa Bárbara","Serra do Gandarela","-43.686667","-20.094722",NA,"Herbáceo; Floresta semidecidual","BHCB036214","BHCB036214","2016","06","30","-43.686667","-20.094722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-11 11:44:30-03","UFMG","BHCB","181558","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","parahybunense","Epidendrum parahybunense","Barb.Rodr.",NA,"Tameirão Neto, E; Mansur, T","5358","2013","07","17","Southern America","Brasil","Minas Gerais","Santa Bárbara","Serra do Gandarela","-43.680381","-20.082328",NA,"Herbáceo; Epífita; frutos verdes; Floresta semidecidual",NA,NA,NA,NA,NA,"-43.680381","-20.082328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-11 11:44:30-03","UFMG","BHCB","188484","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","parahybunense","Epidendrum parahybunense","Barb.Rodr.",NA,"Pivari, MOD; Dias, SH; Avelar, R; Souza, NL","2854","2017","04","27","Southern America","Brasil","Minas Gerais","Mariana","Fazenda Córrego das Almas","-43.473056","-20.145278",NA,"Local muito úmido.; Herbácea. Epifítica. Flores amarelo claro.; Floresta Estacional Semidecidual.","BHCB188484",NA,"2017",NA,NA,"-43.473056","-20.145278",NA,NA,NA,"973","973",NA,NA,NA,NA,NA,NA
"17","2020-12-11 11:44:30-03","UFMG","BHCB","78163","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","parahybunense","Epidendrum parahybunense","Barb.Rodr.",NA,"Lombardi, JA; et al.","5182","2003","02","24","Southern America","Brasil","Espírito Santo","Santa Teresa","Reserva Santa Lúcia","-40.536","-19.969028",NA,"Mata pluvial, baixada. Erva epífita, folhas cartáceas, botões verdes.",NA,NA,NA,NA,NA,"-40.536","-19.969028",NA,NA,NA,"580","647",NA,NA,NA,NA,NA,NA
"18","2020-12-11 11:44:30-03","UFMG","BHCB","92359","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","parahybunense","Epidendrum parahybunense","Barb.Rodr.",NA,"Mota, RC da; et al.","2480","2004","10","10","Southern America","Brasil","Minas Gerais","Aiuruoca","Matutu","-44.603099822998","-21.9755992889404",NA,"erva epífita; flores verde-acastanhadas; Planta coletada em mata de galeria","BHCB001357","BHCB001357","2007","07",NA,NA,NA,NA,"27460","auto",NA,NA,NA,NA,NA,NA,NA,NA
