"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","imagecode","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","infraspecificEpithet","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","00909463","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","H. S. Irwin","22034","1969","01","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909463","Magnoliophyta","Malpighiales","A.Juss.","Minas Gerais",NA,NA,NA,"Serra do Espinhaço, ca. 27 km S.W. of Diamantina on road to Gouveia","-43.69275","-18.4205","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00909600","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","G. G. Hatschbach","49583","1985","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909600","Magnoliophyta","Malpighiales","A.Juss.","Minas Gerais","NY00909600_01","W. R. Anderson","Oliveira","Córrego Dias.","-44.8269","-20.6967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00909472","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","W. R. Anderson","7359","1973","03","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981778' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909472","Magnoliophyta","Malpighiales","A.Juss.","Goiás","NY00909472_01",NA,"Teresina de Goiás","Chapada dos Veadeiros, 4 km by road S of Terezina.","-47.2647","-13.81255","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","475854","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","J. C. Solomon","14786","1985","11","18","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619300' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475854","Magnoliophyta","Malpighiales","A.Juss.","El Beni",NA,"W. R. Anderson","José Ballivián","Estancia El Porvenir, 50 km E of the Rio Maniqui (San Borja) on the road to Trinidad","-66.42","-14.82","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00909468","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","R. M. Harley","10966","1968","11","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981734' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909468","Magnoliophyta","Malpighiales","A.Juss.","Mato Grosso","NY00909468_01",NA,NA,"47 km from Xavantina on Aragarças road.","-52.23","-14.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","475783","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","H. S. Irwin","8830","1965","09","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236605' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475783","Magnoliophyta","Malpighiales","A.Juss.","Distrito Federal","NY00475783_01",NA,"Brasília","Ca. 7 km E of Brasília, near Sobradinho.","-47.9294","-15.7797","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1856638","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","U. N. Maciel","140","1978","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2072294' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856638","Magnoliophyta","Malpighiales","A.Juss.","Pará","NY01856638_01",NA,"Santarém","Santa Terezinha, margem direita do Rio Tapajós","-54.7083","-2.44306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00998265","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","A. M. Giulietti","CFCR2447","1981","10","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00998265","Magnoliophyta","Malpighiales","A.Juss.","Minas Gerais","NY00998265_01","R. Volpi",NA,"Estr. Diamantina - Biribiri, a 14 km de Diamantina, Prox. do corrego Soberbo.",NA,NA,"3300","3300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00909471","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","A. Ferreira","6818","1968","08","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909471","Magnoliophyta","Malpighiales","A.Juss.","Mato Grosso","NY00909471_01",NA,NA,"18 km S along road from Base Camp.","-51.77","-12.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00909465","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","A. Macedo","2488","1950","08","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909465","Magnoliophyta","Malpighiales","A.Juss.","Minas Gerais",NA,NA,"Ituiutaba","I. Terezinha.","-49.465","-18.9692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00957845","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","R. M. Harley","10109","1968","09","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957845","Magnoliophyta","Malpighiales","A.Juss.","Mato Grosso","NY00957845_01",NA,NA,"Ca. 4 km east of base camp","-51.77","-12.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
