"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","maximumElevationInMeters","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","02694912","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","adiantoides","Piptadenia adiantoides","(Spreng.) J.F.Macbr.","L. P. de Queiroz","13846","2008","10","01","South America","Brazil","Bahia","Uruçuca","ca 5Km de Serra Grande.","-39.0547","-14.4397","135","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2969202' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694912","NY02694912_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","459189","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","adiantoides","Piptadenia adiantoides","(Spreng.) J.F.Macbr.","G. Farias","123","1986","04","23","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. Louro, ant. 351, km 2450, lado direito","-40.0719","-19.3911",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459189","NY00459189_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","459175","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","adiantoides","Piptadenia adiantoides","(Spreng.) J.F.Macbr.","J. P. P. Carauta","835","1969","04","23","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Serra Carioca, estrada de Vista Chinesa, aos fundos do predio do Centro de Conservaçao da natureza","-43.2075","-22.9031",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561505' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459175","NY00459175_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","459166","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","adiantoides","Piptadenia adiantoides","(Spreng.) J.F.Macbr.","A. Fernandes",NA,"1977","07","27","South America","Brazil","Bahia","Jacobina",NA,"-40.5181","-11.1808",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459166","NY00459166_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1184124","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","adiantoides","Piptadenia adiantoides","(Spreng.) J.F.Macbr.","R. C. Forzza","5122","2008","05","27","South America","Brazil","Rio de Janeiro",NA,"Campos dos Goytacases. Ibitioca. Morro do Itaoca.","-41.4572","-21.7883","54","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1462628' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184124","NY01184124_01","E. S. Lima; R. D. Ribeiro","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","459177","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","adiantoides","Piptadenia adiantoides","(Spreng.) J.F.Macbr.","O. da S. Melo","15","1932","04","12","South America","Brazil","Rio de Janeiro","Itatiaia","Lago Azul","-44.612252","-22.447817",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459177","NY00459177_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","459170","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","adiantoides","Piptadenia adiantoides","(Spreng.) J.F.Macbr.","G. P. Lewis","733","1981","12","02","South America","Brazil","Bahia","Una","Estrada Ilheus-Una ±35-40 km ao Sul de Olivença","-39.07","-15.27","35","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459170","NY00459170_01","G. P. Lewis","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","459190","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","adiantoides","Piptadenia adiantoides","(Spreng.) J.F.Macbr.","C. V. Mendonca","127","1990","12","15","South America","Brazil","Minas Gerais",NA,"Estaçao Biologica de Caratinga (EBC). Fazenda Montes Claros. Beira da estrada para a linha da Cemig, a esquerda, subindo","-41.83","-19.83","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459190","NY00459190_01",NA,"680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00934829","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","adiantoides","Piptadenia adiantoides","(Spreng.) J.F.Macbr.","Z. A. Trinta","826","1964","04","20","South America","Brazil","Minas Gerais","Pedra Azul","Pedra Azul, caminho do aeroporto","-41.241281","-16.052938",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934829","NY00934829_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","459181","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Piptadenia","adiantoides","Piptadenia adiantoides","(Spreng.) J.F.Macbr.","E. P. Heringer","8918","1963","06","10","South America","Brazil",NA,NA,"Rio Corumbá, Granja Samambaia",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459181","NY00459181_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
