"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","day","county","identifiedBy","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","528414","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","comosa","Euphorbia comosa","Vell.","Grupo Pedra do Cavalo","151","1980","06","South America","Brazil","Bahia","Estaçao da Embasa. Cachoeira/Bahia - Vale dos Rios Paraguaçú e Jacuípe","-39.08","-12.53","40","120","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591112' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528414","NY00528414_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","04029520","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","comosa","Euphorbia comosa","Vell.","B. M. Boom","6304","1985","10","South America","Venezuela","Bolívar","vicinity of Panare village of Corozal, 6 km from Maniapure toward Caicara","-66.5","6.92","90","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4332585' target='other'> <mi>dwc_moreinfo</mi></a>","NY04029520",NA,"08","Cedeño",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","528413","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","comosa","Euphorbia comosa","Vell.","J. C. de Moraes Vasconcelos","916","1953","06","South America","Brazil","Paraíba","Areia","-35.712202","-6.95148",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591109' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528413","NY00528413_01","12","Areia","V. C. Steinmann",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","528421","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","comosa","Euphorbia comosa","Vell.","O. L. Haught","4350","1944","09","South America","Colombia","Magdalena","La Paz",NA,NA,"200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591106' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528421",NA,"08",NA,"A. Fernandes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","528417","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","comosa","Euphorbia comosa","Vell.","W. R. Anderson","36943","1972","03","South America","Brazil","Bahia","Ca. 3 km S of Cocos","-44.53","-14.18","535","535","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528417","NY00528417_01","14","Cocos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","528412","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","comosa","Euphorbia comosa","Vell.","S. Tsugaru","B1238","1987","08","South America","Brazil","Rio Grande do Norte","Near Riachuelo, 60 km W from Natal, along the Rt. BR-304","-35.825","-5.8153",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528412","NY00528412_01","28","Riachuelo","V. C. Steinmann",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01303862","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","comosa","Euphorbia comosa","Vell.","N. A. Rosa","1832","1977","04","South America","Brazil","Amapá","Proximade do rio Dois Irmãos, margem da rodovia Perimetral Norte.","-51.7671061","0.6108454",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1638522' target='other'> <mi>dwc_moreinfo</mi></a>","NY01303862","NY01303862_01","24",NA,"G. L. Webster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","629687","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","comosa","Euphorbia comosa","Vell.","W. Ganev","2028","1993","08","South America","Brazil","Bahia","Campos da Pedra Furada, próximo ao Rio da Agua Suja. Divisa Municipio de Abaíra, Distrito de Arapiranga","-42.43","-13.8","1120","1120","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629687","NY00629687_01","07","Rio de Contas","I. Cordeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1018726","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","comosa","Euphorbia comosa","Vell.","R. M. Harley","51657","1992","02","South America","Brazil","Bahia","Estrada velha Abaíra - S. José, 1 km de Abaíra.","-41.68","-13.23","680","680","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262121' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018726","NY01018726_01","28","Abaíra","I. Cordeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","528415","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Euphorbia","comosa","Euphorbia comosa","Vell.","L. A. Mattos Silva","278","1979","02","South America","Brazil","Bahia","Rod. M. Vitorino/Caatingal, km 8. Folha SD 24 (14-40c)","-40.2425","-14.1456",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591113' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528415","NY00528415_01","16","Manoel Vitorino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
